	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Caust.v2_010917	0	NA	NA	NA	NA	NA
Caust.v2_010918	1118.32509126316	-0.0929133430709044	0.104265708727041	-0.891120812444134	0.372864360642141	0.668241955438885
Caust.v2_010919	0	NA	NA	NA	NA	NA
Caust.v2_010920	0	NA	NA	NA	NA	NA
Caust.v2_010921	0.792571632711298	-1.61177280427303	2.23065154858239	-0.722556961125256	0.469952118149801	NA
Caust.v2_010922	0	NA	NA	NA	NA	NA
Caust.v2_010923	0	NA	NA	NA	NA	NA
Caust.v2_010924	18.2105867983874	-0.632344047898985	0.51012112844915	-1.23959587759365	0.215124906201116	0.501031218624424
Caust.v2_010925	229.656375690898	-0.046125797523435	0.16089116213475	-0.286689442175846	0.774350122332703	0.920458076399011
Caust.v2_010926	385.923277421607	-0.0233429307983617	0.131251870967193	-0.177848366094501	0.858842062135248	0.951329796758673
Caust.v2_010927	250.214035184199	0.0291595146795501	0.14769449415391	0.197431291170295	0.843490044682344	0.946265706310439
Caust.v2_010928	918.600600809384	-0.00281505174275117	0.123617602481194	-0.0227722564282819	0.981831938447227	0.994252583251089
Caust.v2_010929	170.328535320524	-0.536786688474797	0.192791981965808	-2.78427911265521	0.00536468474306112	0.0419290242201769
Caust.v2_010930	1440.50514022175	-0.0405709270283231	0.119524278780562	-0.339436702252005	0.734280773600834	0.903908276777573
Caust.v2_010931	272.781520452433	-0.328053071294481	0.183198579429082	-1.79069658900643	0.0733419973928664	0.264628377361538
Caust.v2_010932	14.866395165968	-0.409028926399309	0.585814670559711	-0.698222401990217	0.485038118762461	0.758545512342239
Caust.v2_010933	0	NA	NA	NA	NA	NA
Caust.v2_010934	0	NA	NA	NA	NA	NA
Caust.v2_010935	0	NA	NA	NA	NA	NA
Caust.v2_010936	0	NA	NA	NA	NA	NA
Caust.v2_010937	0	NA	NA	NA	NA	NA
Caust.v2_010938	0.123574862455284	1.19862489805523	4.07849663464932	0.293888902070478	0.768842798697513	NA
Caust.v2_010939	0	NA	NA	NA	NA	NA
Caust.v2_010940	0	NA	NA	NA	NA	NA
Caust.v2_010941	415.412877096048	0.263999084111421	0.148196417697431	1.7814133986047	0.0748449409724588	0.268392660438088
Caust.v2_010942	52.6480151458202	0.541608159181609	0.311354200389696	1.73952417697825	0.0819426033344243	0.284663699723431
Caust.v2_010943	7094.37226108609	0.0425880770864257	0.131136811831651	0.324760656383035	0.745362223479821	0.908445334034247
Caust.v2_010944	0.124029967099923	-0.711129879369825	4.0804728567969	-0.174276341082697	0.86164829178632	NA
Caust.v2_010945	0.635864011043101	-1.46176841086064	2.63713145817019	-0.554302443411339	0.579371878385616	NA
Caust.v2_010946	2.59690881924017	-1.08997932024412	1.19392807996289	-0.912935492963696	0.361276469108509	NA
Caust.v2_010947	0.891553480692371	-1.17233414843395	2.39349659660995	-0.489799797540717	0.624275573996229	NA
Caust.v2_010948	242.190587841947	0.288995761671963	0.19467060202379	1.48453725764225	0.137666446560573	0.392465887888434
Caust.v2_010949	238.997268771174	0.436210696550184	0.192807340137099	2.26241747974952	0.0236716219687781	0.124321939587958
Caust.v2_010950	81.482334509203	-0.379736837840134	0.293224312959614	-1.29503871628965	0.195306873939462	0.475150987922329
Caust.v2_010063	108.130401304105	0.248433703038049	0.236814557975063	1.04906431919701	0.294148516694734	0.593800727417516
Caust.v2_010064	0	NA	NA	NA	NA	NA
Caust.v2_010065	450.595909926308	0.152314739510293	0.130041869188785	1.17127460917356	0.241488414005686	0.534213059376074
Caust.v2_010066	2637.02893903221	-0.232340665495501	0.162516179901162	-1.42964636282248	0.152818541827715	0.415696587059987
Caust.v2_010067	1744.22530424874	-0.260497226195826	0.114231067230269	-2.28044114891014	0.0225815374561905	0.119607439055575
Caust.v2_010068	175.469761061612	-0.645616519427642	0.278406026916274	-2.31897465216082	0.0203964107740391	0.111238886452259
Caust.v2_010069	735.587371038921	0.799168891781108	0.296805750912632	2.69256538771161	0.00709046303859741	0.0525223403888939
Caust.v2_010070	281.775084954169	0.0541732896279399	0.148348230012546	0.365176514902526	0.714979647939311	0.895550489056645
Caust.v2_010071	36.1417007858795	-0.572675035536964	0.342429463475247	-1.67238832115964	0.0944477735574646	0.311251195329148
Caust.v2_010072	351.644743497053	-0.0287740164771503	0.182036733968691	-0.158067088163091	0.874403934377672	0.956519974656455
Caust.v2_010073	10.7394983299061	0.401656071117926	0.599813390919828	0.669635051831666	0.503090463700143	0.769678782781692
Caust.v2_010074	2.74621822761494	0.434209684855007	1.1693667520187	0.371320361302751	0.710398934185909	NA
Caust.v2_010075	2.84088250150428	-0.203954340536322	1.39249442843521	-0.146466898805126	0.883552819010474	NA
Caust.v2_010076	912.22792029755	0.152381103755366	0.122690008198624	1.24200092568805	0.214236220509151	0.500002051439886
Caust.v2_010077	743.995507917751	0.404452812505523	0.106424521620373	3.80037237985667	0.000144478811310629	0.0023432952305054
Caust.v2_010078	275.047056216357	-0.21773628836414	0.142430688705988	-1.52871751405767	0.126334488568967	0.373657965892601
Caust.v2_010079	1354.90385571149	0.244137279973855	0.107950232978814	2.26157251575148	0.0237238276907642	0.124528140485735
Caust.v2_010080	289.071730358218	0.301272720858357	0.242156954488247	1.2441216957615	0.213454777218627	0.498688568282556
Caust.v2_010081	1.77312724597173	-1.25920065654742	1.59096824066341	-0.791468128881286	0.428670867293163	NA
Caust.v2_010082	67.0920293138938	0.699867562837041	0.330069996680756	2.1203610442483	0.0339756092847006	0.158490334418073
Caust.v2_010083	0	NA	NA	NA	NA	NA
Caust.v2_010084	0.132114607193986	-0.711129879369825	4.0804728567969	-0.174276341082697	0.86164829178632	NA
Caust.v2_010085	69.4727492269589	-0.164657022490577	0.255179035410407	-0.645260776324192	0.518758206602351	0.779195049395528
Caust.v2_017138	0.315649412847359	0.275435375805477	3.99562458640064	0.0689342479128143	0.945041957456159	NA
Caust.v2_017139	0.805378123569347	-1.43693005300575	2.60053509488439	-0.552551686701859	0.580570432469854	NA
Caust.v2_017140	0	NA	NA	NA	NA	NA
Caust.v2_017141	52.383754474187	1.0950002733776	0.345526463051605	3.16907788684788	0.00152923409080256	0.0160796372725702
Caust.v2_017142	26.2641147550174	1.46519352773653	0.478858046222449	3.05976591454388	0.00221510048866402	0.0213674319246638
Caust.v2_011722	570.326448692804	-0.0916350558801087	0.171581499853871	-0.534061399149386	0.593299055051912	0.823180150184963
Caust.v2_011723	209.680894665024	0.19809748621101	0.155543258653733	1.27358451870942	0.202810701671107	0.4846922912241
Caust.v2_011724	384.395070212445	-0.267826376534997	0.143945420836497	-1.86061060489874	0.0627991861437354	0.238372742509643
Caust.v2_011725	308.988769039278	-0.281645427633993	0.192397164538953	-1.46387514758291	0.143228064958617	0.402059324881005
Caust.v2_011726	312.555612072904	-0.047475944788601	0.150169764913592	-0.316148492447323	0.751889801161791	0.910533005401006
Caust.v2_011727	721.81514950787	0.395445772180417	0.124273446574697	3.18206167994808	0.00146230672731415	0.0154766417697167
Caust.v2_011728	187.604665102472	0.0498869490543477	0.167256598220247	0.298265955335618	0.765500186071308	0.916613379006595
Caust.v2_011729	581.089341171305	-0.222115635264656	0.139962260036159	-1.58696805272559	0.112519880392025	0.346639457719193
Caust.v2_011730	951.057882168664	-0.0382784490587937	0.116402713050551	-0.328844990427072	0.742272855063119	0.908038881081708
Caust.v2_011731	2.28711543072668	0.417117456174318	1.42249188431468	0.293230113137183	0.769346268249928	NA
Caust.v2_011732	1067.78381014768	-0.214632430202409	0.124859470360021	-1.71899199623014	0.0856158293163906	0.29346727257478
Caust.v2_011733	467.539091613088	0.19224277849828	0.142541993127442	1.34867469073764	0.177441478296593	0.45172713864375
Caust.v2_011734	7804.07739217221	0.470870780485827	0.111928760084047	4.2068792697449	0.0000258921374013996	0.00056859592001392
Caust.v2_011735	2834.78330068923	0.100423754200488	0.109275966396253	0.918992139921552	0.358099683456266	0.654691259406161
Caust.v2_011736	388.369959234146	0.0113362883009434	0.150741490413749	0.0752035041568716	0.940052796338122	0.981086553872252
Caust.v2_011737	1249.11724498009	-0.0625329065755391	0.124588494072006	-0.50191558250474	0.615726903653331	0.837143953517541
Caust.v2_011738	553.224942829327	0.255656777561544	0.153363198171132	1.66700212704397	0.0955139819239237	0.31369775010848
Caust.v2_011739	37.9366578825753	1.1966065260784	0.395269779956021	3.02731599215994	0.00246735882540165	0.0229962476065134
Caust.v2_011740	0.256144574293908	-1.46025034427527	4.045901891882	-0.360920848625921	0.718158617656694	NA
Caust.v2_021764	0	NA	NA	NA	NA	NA
Caust.v2_022397	0	NA	NA	NA	NA	NA
Caust.v2_022745	0.132114607193986	-0.711129879369825	4.0804728567969	-0.174276341082697	0.86164829178632	NA
Caust.v2_013489	0	NA	NA	NA	NA	NA
Caust.v2_013490	0	NA	NA	NA	NA	NA
Caust.v2_013491	0	NA	NA	NA	NA	NA
Caust.v2_013492	0	NA	NA	NA	NA	NA
Caust.v2_013493	0	NA	NA	NA	NA	NA
Caust.v2_013494	0	NA	NA	NA	NA	NA
Caust.v2_013495	0	NA	NA	NA	NA	NA
Caust.v2_013496	0	NA	NA	NA	NA	NA
Caust.v2_013497	0	NA	NA	NA	NA	NA
Caust.v2_013498	0	NA	NA	NA	NA	NA
Caust.v2_013499	0	NA	NA	NA	NA	NA
Caust.v2_013500	18.1770725457864	0.0451448849659713	0.524207494453182	0.0861202585687244	0.931370819443461	0.979053237645318
Caust.v2_013501	0	NA	NA	NA	NA	NA
Caust.v2_013502	0	NA	NA	NA	NA	NA
Caust.v2_013503	0.439496951170863	2.35120635565034	3.57226004651221	0.658184545648057	0.510419554126568	NA
Caust.v2_013504	0	NA	NA	NA	NA	NA
Caust.v2_013505	0	NA	NA	NA	NA	NA
Caust.v2_013506	0	NA	NA	NA	NA	NA
Caust.v2_013507	0.468837579769876	-2.21879054115537	2.88564204197765	-0.768907060847623	0.44194848547406	NA
Caust.v2_013508	0	NA	NA	NA	NA	NA
Caust.v2_013509	1.21926209302411	-0.2285955242225	2.23150693011047	-0.102439979521454	0.918407451500504	NA
Caust.v2_013510	62.5738301759199	0.315854391780938	0.270736440542793	1.16664897842229	0.243352155226722	0.536826772731211
Caust.v2_013511	0	NA	NA	NA	NA	NA
Caust.v2_021812	57.8461782574434	0.0733522792052015	0.323952531718802	0.226429096929772	0.820867699444273	0.936032950890687
Caust.v2_018962	0.212693005475967	-0.711129879369825	4.0804728567969	-0.174276341082697	0.86164829178632	NA
Caust.v2_018963	7.29432427424976	-0.0857636410611343	0.844980591490879	-0.101497764475055	0.919155332086539	0.973347990002672
Caust.v2_018964	20.5706550716869	-0.41270006354284	0.58845384321606	-0.701329540626879	0.483097382365278	0.756822067133484
Caust.v2_018965	0	NA	NA	NA	NA	NA
Caust.v2_020090	0.396343821581958	-2.01581840861065	4.00815800025794	-0.502928878672178	0.615014276473183	NA
Caust.v2_020091	250.27372804746	-2.22781892520637	0.682783897286609	-3.26284631793419	0.00110299315406882	0.0123291779811791
Caust.v2_016385	0.247877505423427	1.23748553790021	4.07702631751791	0.30352650228993	0.761488653588937	NA
Caust.v2_016386	0	NA	NA	NA	NA	NA
Caust.v2_016387	0	NA	NA	NA	NA	NA
Caust.v2_016388	0	NA	NA	NA	NA	NA
Caust.v2_016389	0.468382475125237	-0.789602795423557	2.98954850476744	-0.264121085228882	0.791686616957706	NA
Caust.v2_016390	0	NA	NA	NA	NA	NA
Caust.v2_016391	0.495937439623272	-0.451875683691509	3.4710671860981	-0.130183502497822	0.896421246597707	NA
Caust.v2_016187	0.65191728077861	0.0656565217425091	2.41123078506774	0.0272294639522299	0.978276715578832	NA
Caust.v2_016188	0	NA	NA	NA	NA	NA
Caust.v2_016189	0.191619445747437	1.23748553790021	4.07702631751791	0.30352650228993	0.761488653588937	NA
Caust.v2_016190	1.49759599513101	4.13993248711307	1.9713968308416	2.09999956495097	0.0357288793956924	NA
Caust.v2_016191	1.11408442776791	2.60742939880063	2.29531726447807	1.13597777490404	0.255965865986004	NA
Caust.v2_016192	0.96783936949419	0.924912245242674	2.19724332707873	0.420942111346566	0.673797353726594	NA
Caust.v2_016193	0	NA	NA	NA	NA	NA
Caust.v2_016194	0	NA	NA	NA	NA	NA
Caust.v2_016195	0	NA	NA	NA	NA	NA
