	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
OG0000020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000186	583.224492121514	384.125774346041	444.777342587475	580.84250626327	307.033432874253	610.997583233288	1067.11801592752	417.819819279624	382.291230595798	236.763098551885	528.58882773962	164.359094418157	388.607979655099	213.767212920948	404.405460910859	831.428247979458
OG0000229	673.550314666368	414.098627375096	21.4116007372526	2145.63588275801	157.06623589232	1301.85199345451	1489.0793541715	168.494096058268	698.849127423994	11.0825280173223	72.9088038261545	69.4351254493818	202.961098285213	162.501772718186	158.496202019695	662.940139448521
OG0000255	4940.66675902671	5002.31141869116	5373.33853047145	5330.19195810679	6360.73886370706	5301.19331714109	5327.81710761733	4771.34294986623	3632.6316029465	4490.43885210959	4745.90744905875	4211.81166017009	5156.75093794799	4859.5768222391	4590.62636031591	4879.54777059202
OG0000281	203.233100725922	235.050268491007	267.645009215658	207.05111422003	210.309027720225	212.642016049275	195.43472508142	237.940987001203	349.424563711997	212.583037423182	285.9392150057	248.735955723735	304.922597897689	223.439937487506	281.450831465277	245.574171257509
OG0000282	3996.13897672578	3771.05816662921	3651.65118028054	3211.12458115577	3402.21439780314	3142.27328519976	3677.72619016853	3706.8701132819	3222.6631791854	4058.22025943402	3042.80335968217	3161.49552204337	3418.59593983719	3481.21357150448	3231.4013551167	3146.21258871167
OG0000290	467.202530404417	520.581131557263	459.376161271966	471.820016917325	464.099668766573	434.569709655287	405.30496962908	472.46655313636	491.270178684193	481.586217480005	448.844823554764	491.319431977271	455.941045436923	487.505318154559	460.119277378389	419.568427126058
OG0000304	2511.21360092374	2707.02188409777	2391.28650051953	2689.83217411508	2253.94485404798	2557.27559912534	3739.9099663308	2583.19664835277	2880.15791376473	2200.38556271199	2820.65934802435	1833.43888211912	2455.7330991571	1803.9631316632	2721.33175952604	3277.25889534684
OG0000358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000394	746.74537776306	854.226311328055	728.967679645556	740.25354110524	666.422277712612	777.211211498878	617.396063325393	777.577483836467	868.371935561497	823.129580922938	841.868844180128	885.957043708567	720.463803865518	833.788857637361	739.648942758579	796.188905018739
OG0000399	37.3762024323534	54.4243910264412	19.4650915793206	22.903884316375	39.9320938709288	46.4283877836845	33.3127372297874	12.5232098421686	31.13684231097	33.2475840519669	21.6448011358896	37.7938024597901	17.3142169153262	29.985446156332	21.1328269359594	45.1504081684209
