powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	14	1	0.108180380293183	0.69201158379984	0.919903280737909	3053.18369539163	3033.62146436663	4638.08505231055
2	14	2	0.222630615791148	-0.610299789659613	0.896690583157892	1323.0798661391	1249.93631187999	2799.79672733642
3	14	3	0.564905710296818	-1.07314788521533	0.907447082625768	691.031616067981	606.391188539941	1917.4738418404
4	14	4	0.70812561992964	-1.29177343750991	0.928136825341594	404.013645787153	324.111209665999	1406.17982049753
5	14	5	0.776584851811174	-1.4183905234127	0.941710795981146	254.988828312916	185.806590469912	1076.71409462176
6	14	6	0.808124924982575	-1.49262674180727	0.946921730173015	170.151186354589	112.538662155464	849.612679521069
7	14	7	0.823007578473162	-1.5517657397554	0.946326270838096	118.47793053474	70.7975909536644	685.60929833343
8	14	8	0.829879515862788	-1.59738291712591	0.943271140278096	85.327639943629	46.0948931826348	563.043300168984
9	14	9	0.842936666338946	-1.61214725134402	0.947380493370709	63.1650180536073	30.8814295370691	468.988929715837
10	14	10	0.869238723387348	-1.60761717223215	0.960395815060414	47.8412644788726	20.9990036184197	395.268329659257
11	14	12	0.897904416565636	-1.59353028665769	0.976238182770109	29.0106370098621	10.3717463833029	288.877804637205
12	14	14	0.914467004979426	-1.60296737840565	0.984690811950425	18.6529944344636	5.46506452538695	222.476661746433
13	14	16	0.916301433796102	-1.61964843559985	0.982546721311537	12.5540272616278	3.01020744542918	177.555457730924
14	14	18	0.904577393653342	-1.6480278460389	0.979042010701567	8.76581031172364	1.73880447354764	144.888440940569
15	14	20	0.893821849642825	-1.66633908782286	0.970692771059376	6.30915816421344	1.05134866215921	120.378459629647
16	14	22	0.885270066558267	-1.69474881546313	0.967192160077376	4.65815033389993	0.652819905928057	101.506209760359
17	14	24	0.879609393981373	-1.71130203535161	0.969402227606127	3.51469937033426	0.411490342739343	86.6556097695553
18	14	26	0.890066132019013	-1.70184425590564	0.973414707253643	2.70212357000186	0.267369260528521	74.7522273292743
19	14	28	0.899061115563564	-1.69511985141811	0.979865629176709	2.11165939608893	0.176251135224301	65.0594511418567
20	14	30	0.900425069687478	-1.70034065863733	0.981767426374526	1.67413889344034	0.118576635957817	57.0585975525891
21	14	32	0.90243516869903	-1.70710248058703	0.985960864654025	1.34431204729132	0.0803524357175285	50.3757677019548
22	14	34	0.883902796949324	-1.73559971048624	0.979487541196912	1.09183036632084	0.0557772259331442	44.7357836029187
23	14	36	0.888808668610579	-1.7262828698018	0.98410350709278	0.895885569341603	0.0388355541256069	39.9323521305222
24	14	38	0.889415875113371	-1.72779936891537	0.985565772845158	0.741926582864093	0.0274772445508629	35.8082503458386
25	14	40	0.894963056888639	-1.71738105759632	0.98889167044547	0.619595987293779	0.0195960516076894	32.2418670507154
