	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OG0000394	2858.33488737216	-0.0521771140501626	0.101582783289004	-0.513641311655323	0.607502790890569	0.987527860847066
OG0000399	142.075057707575	0.157617143876656	0.29713114405919	0.530463221469837	0.595790802359706	0.987527860847066
OG0000432	1140.5946736614	2.10400683595667	0.894639390172285	2.35179320189724	0.0186831586949189	0.639567927445255
OG0000451	4113.27438951679	0.406894897243368	0.137474663520382	2.95978100126822	0.00307857800960971	0.263782134603738
OG0000468	883.424811942253	0.505622191389695	0.341086856279617	1.48238544546904	0.138237764419605	0.987527860847066
OG0000540	571.450247129206	-0.0748981052189931	0.233614568255558	-0.320605456150577	0.748509402313953	0.988114570607429
OG0000546	123036.988196705	0.359254935219707	0.208211377219691	1.72543373958208	0.0844493353084197	0.987527860847066
OG0000564	1038.71179278344	-0.859464732768081	1.40968278779777	-0.60968661900934	0.542069420175043	0.987527860847066
OG0000565	1708.20506522955	-0.0196555090862996	0.0883020267897252	-0.222594087597848	0.823851438426534	0.989426142673601
OG0000582	131.822017792708	0.02089051228928	0.394725695595256	0.0529241255950582	0.957792361885463	0.992500060688003
OG0000602	5.6281158345223	-0.469586269897995	0.788256852714485	-0.595727481823852	0.551357295977804	0.987527860847066
OG0000625	979.468590267502	-0.527770640720203	0.296789228218433	-1.77826750616357	0.0753599304236122	0.987527860847066
OG0000635	225.691850715201	-0.0915593083066802	0.142133615540403	-0.644177719384431	0.519460197183026	0.987527860847066
OG0000650	892.985464195522	-0.0278802292731209	0.142359961071429	-0.195843192589326	0.844732901833745	0.989426142673601
OG0000651	63.8832392523374	0.340726833541697	0.39831253124394	0.855425844819892	0.392315440849717	0.987527860847066
OG0000658	1079.63230033288	0.102166364355288	0.139234898600799	0.733769804711167	0.463089046524853	0.987527860847066
OG0000676	674.65015926676	-0.266724446657281	0.168488375941348	-1.58304360859961	0.113411525214678	0.987527860847066
OG0000688	403.511272370458	0.223247652358132	0.254214692143307	0.878185483600148	0.379843068463235	0.987527860847066
OG0000691	334.721233864461	-0.0811741919928846	0.186325592952156	-0.435657768247264	0.663085050848376	0.987527860847066
