SRR2917198	SRR2917152	SRR2916699	SRR2916026	SRR2916025	SRR2915407
Caust.v2_010925	8.63441546387039	8.79369733628636	8.64705322583717	8.6643398517277	8.64517997209747	8.70057313999468
Caust.v2_010926	9.19821367609531	9.18110835936816	9.14312382561177	9.14007688970217	9.24242456854691	9.09192419766551
Caust.v2_010927	8.80981727234055	8.73345405871231	8.69563949195001	8.78830544364725	8.76828244475117	8.74384035531689
Caust.v2_010929	8.49772162347559	8.50482856345849	8.70513785118436	8.27883883116911	8.21111783071139	8.35406397341262
Caust.v2_010930	10.8278254712239	10.5680539345657	10.6945953708851	10.7345672831562	10.6252934845753	10.6336194012477
Caust.v2_010943	12.867619548966	12.7078607780037	12.8658056561029	12.7951470269209	12.6894063488349	13.0641155507224
Caust.v2_010946	6.94191648124726	6.96309320343976	6.96789363018707	6.90152069216157	6.8420259050759	6.86266304234718
Caust.v2_010950	7.96670354388562	7.94620008233244	8.11495652992016	7.88619707293883	7.99244303530659	7.63707236065737
Caust.v2_010066	11.4516324157726	11.6892289639426	11.5833970507482	11.2950553200838	11.1163682264431	11.6316511204453
Caust.v2_010070	8.81518210348762	8.87311158119	8.8440375109912	8.78573387606624	8.92085720477979	8.94082602841199
Caust.v2_010071	7.60278691136069	7.64457237148381	7.57197113170684	7.46464809991422	7.36571726892737	7.50937137208874
Caust.v2_010077	9.71274039980828	9.70261905146885	9.70549511483873	10.0414543647622	10.0875459361098	9.96096440991835
Caust.v2_010080	8.77439377663563	8.79880541520792	8.79644110919783	9.14007688970217	9.15164430586424	8.56726953500853
Caust.v2_011723	8.59049692352164	8.49189258026565	8.55457702642657	8.6756100555232	8.66727130137049	8.63857454684966
Caust.v2_011726	8.8829858243137	9.05079634589226	8.98871814363363	8.89433049976194	9.02801204445635	8.9131038913673
Caust.v2_011732	10.4578810965972	10.3709308740936	10.3537979571737	10.0969429771264	10.1831276862039	10.3590459917542
Caust.v2_011735	11.452857261271	11.5768479948339	11.5410457905897	11.6602194664121	11.7138328671112	11.47125721524
Caust.v2_011737	10.5791663030105	10.5122384952494	10.4974323335606	10.5022283819975	10.6061001127828	10.303683376042
Caust.v2_011738	9.51080292662702	9.37989846407174	9.432339155043	9.5311813040441	9.53926651784196	9.82860080608998
Caust.v2_011739	7.45932117380143	7.34376249705224	7.2660742526133	7.72798075128373	7.54032193567154	7.8224564821556
Caust.v2_013510	7.74546072651228	7.6662351214583	7.76783816723263	7.75415038365964	7.90249386416634	7.86920890912899
Caust.v2_016271	7.59456027171481	7.72146236942497	7.71127326749798	7.50938758233423	7.63744774525295	7.70781661764758
Caust.v2_016273	10.4389728811705	9.61481344504609	10.3074311095392	10.5740674564956	11.1731361861987	11.2568255119616
Caust.v2_021643	7.14325603113177	7.16197144582048	7.19595694984246	7.05607219152111	7.11951059774839	7.11239593636671
