SRR1519108	SRR1519109	SRR1519110	SRR1519111	SRR1519112	SRR1519113	SRR1519114	SRR1519115	SRR1519116	SRR1519117
gene-LOC106793534	7.70262201342099	7.87292878062253	7.93480180643555	7.93529817233014	7.41235195893758	8.00488323116127	7.85779643684895	8.01191150605795	8.02156775140604	7.13217619095302
gene-LOC106790448	8.39846324422904	8.40010405990034	8.58804774653468	8.50192538337472	8.40645063940285	8.43321939794706	8.29370925737222	9.03420240291831	8.53543551644388	8.64858818856577
gene-LOC106790650	10.1865570696633	10.2428072296349	10.271160269007	10.5141631062759	10.3520590253706	10.4392485820665	10.330732807231	10.5113981789654	10.0581062057713	10.2036946674924
gene-LOC106793585	7.42545351829431	7.56266499922494	7.56136962600896	7.56982934566526	7.73734801576606	7.18594852478389	7.31363717929105	7.18894461980419	7.31394988804369	7.62958197518959
gene-LOC106793282	9.16536089880038	9.64958787840548	9.75189939348565	9.59942495898956	9.62543204907136	9.36038878153622	9.6011708582133	9.19687763736136	9.7582089216944	9.40327620135128
gene-LOC106785249	11.4989262154721	11.6297393785479	12.0397178635249	11.9509649239798	11.8568051416237	11.1893099328194	11.4385450399062	11.3800084399664	11.6144805787952	11.6399078027475
gene-LOC106793424	8.97677332289816	8.76991500500901	8.86495659109076	8.87375147054548	8.92001672844166	8.77444094421036	8.86260616723356	9.19313357617064	8.92451152940445	8.94997776188673
gene-LOC106793085	10.3482254416117	10.020958580495	9.95787031871352	9.90451506146617	9.91346916359051	10.3911418297357	10.3584211316716	10.3712569456045	9.88812152641632	9.68874984177528
gene-LOC106793508	8.60152843727534	8.8378939431074	8.85242650392918	8.81080827097611	8.91427503151464	8.57145501859692	8.47024187691766	8.5320832574892	9.00606267270071	8.85012095613074
gene-LOC106793065	10.8121193846039	10.9033577589744	10.8485154508403	10.8059479140628	10.8790176843548	10.6620498922286	10.6941123858437	10.5773308620552	10.9040866708919	11.2844412327748
gene-LOC106793361	10.0955030116699	10.2234802246452	10.4203760434376	10.4452747766568	10.4660282807359	10.3543716065709	10.1022512688607	10.3969151081388	10.3549756231147	10.6075197602674
gene-LOC106793905	8.1779215074559	8.08425785484357	8.17259263002266	7.93529817233014	7.9048620668626	7.98539765956326	7.96532226641705	7.7971696179921	7.93505411231099	7.67464095371165
gene-LOC106793486	8.49217446666115	8.373606603589	8.4850200254105	8.35677534060111	8.4485679770852	8.39951391763329	8.37339722773376	8.36629462082326	8.53877494377042	8.58968102712326
gene-LOC106793272	9.13631480159876	8.96414331871651	8.39810148291254	8.88508423069825	9.00329374378476	9.03595881719698	9.32761886378649	9.01295115243734	8.4842386032564	9.07170980428876
gene-LOC106787496	10.6898519062864	10.7875300287914	10.9493327747849	10.6214275376501	10.4470162664423	10.6410028605474	10.5275971222053	10.2408750955644	11.4320853149745	10.0964427916964
gene-LOC106787891	8.61250493763703	8.52460059430624	8.45443472273164	8.37378604462197	8.50915328832787	8.57145501859692	8.6813993991328	8.75353789784783	8.23351228852775	8.40900667165721
gene-LOC106793396	9.42620443184532	9.1692282373666	8.93773813915466	9.43354276354141	9.34822381636278	9.44009407035183	9.22699424052617	9.66469262667077	9.13254603453016	9.68030592234872
gene-LOC106792840	7.44274413725597	7.25242802736732	7.32474792450065	7.27467524239075	7.22138797650134	7.26186699570188	7.44712236571574	7.58226429723785	7.16622524742132	7.29899280009252
gene-LOC106792406	9.11411434106239	8.91757568717472	8.75306605438071	8.83212646494574	9.00866503985345	9.18561768904877	9.01826333362761	9.00866016686757	8.75866285832951	8.99490121009221
gene-LOC106792589	8.49217446666115	8.09891132291988	8.09581414243065	8.0168765944787	8.34941594624913	8.35069203060755	8.47570681839608	8.29305618039754	7.94626662048206	8.40532945761113
gene-LOC106793253	8.59045586391958	8.71576613791886	8.654284937468	8.83212646494574	8.62574626377947	8.55950325305881	8.83821019843542	8.83930555049355	8.7530373342531	8.49409667820782
gene-LOC106793323	9.82397743685285	10.1331033145043	9.8501517593397	9.82940843556313	10.1897342049309	9.96996851925574	10.0555280734412	9.82332336721305	10.0657132083111	10.0120002002385
gene-LOC106790725	10.1934577856179	10.3383882307884	10.0410538014144	10.1443662938977	10.1454940187879	10.4052761142408	10.3747797135765	10.3744895644114	9.97508779632336	9.83391618315734
gene-LOC106790839	8.26826682745644	8.36206987650593	8.46129741444957	8.70901816877548	8.73252730753932	8.29979426803567	8.40846407454721	8.23894529991014	8.70127584409351	8.6696215412936
gene-LOC106793566	7.11595865800351	7.56266499922494	7.42879878517434	7.08955321107102	6.94623602283535	7.06309949761943	7.06108462313669	6.63639903963829	7.1814080432671	6.89333915883383
gene-LOC106793125	9.59123083372383	9.77122833052355	10.0217895249487	9.88828777952882	9.89665384738671	9.55023263411561	9.46339187222431	9.69110029929002	9.77561820936412	9.71790932133748
gene-LOC106792250	10.5251339065471	10.8560192129033	10.6815926147957	10.8767394855262	10.9615235566767	10.8083996963512	10.5275971222053	10.8437066580995	10.725962526296	11.0522101060367
gene-LOC106788172	10.1691573027989	10.1800133510184	10.277474659876	10.1943298543252	10.1839911960631	10.0762543389373	10.1120662992613	10.1940088848966	10.1498718142119	10.3472647698345
gene-LOC106785532	6.63639903963829	6.63639903963829	6.63639903963829	6.75797209381586	6.63639903963829	6.63639903963829	6.79741170642937	6.81209060115382	6.63639903963829	6.81820303160673
gene-LOC106785658	8.26826682745644	7.44437892613086	7.43839811576681	7.43290741764796	7.5620299106913	7.84896597493283	8.21504181878177	7.95207322128996	7.13440932906032	7.54021873675142
gene-LOC106793195	8.70725601334822	8.79753259122972	8.77729174605219	8.97874014297786	9.035203209894	8.82911036284226	8.60997515806184	8.61026514408911	8.92451152940445	8.74486077528725
gene-LOC106789790	7.26864985441601	7.36092222590381	7.29003127714837	7.3179676458183	7.42409476840817	7.23768511939369	7.1910309826867	7.16090606386732	7.53553571716637	7.26169741116149
gene-LOC106793444	9.88304558932396	9.90282914506558	9.77133466815599	9.69249187637113	9.81242831311225	9.68125447483202	9.8495359678747	9.79202405100743	9.86832313352642	10.0505144194749
gene-LOC106793556	8.86024403244667	8.13706720660309	8.14161148775767	8.19155929836563	8.18063593681258	8.76935545170972	8.74905442049243	8.82950249513412	8.05731630433289	8.09068199718767
gene-LOC106793035	10.0881083425852	10.2019128357308	10.2363848004838	10.1793471345313	10.1383810773108	9.980542055668	9.93519755434426	10.0248955671548	10.2312530920415	10.2842121620386
gene-LOC106793044	6.93091037107159	6.76578466563417	6.99432354455031	6.63639903963829	6.63639903963829	6.63639903963829	6.91499285059802	6.63639903963829	6.81902893213362	6.63639903963829
gene-LOC106793118	9.62252852678309	9.62602019886757	9.39739731484363	9.42599234693585	9.47576598682326	9.40558885867943	9.54622322705913	9.53926667050478	9.52568201160131	9.44400865963282
gene-LOC106793368	9.99226583097617	9.45558276974799	9.30520963035018	9.1723109802443	8.95115959610438	9.74989892143017	9.66973853178257	9.47051734168061	9.01995094450739	9.09564911520268
gene-LOC106787032	8.90460681089473	9.2803899979749	9.16714816521586	9.31570751010061	9.25090668929536	8.89554800087053	8.94460674706342	8.79964528096052	9.11763685317436	9.37894919081124
gene-LOC106787258	9.62252852678309	9.60657447300287	9.56665484550137	9.63895803808298	9.43519870843572	9.68645609686985	9.80365789328986	9.50382208993214	9.604560379156	9.46722736994463
gene-LOC106793307	8.09674234728642	8.68334649434291	8.46129741444957	8.00293025050822	7.51184944300792	8.27729298295321	8.10846421984275	8.72719703012097	9.21074219751434	7.92953859010705
gene-LOC106789504	8.81433363028968	8.82457792295471	8.80890707968229	8.7988129851955	8.87633417887581	8.77950663649702	8.80916288787112	8.58076706708367	8.6715946188076	8.92571065109487
gene-LOC106790271	11.995622593092	11.7881825221989	12.1214958939727	12.2814170172357	11.883451812512	11.6204970126106	11.5568559377828	11.3808089742364	11.9102153283669	12.0490577356213
gene-LOC106784795	9.2112757453247	8.93983754510336	9.99019072936663	9.18500355228047	8.91427503151464	9.13238669777103	9.65629127851342	8.89663748216836	10.2331809767459	8.7048943040824
