SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
Lflavo2a009208	9.32180408918291	9.37462426196545	9.11146747199816	9.10891455768798	9.35405377459701	9.16095966598391	9.45459676675299	9.13430533679328	9.19029797565199	9.5464497049008	9.16383512497171	9.1078853951459	9.33762013224855	9.43580619536935	9.17620714646432	9.29158486650233	9.06619605306695	9.19258000723993	9.23914539561075
Lflavo2a009247	7.87471033364341	8.24434957338064	7.63747867530155	7.71008365799639	7.816213622356	8.10987175856264	8.17965041749624	7.77792239447034	8.25107611021588	8.1913580082404	7.96163365550117	7.90975351367686	8.07720621445	7.9369574599405	8.16779976489637	7.81265813037929	7.77175880359087	7.78321112354475	8.23015756081371
Lflavo2a009199	9.40971641353534	9.05353252343923	9.1734603301139	9.40347021344782	9.241002635567	9.07609578792709	9.27936854486964	9.35042213120335	9.54558419345519	9.03283431174225	9.42392263812802	9.30037944504602	9.23586838081787	9.31651516389439	9.26278905264837	9.00358477775969	9.26887217681895	9.44978080615173	9.64427642543856
Lflavo2a009214	10.1586767710967	9.99582589377359	9.74739417255342	10.1975079955925	10.019246146542	10.0828638085766	10.0452610938425	9.82353459264649	9.97767325654287	9.97218233204883	10.0908395686901	9.97471899217246	10.032086742184	10.0232316743029	9.96090818749783	9.84362090782687	9.88535216046199	9.77020074722402	9.8967436971424
Lflavo2a009198	12.7697588666283	12.7062470491274	12.8963657699756	12.5964275200031	12.8040620717535	12.7680745243128	12.7961438962411	12.7410866773696	12.7203687192772	12.5517807216331	12.8249519750198	12.7082572340339	12.8738661975682	12.7167226599441	12.730366025755	12.6382754617494	12.8234890127322	12.6631490382181	12.7350575661146
Lflavo2a009234	11.081566819629	11.0131153571381	10.9538399260736	11.6544307045212	10.9114780558377	10.9887345832927	10.6715115220907	11.0463245054343	11.2749884939861	10.9160765425715	11.2668423172314	11.3650936122681	10.5929819726983	10.6855722905769	11.2124993352635	11.3287910686638	11.3567081752749	10.936064074503	10.888416813956
Lflavo2a009207	8.38979146885072	8.28356172953484	8.16113017163634	8.44921815526605	8.90779574819707	8.42214340622048	8.28521118948171	8.07913573436886	8.26856833674369	8.50068429889829	8.60891727803416	8.45095299486656	8.38721350588204	8.50816376163378	8.51224623922347	8.61079732713976	8.33419314928773	8.41965721609214	8.25587094439343
Lflavo2a009219	11.0510309670805	10.7029261201572	10.6779594172301	10.9705283363844	10.8173646365613	10.5150286940963	10.4860497986306	10.7388647299265	11.2381969207005	10.4937001444386	10.9803195488563	11.6837538196398	10.2142320114857	10.4135303909314	11.0158960780276	10.7943374416429	10.4953582756201	11.066086454653	10.0690886924055
Lflavo2a009231	6.98888848449608	7.36831221552469	7.06412359421678	7.28457165860422	7.0473915642028	6.91974929457837	7.29750372721791	6.95122405809566	7.16736848643171	7.35447821416225	7.0923142177832	7.0418332441657	7.07576503728932	7.2086244549571	6.8654532306729	7.08744913606615	6.73354267018906	7.10246203043204	6.92152987244064
Lflavo2a009216	9.46258773763202	9.43525565936331	8.89982239942915	9.28057868008537	9.70943117992042	9.57989070217661	9.48721416293881	9.21763261815885	9.08659996799021	9.51947081254691	9.59541707758311	9.39477376030396	9.47787640523084	9.63048927514444	9.37971725831077	9.73813082880151	9.59512823601571	9.4935651112367	9.53426951957277
Lflavo2a009226	11.0080519390781	11.033454971441	10.7188847906193	10.7330148835414	11.2914730098994	11.0948920769754	10.7329149032327	11.0198133462762	11.0328003620419	11.3170115801581	10.6139599558443	11.0113860860249	10.5580426994532	10.7575189513035	10.9162200655874	11.280076340419	10.6623392753082	10.8245319633434	10.8789165830264
Lflavo2a009227	8.28508486367665	8.57383373945788	8.31517312436042	8.63618356882159	8.28016061215982	8.47708240094287	8.75075700960708	8.32672954183782	8.36919141637508	8.68855613863303	8.51085268727699	8.35714683414913	8.61187138071271	8.32900487022097	8.54387979430635	8.60758590660359	8.46304686020676	8.57970061871637	8.29770901257216
Lflavo2a009202	12.1054575155623	12.1785729711165	12.1052502528762	12.2262996251357	11.9941487844658	12.1543646173248	12.347067472862	11.9864245215785	12.2611564762508	12.2893743014385	12.0127560612149	11.9734332863017	12.0142664728653	12.0142116718971	12.0432164145434	12.0942282121343	11.9154572903998	12.0546912631132	12.035384944237
Lflavo2a009224	11.1747555047316	11.5032930578281	11.7495201505011	11.7619282776803	11.0572619569417	11.3711334184551	11.8910003683373	11.361399229182	12.0501529162734	11.5364034748882	11.0820593512903	11.3386134576251	11.7240460142322	11.2561517910409	11.26885204139	10.9820401062318	11.5062844092072	11.1031208520232	11.3962289695781
