	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
OG0004454	96.5490591458463	98.4014862939345	85.4499083940357	124.156168501239	90.7407441160338	115.897404630922	104.746522934751	101.388712331044	157.823087722971	98.5613084680613	117.95568318269	110.601955415817	103.648783833597	106.905853941725	107.142877891045	104.996316190445
OG0004455	1985.48468404765	683.299920825081	657.381681622297	1003.36577655446	970.570115986205	721.345446422861	1461.99402223822	1302.10447409419	620.886433020039	606.453765369806	1347.90135054394	657.515561723952	804.237785671802	677.070408297594	1013.07417577336	792.445881142625
OG0004456	3.89310722362283	3.1488475614059	2.91306505888758	3.6787012889256	1.77923027678498	8.34461313342641	2.22864942414363	1.13919901495555	0	2.01145527485839	0	3.48352615482889	1.9194219228444	1.92623160255361	3.82653135325159	0
OG0004457	7.78621444724567	9.44654268421771	10.6812385492545	11.9557791890082	1.77923027678498	2.78153771114214	5.57162356035908	9.11359211964441	15.6088768077663	6.03436582457518	8.01640565319251	4.35440769353611	10.5568205756442	4.81557900638403	2.86989851493869	4.42089752380823
OG0004461	2.3358643341737	0.787211890351476	0.97102168629586	1.8393506444628	0.889615138392488	1.85435847409476	3.34297413621545	0	1.73431964530737	1.0057276374292	0	0	0	2.88934740383042	4.78316419156449	3.31567314285617
OG0004465	482.745295729231	434.540963474015	400.060934753894	485.58857013818	367.411052156098	405.177326589704	365.498505559555	489.855576430887	567.122524015511	544.098651849196	466.096728692765	561.718592466158	402.118892835901	587.500638778851	416.135284666111	351.461353142754
OG0004466	385.417615138661	462.093379636316	553.48236118864	436.845778059915	474.164868763196	511.802938850153	354.355258438837	455.67960598222	490.812459621986	608.465220644664	519.921166649914	650.548509414295	521.123052052253	556.680933137994	557.71694473642	486.298727618905
OG0004468	327.799628229043	349.522079316055	260.233811927291	299.814155047437	382.53450950877	364.38144015962	334.297413621545	419.225237503643	400.627838066003	430.451428819696	363.028656008861	347.481733944181	347.415368034836	371.762699292847	338.648024762766	369.144943237987
OG0004469	82.5338731408041	56.6792561053063	65.0584529818226	99.3249348009913	55.1561385803343	74.1743389637903	94.7176005261043	58.0991497627331	91.9189412012907	68.3894793451854	100.777671068706	61.8325892482127	101.729361910753	57.7869480766083	67.9209315202158	114.943335619014
OG0004470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004471	359.72310746275	251.907804912472	497.163103383481	371.548830181486	293.572995669521	288.352742721735	406.728519906213	287.078151768799	417.971034519077	288.64383194218	427.159901234401	279.552973925018	539.357560319275	237.889602915371	415.178651827798	485.193503237953
OG0004472	51.3890153518214	40.9350182982767	61.1743662366392	47.8231167560329	45.3703720580169	52.8492165117006	42.344339058729	64.9343438524664	48.5609500686064	57.3264753334642	69.8572492635348	40.9314323192394	60.4617905695984	44.3033268587331	48.7882747539578	47.5246483809384
OG0004473	92.6559519222235	94.4654268421771	107.783407178841	118.638116567851	103.195356053529	124.242017764349	108.089497070966	94.5535182413108	88.450301910676	63.3608411580394	152.311707410658	74.8958123288211	110.366760563553	87.6435379161893	113.839307759235	119.364233142822
OG0004475	87.984223253876	70.0618582412813	62.1453879229351	73.5740257785121	48.9288326115868	67.6840843044587	66.8594827243089	61.5167468075998	65.9041465216801	62.3551135206102	60.6956428027433	74.0249307901138	87.33369748942	68.3812218906532	69.8341971968416	83.9970529523563
OG0004476	12.4579431155931	16.531449697381	9.7102168629586	11.0361038667768	12.4546119374948	11.1261508445685	3.34297413621545	6.83519408973331	8.67159822653686	9.05154873686277	13.7424096911872	5.22528923224333	9.59710961422198	6.74181060893764	17.2193910896322	6.63134628571234
OG0004477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004478	429.799037487961	425.094420789797	387.437652832048	394.540713237271	360.294131048958	350.473751603909	444.615560116654	390.745262129754	378.081682677007	325.85575452706	372.190262469652	318.742643166843	292.71184323377	310.123288011131	373.08680694203	387.933757714172
OG0004479	1501.96076687369	1505.93634624237	1059.38465974878	1358.36045093578	1206.31812766021	1243.34735688053	1220.18555971864	1569.81624260875	1515.79536999864	1579.99811840127	1399.43538688589	1430.85836809597	1257.22135946308	1364.73509040923	1209.1839076275	1298.63864761867
OG0004482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004484	84.0911160302532	80.2956128158505	76.710713217373	113.120064634462	69.3899807946141	88.082027519501	81.3457039812425	74.0479359721108	123.136694816823	48.2749265966015	103.068072683904	49.6402477063116	71.0186111452426	47.1926742625635	98.5331823462285	81.7866041904522
OG0004485	42.0455580151266	48.8071372017915	58.2613011777516	33.1083116003304	32.0261449821296	33.3784525337056	40.1156896345854	34.1759704486665	34.6863929061474	20.1145527485839	34.3560242279679	23.513801545095	35.5093055726213	60.6762954804387	25.8290866344483	20.9992632380891
OG0004486	400.990044033152	438.477022925772	313.640004673563	320.047012136528	386.09297006234	349.546572366862	374.41310325613	403.276451294265	353.801207642704	393.239506234816	380.206668122845	348.352615482889	382.924673607457	413.17667874775	345.344454630956	339.303884952281
OG0004490	0	2.36163567105443	0	0	0	2.78153771114214	1.11432471207182	0	0	0	0	0	0.959710961422198	0.963115801276805	1.9132656766258	1.10522438095206
OG0004494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0004496	13.2365645603176	25.1907804912472	11.6522602355503	44.1444154671072	9.78576652231737	33.3784525337056	123.690043039972	29.6191743888443	41.6236714873769	50.2863818714599	21.7588153443797	6.09617077095055	76.7768769137758	20.2254318268129	45.9183762390191	91.7336236190207
OG0004497	121.464945377032	136.187657030805	108.754428865136	114.039739956694	122.766889098163	127.023555475491	89.1459769657452	115.059100510511	102.324859073135	126.721682316079	132.843293681476	110.601955415817	114.205604409242	117.50012775577	115.752573435861	114.943335619014
OG0004498	141.709102939871	129.102750017642	156.334491493634	98.4052594787599	185.039948785638	139.076885557107	142.633563145192	148.095871944222	117.933735880901	204.162710398127	177.506125177834	205.528043134904	203.458723821506	246.557645126862	166.454113866444	107.20676495235
