"","X","Novogene_ID","BORIS_ID","treatment","queenness","ovaries","elo","finalrole","sampletime","nest","age","size","antennation_rate","agnosticrole"
"79",86,"W57RDYL","057W-red-yel","Qr3",0.05646867524977,159.6191667,980.902473873677,"worker_qr3","3","057",4,10.70656,0.95383441434567,"worker_qr3"
"80",87,"W58BLWH","058W-blu-whi","Qc",NA,59.0565,1000,"worker_ctrl","12","058",13,11.62382904,0,"worker_ctrl"
"81",88,"W65BLWH","065W-blu-whi","Qr12",0.99883370441717,338.3238333,1299.60295614633,"new_queen_12","12","065",12,10.28088986,14.1371380934723,"worker_qr12"
"82",89,"W65ORBL","065W-ora-blu","Qr12",0.001734678029782,49.022,1015.27276187766,"worker_qr12","12","065",8,9.870430685,0.753913596894546,"worker_qr12"
"83",90,"W65RDGR","065W-red-grn","Qr12",0.378113921745015,228.1341667,985.475954669874,"intermediate_queenness","12","065",19,9.383995616,0,"worker_qr12"
"84",91,"W65RDOR","065W-red-ora","Qr12",0.004893844948859,74.43683333,1052.00315938665,"worker_qr12","12","065",21,10.20557151,1.71694092254288,"worker_qr12"
"85",92,"W67BLWH","067W-blu-whi","Qr12",0.006412744305569,74.00483333,1113.1267006835,"worker_qr12","12","067",17,9.549168219,4.08855739605837,"worker_qr12"
"86",93,"W67GROR","067W-grn-ora","Qr12",0.629701257387432,206.0751667,1205.22074036771,"intermediate_queenness","12","067",22,12.33058192,6.65882405167247,"worker_qr12"
"87",94,"W67RDBL","067W-red-blu","Qr12",0.000696270804911,49.15116667,789.500651057745,"worker_qr12","12","067",12,10.20578192,0,"worker_qr12"
"88",95,"W67WHBL","067W-whi-blu","Qr12",0.001703951024018,62.571,906.255316188627,"worker_qr12","12","067",18,10.07367014,1.33390938457126,"worker_qr12"
"89",96,"W69BLOR","069W-blu-ora","Qr3",0.010987105522637,116.8371667,935.736261027103,"worker_qr3","3","069",3,NA,0,"worker_qr3"
"90",97,"W69BLYL","069W-blu-yel","Qr3",0.021603315325251,137.1695,941.105029683081,"worker_qr3","3","069",7,10.29399671,0.702302948911557,"worker_qr3"
"91",98,"W69SLBL","069W-sil-blu","Qr3",0.002877073504163,65.88783333,1000,"worker_qr3","3","069",3,9.898222466,0,"worker_qr3"
"92",99,"W69YLSL","069W-yel-sil","Qr3",0.278155428675431,181.7856667,1132.56184771437,"intermediate_queenness","3","069",11,10.13589041,10.8873342362123,"worker_qr3"
"93",100,"W70RDYL","070W-red-yel","Wr",NA,79.93483333,1007.52048654236,"worker_ctrl","3","070",17,10.22815562,1.05360570211406,"worker_ctrl"
"94",101,"W71RDBL","071W-red-blu","Qr3",0.002139270680474,64.871,941.149221835096,"worker_qr3","3","071",17,11.35602849,0,"worker_qr3"
"95",102,"W71YLWH","071W-yel-whi","Qr3",0.835572828521956,248.544,1143.86062371908,"new_queen_3","3","071",17,11.58185205,6.14170552432763,"worker_qr3"
"96",103,"W71YLYL","071W-yel-yel","Qr3",0.003603949137881,88.029,896.778251527852,"worker_qr3","3","071",13,11.77276493,0,"worker_qr3"
