geneID	MEblue.Reproductive.metaPval.MM	MEblue.Reproductive.metaZ.MM	MEblue.Reproductive.MM.cor.Ceratina_australensis	MEblue.Reproductive.MM.cor.Ceratina_calcarata	MEblue.Reproductive.MM.cor.Liostenogaster_flavolineata	MEblue.Reproductive.MM.cor.Megalopta_genalis	MEblue.Reproductive.MM.cor.Polistes_canadensis	MEblue.Reproductive.MM.cor.Polistes_dominula	MEblue.Reproductive.MM.Pval.Ceratina_australensis	MEblue.Reproductive.MM.Pval.Ceratina_calcarata	MEblue.Reproductive.MM.Pval.Liostenogaster_flavolineata	MEblue.Reproductive.MM.Pval.Megalopta_genalis	MEblue.Reproductive.MM.Pval.Polistes_canadensis	MEblue.Reproductive.MM.Pval.Polistes_dominula	MEbrown.Reproductive.metaPval.MM	MEbrown.Reproductive.metaZ.MM	MEbrown.Reproductive.MM.cor.Ceratina_australensis	MEbrown.Reproductive.MM.cor.Ceratina_calcarata	MEbrown.Reproductive.MM.cor.Liostenogaster_flavolineata	MEbrown.Reproductive.MM.cor.Megalopta_genalis	MEbrown.Reproductive.MM.cor.Polistes_canadensis	MEbrown.Reproductive.MM.cor.Polistes_dominula	MEbrown.Reproductive.MM.Pval.Ceratina_australensis	MEbrown.Reproductive.MM.Pval.Ceratina_calcarata	MEbrown.Reproductive.MM.Pval.Liostenogaster_flavolineata	MEbrown.Reproductive.MM.Pval.Megalopta_genalis	MEbrown.Reproductive.MM.Pval.Polistes_canadensis	MEbrown.Reproductive.MM.Pval.Polistes_dominula	MEgreen.Reproductive.metaPval.MM	MEgreen.Reproductive.metaZ.MM	MEgreen.Reproductive.MM.cor.Ceratina_australensis	MEgreen.Reproductive.MM.cor.Ceratina_calcarata	MEgreen.Reproductive.MM.cor.Liostenogaster_flavolineata	MEgreen.Reproductive.MM.cor.Megalopta_genalis	MEgreen.Reproductive.MM.cor.Polistes_canadensis	MEgreen.Reproductive.MM.cor.Polistes_dominula	MEgreen.Reproductive.MM.Pval.Ceratina_australensis	MEgreen.Reproductive.MM.Pval.Ceratina_calcarata	MEgreen.Reproductive.MM.Pval.Liostenogaster_flavolineata	MEgreen.Reproductive.MM.Pval.Megalopta_genalis	MEgreen.Reproductive.MM.Pval.Polistes_canadensis	MEgreen.Reproductive.MM.Pval.Polistes_dominula	MEturquoise.Reproductive.metaPval.MM	MEturquoise.Reproductive.metaZ.MM	MEturquoise.Reproductive.MM.cor.Ceratina_australensis	MEturquoise.Reproductive.MM.cor.Ceratina_calcarata	MEturquoise.Reproductive.MM.cor.Liostenogaster_flavolineata	MEturquoise.Reproductive.MM.cor.Megalopta_genalis	MEturquoise.Reproductive.MM.cor.Polistes_canadensis	MEturquoise.Reproductive.MM.cor.Polistes_dominula	MEturquoise.Reproductive.MM.Pval.Ceratina_australensis	MEturquoise.Reproductive.MM.Pval.Ceratina_calcarata	MEturquoise.Reproductive.MM.Pval.Liostenogaster_flavolineata	MEturquoise.Reproductive.MM.Pval.Megalopta_genalis	MEturquoise.Reproductive.MM.Pval.Polistes_canadensis	MEturquoise.Reproductive.MM.Pval.Polistes_dominula	MEyellow.Reproductive.metaPval.MM	MEyellow.Reproductive.metaZ.MM	MEyellow.Reproductive.MM.cor.Ceratina_australensis	MEyellow.Reproductive.MM.cor.Ceratina_calcarata	MEyellow.Reproductive.MM.cor.Liostenogaster_flavolineata	MEyellow.Reproductive.MM.cor.Megalopta_genalis	MEyellow.Reproductive.MM.cor.Polistes_canadensis	MEyellow.Reproductive.MM.cor.Polistes_dominula	MEyellow.Reproductive.MM.Pval.Ceratina_australensis	MEyellow.Reproductive.MM.Pval.Ceratina_calcarata	MEyellow.Reproductive.MM.Pval.Liostenogaster_flavolineata	MEyellow.Reproductive.MM.Pval.Megalopta_genalis	MEyellow.Reproductive.MM.Pval.Polistes_canadensis	MEyellow.Reproductive.MM.Pval.Polistes_dominula
OG0001113	0.0683731985518416	-1.82253928498658	0.903141940763804	-0.830864933532552	-0.776930555266238	-0.385808647416731	0.862736867071236	-0.557056591043152	0.0136178893094888	0.0404908104875369	0.0000911789392363863	0.139969644110532	0.00131160684402945	0.00468941334299724	0.00763640314518027	-2.66773690181368	-0.507585846380466	-0.846032876409066	-0.646508445198031	0.239797249530424	-0.705408117026714	0.367532779789936	0.304009299884969	0.0337338500160146	0.00277976616006303	0.371035744180499	0.0226717380702065	0.0772528258861621	0.561408834460263	0.580750183153386	0.961621467837705	-0.803312269150652	0.0769375389746817	-0.321403647267233	-0.509416451220006	0.441312887785968	0.00218110350127959	0.0542245581806224	0.754235251531014	0.224800117572249	0.132586594715691	0.0308668754128718	0.127528596419095	-1.52392040145524	-0.912419884713262	-0.870439668438824	-0.662932250135286	0.318729423387091	0.865149856644353	0.0766474957741089	0.0111695330362815	0.0240914272136572	0.00197791709168537	0.228900523111104	0.00122550990685882	0.721860368884872	0.28532210629963	-1.06843994565335	0.730388749539558	-0.82890956537078	-0.483010858540941	0.357535761787607	-0.90847019228945	0.559002013811585	0.0992362881476776	0.0414038310357985	0.0361860844990655	0.17396084299911	0.000274606408418598	0.00451685454363082
OG0001127	0.000987297357325705	3.29412171797762	0.209093332813619	-0.108744666746716	0.82877099740715	-0.454925764557272	0.403485170842973	0.646355067331486	0.690930783316829	0.837525974609423	0.0000116344388599752	0.0766410418415877	0.247575849459599	0.000643898097636247	0.978413941678463	0.0270574131724105	0.157506172954441	0.117703982286783	0.687847932630085	0.375549528927253	-0.615543463391045	-0.621814898080507	0.765694462456617	0.824259375440786	0.00113381322999447	0.151730391955014	0.0581601107444847	0.00117929519459359	0.0000612482706630473	-4.00794927534986	0.234612810717246	-0.0386243041616482	-0.317872015929565	-0.467251294620878	-0.735562966678221	-0.724815795464109	0.654537700448127	0.942092354338079	0.184767850160962	0.0680252351458942	0.0153240360293506	0.0000617252012121186	0.000671418894000095	3.40099160632253	-0.171752478205426	0.236297759455678	0.77995926629146	0.622226246102182	0.355449083126797	0.0231663099068338	0.744904538464019	0.652150396231533	0.0000820886969965491	0.0100564974958199	0.313470236761676	0.914434576456244	0.321240780685142	-0.991911332055923	0.281303492901743	-0.0683136369981382	0.29692154894074	0.23197599954977	-0.290981752704846	-0.710905786149562	0.589174766139382	0.897688945937991	0.217031349881486	0.387304126424082	0.414689255386164	0.0000987654751235424
OG0001128	0.621822484213213	0.493269063897967	-0.833003782470707	0.931375899797253	0.300869403865189	-0.695623564199073	0.134231887410099	0.369248849857588	0.0395030317340408	0.00690231608329653	0.210687961942047	0.00276921927902646	0.711601518627844	0.0757759599426552	0.000000665313446973836	4.97122453009031	0.787115752993539	0.91296805019789	0.550094503895732	0.577228893132001	-0.299297667827601	0.537793722778624	0.0631556285514809	0.0110322260542278	0.0146777198273482	0.0192188904538885	0.400850022591952	0.00671813694081067	0.696921277991651	-0.389479762985963	-0.910465613660769	0.907481939271567	0.374957048501466	-0.726557824219252	-0.295935361023315	0.35957604273697	0.0116657374946931	0.0124434289355017	0.113697878327609	0.00143334745503553	0.406418629294943	0.0843868807529552	0.000000000000297201260937825	7.29565877400339	0.9569834763435	0.912898141289769	0.518026972320704	0.704458636789743	0.131471270895798	0.783588735658527	0.00273583261526129	0.0110496913788074	0.0230871670515912	0.00231330978793181	0.717326218426592	0.00000593285521766558	0.00705884604763438	2.69405526000977	-0.531591764473539	0.922857512906844	0.408179604751235	0.415845459260937	-0.0581371383170408	0.268131771558522	0.277723559569896	0.00869690891702013	0.0827546474671579	0.109156026096741	0.873253981095724	0.205227061597281
OG0001130	0.0000000804603749782103	5.36609320454927	0.30631328036429	0.755590725979324	0.433773562544513	0.632231444148614	0.455601249765324	0.738761735599006	0.554900433997589	0.0823038366926388	0.0635268088418824	0.00859424220777365	0.18575348899445	0.0000374384016694814	0.188759811831222	-1.31425676409359	0.3983798410392	0.63127350494772	0.30322232280419	-0.725662860100908	-0.696418630929508	-0.203243711818815	0.434042973113254	0.178872957396774	0.206965864535042	0.00146265165457763	0.0252609635204109	0.340830284403938	0.637415593355404	-0.471315297118284	0.0460800081663335	0.745889054422995	-0.136534000259458	0.592502879542825	-0.7637790210604	-0.456913290334809	0.930928910138366	0.0886542856554088	0.577284437710359	0.0155829514243516	0.0101281257480461	0.0247940289448782	0.0542672004098814	1.92469760418747	0.179843888466064	0.612213934237725	0.387935356012751	-0.581056774470237	0.44091221553006	0.468581712977341	0.733142586858572	0.196409796340903	0.1007588878159	0.0182515706968458	0.202147652856198	0.020912946054888	0.089767204485425	-1.69662698623331	0.537826597551071	0.685027250425017	0.0764632097921581	-0.752983565632854	-0.423787596698817	-0.472179313266486	0.271045278488351	0.133187867496509	0.755706353312225	0.000760261241990545	0.222282824723729	0.019821021747145
OG0001131	0.0000081743643253012	4.4605655706444	0.180981819512633	0.868819157565651	0.927533340356628	-0.401881173298313	0.0896552487685759	0.484287206722748	0.731491247904366	0.0246839130478642	0.0000000110420831910085	0.122822797910671	0.805447986918753	0.0164807762686772	0.00000000887722303334301	5.75089501485088	0.518030694024193	0.725578005975734	0.971569832093883	0.235155487264502	-0.320713060867723	0.472125863502419	0.292462229610776	0.102628138543308	0.00000000000451376611094066	0.380644731153765	0.366256178990862	0.0198368990219694	0.461016045878228	0.737174816765337	-0.0505493961208713	0.84545010981237	0.235807734620917	-0.405003535330545	-0.39938918102092	0.258320131911824	0.924240488774767	0.0339827391092406	0.331110090237183	0.119669078941374	0.252864642210613	0.222933281008505	0.000000000000774654019825683	7.16556674681543	0.300761901893979	0.632276797926286	0.969579760609098	0.509736994715824	0.0423408382075275	0.755142290795993	0.562460265358382	0.177968699356541	0.00000000000796820730494374	0.0436930693244802	0.907545283125514	0.0000199746664039731	0.0000595542235363826	4.01457017472421	0.471814890094522	0.856816912613192	0.794352949217257	0.172223191766177	0.0253354546489898	0.221811358839006	0.344792853827372	0.0292843681461467	0.0000486995240082077	0.523600577489281	0.944614253376934	0.29755646265562
OG0001133	0.937009916275577	0.0790285477162784	-0.900317411823747	-0.814493445399885	0.221512875570222	0.386452735847951	0.64662156821129	0.16717352045217	0.0144096736590806	0.0484271336818108	0.362086148488599	0.139252706184206	0.0433381710765151	0.434933131453366	0.00284220730151896	-2.98430776780764	0.153852929361116	-0.857997841742659	0.149627139411363	-0.411952525979043	-0.75902264233868	-0.254492483162954	0.771041511062306	0.0288152101449708	0.540941758494105	0.112853300566173	0.0109005079538401	0.230108077307311	0.000261345335913981	-3.65087803077907	-0.899106857091816	-0.801797934067525	-0.288364710361057	0.401807046737969	-0.773553568600093	-0.262197666851109	0.0147556222733441	0.0550329975898011	0.231204902240506	0.122898361721808	0.00866318439404289	0.215818350391014	0.916465253624882	0.104887278431998	0.683622431266872	-0.91471131612769	0.130207138469108	-0.323326138385497	0.628584893777759	0.0683069691876988	0.13430827964163	0.0106010376458678	0.595211190528931	0.221881325802211	0.0515869010040261	0.751136595677223	0.0000471097422085342	-4.06952174802473	-0.913489823503058	-0.801745535089062	0.0227052057910354	-0.357253092223448	-0.681833166310697	-0.211120846403756	0.0109022944157192	0.0550610699824319	0.926489830254942	0.174325964771353	0.0298818269578518	0.322035225961884
OG0001141	0.568957934441632	0.569586872200085	-0.724821735418296	0.685470052087329	0.608486887682238	-0.606458359137109	0.254194238119824	0.113638433234415	0.103165943447445	0.132835551732012	0.0057003751963769	0.0127520846126583	0.4785076113764	0.597006017143871	0.0000218852621653462	4.24473426443253	0.906981347000172	0.843830641493119	0.690673600699423	0.583476478542278	-0.153621044106976	-0.138456637199849	0.0125762841656202	0.0346789058276531	0.00106092741933806	0.0176598747137137	0.671772797171682	0.518794093366157	0.161732322442905	-1.39926903205893	-0.813282838200972	0.718890567585669	0.0900354721743927	-0.580784605936428	0.0759810461047553	-0.2241077203627	0.04904015969103	0.10742678260085	0.713948760353938	0.0183190749611272	0.834747684216876	0.2924535833312	0.00000000570696548189077	5.82512562394083	0.919613239918574	0.909456748320361	0.716662927107312	0.667140096932279	0.342280417241032	0.065980068609301	0.00943331591887174	0.0119259802074908	0.000555627256971182	0.00475523770602693	0.332986610352887	0.75936604158774	0.1196562366751	1.55621810874316	-0.374344848872422	0.716772859150467	0.403573124996738	0.582192030969168	-0.283602333126183	-0.134296118869433	0.464711959547727	0.108966517338381	0.0866258077462649	0.0179720787325014	0.427155401630047	0.531553435056318
OG0001143	0.146816995828984	-1.45086665073846	-0.740176960983612	-0.280795166505252	0.521126375667331	-0.673106771365639	-0.222508435770272	0.0504898455109212	0.0924919490391523	0.589877027636232	0.0221383696606622	0.00426581033352847	0.536653730357928	0.814757207723143	0.626142034689037	0.487164113244474	-0.240005703773313	-0.471576290026062	0.233579244540703	0.793822040619026	0.0481825129362309	-0.480784737357121	0.646903937157757	0.345071122325963	0.335833450934661	0.000241401199367802	0.894845102405392	0.0173958838474931	0.0000365434478083499	-4.12831298629592	-0.63992176770603	-0.354960587376766	-0.529331116847177	-0.631245942482295	-0.181274418459651	-0.424272658528303	0.17114128839478	0.489921106798218	0.0197746738093086	0.00873030987200911	0.616237705399167	0.0387983078460463	0.677475216060453	0.415910882361978	0.327222056043662	-0.426306590184478	0.327003320778621	0.622611234724923	-0.317979732602356	-0.392711679474468	0.52668544797203	0.399278020942599	0.171773317174243	0.00999682916881508	0.370586242945523	0.0576626955038362	0.332595332866893	-0.968899504210845	-0.933767189478089	-0.375882174901028	-0.0349872034927484	0.664462642990337	0.347179669711659	-0.417415479936597	0.00643490322831437	0.462730447015725	0.886925982596919	0.00498899444192953	0.325654270051783	0.0424110926435645
OG0001146	0.907289171151875	-0.116458504154508	0.883905914578425	-0.732203724319072	-0.014745689583949	0.729518078722742	-0.833490803000428	-0.254945427008118	0.0194344064439828	0.0979697836658838	0.952223915697096	0.00133980785207797	0.00273657245138554	0.229251182202297	0.0823570503667417	-1.7371706697135	-0.712417633450923	-0.856360066907147	-0.0549710543823605	-0.69670327432337	0.711044573915191	0.214237723378865	0.112163375296357	0.0294668251087936	0.823135111375959	0.00270989763295003	0.0211450522906859	0.314775613733829	0.00112838872994248	3.25638942221392	0.939714269173763	-0.755512186870245	-0.0705523898607497	0.734794010846467	0.501290362285458	0.346575962806207	0.00534200370596529	0.0823543933377111	0.77410444007118	0.00118545834897515	0.139925540672133	0.0970934323004596	0.00000000309565492472604	-5.92644367757473	-0.960344467871797	-0.923248168814132	-0.0840127935363962	-0.654574604988518	-0.850283618147087	-0.119077828784842	0.00232766146639875	0.0086101988691802	0.732390457644847	0.00593320761552706	0.00182733166112386	0.579444636518416	0.392656913153423	0.85480896709975	0.623709450584956	-0.740101528437501	0.0824085063867497	-0.663574139192712	0.877091838187979	0.275725446250958	0.185751515672903	0.0925431142447411	0.737327099017947	0.00506856612416749	0.000858547744899875	0.19219398959785
OG0001148	0.0647090897421309	1.84726260574176	0.956303551517688	0.721428983059131	0.379524539920763	-0.845518105490001	-0.172426050975718	0.469255579574573	0.00282235286107101	0.10559390944906	0.109015762618341	0.0000370412619655139	0.633833291678487	0.0207047940043088	0.0000155783656660985	4.32034753944203	-0.221585509380693	0.875118011829283	0.332770889079906	0.8184093726618	0.221294424105294	0.393538742081418	0.673061675470056	0.0224194672460039	0.16389377777766	0.000106432021901514	0.538936085162063	0.0570916779375627	0.363882777880738	0.907991376301615	0.905551541107203	0.752483719769951	0.0620448361894489	-0.851292643977628	0.289208810545412	0.18580516141276	0.0129595028043071	0.0843145065337168	0.800786476091532	0.0000288321462852458	0.417668512205685	0.384700419890034	0.00032908119073011	3.59126154004417	-0.719560700688837	0.891154492829895	0.304075735967861	0.755363318916181	-0.164636899549625	0.598985050125065	0.106941558202591	0.0171262515400642	0.205626627515476	0.000715383596804996	0.649460842044218	0.00198310442890455	0.000000280477578050985	5.13611398707255	0.938744543630698	0.752640537500556	0.225841943477659	0.880579654634785	0.190330262816861	0.110055893970046	0.00551342409335356	0.0842125004638306	0.352536377305979	0.00000673560140083373	0.598409995166701	0.60869383019107
OG0001149	0.195238173903746	-1.29523790102052	0.219246528984307	0.255065840497859	0.0718562695774512	-0.334751748926534	-0.395445586892049	-0.393542110818034	0.676399691661049	0.625698350329041	0.770035677338163	0.205033195178188	0.25801536281486	0.0570893610803332	0.00000924796878501979	4.43404877887282	0.707689389832404	0.11968877697338	0.37931341304454	0.449038949792699	0.132959235765702	0.789721352520505	0.11567992715419	0.821324129542241	0.109229084400017	0.081023177786224	0.714239027045863	0.00000446019816928986	0.000627907303956727	3.41926418840062	0.150532524813344	0.238439660105291	0.679432911705133	-0.3443774560241	-0.159052408635211	0.854489645264887	0.775906749374044	0.649118571053523	0.00137616131698214	0.191498173801572	0.660741808234954	0.000000107132707759008	0.379032888767739	0.879679627473384	0.178170434751851	-0.0228396649778969	0.220829103589332	0.22866215983099	-0.480446620389706	0.314025582566071	0.735572331712532	0.965746459692156	0.363607859743755	0.394311522198607	0.159866610068508	0.135076305073783	0.00000000488167053075652	5.8511563492855	0.567875562145494	0.211652492111205	0.612230107205523	0.525884302259813	0.532633789633551	0.845072145500145	0.239751666016269	0.687261936622609	0.00533226668054262	0.0364123760263574	0.112946333446275	0.000000203932518315544
OG0001156	0.533445813831918	-0.622754573933289	-0.732936157952552	0.540431565158762	-0.246943268913392	-0.809946009817949	0.864837320710825	0.14389022305968	0.097460733607645	0.268273569763762	0.308097748067996	0.000142934701439426	0.00123642289508125	0.50235534344687	0.551605815172159	-0.595355573904322	0.434490454112767	0.333920918794663	-0.373222051627119	0.693703508951349	-0.781783617362624	-0.3466797316585	0.389276297447084	0.517735243966517	0.115513542639057	0.00287730166363368	0.00755145116840235	0.0969866825006992	0.000418240239265176	-3.52829849659147	-0.655188524953826	0.456334827130701	-0.13947523256033	-0.813141239970266	-0.549475030947504	-0.305862418095756	0.157844257869763	0.363011677926789	0.569030213294502	0.000128094695651668	0.0999120180751486	0.146078301426172	0.00409384546176316	2.87083855805092	0.645069141757445	0.288017626230087	-0.27803440806553	0.833594045854837	0.846294005585966	-0.388244047913622	0.166607501538673	0.57991968977413	0.249094156319995	0.0000602838992505296	0.00201977293087753	0.060823880992996	0.0688427812861933	-1.81945015177936	-0.574252838100027	0.454728471056582	-0.395559302255763	0.529873999726414	-0.774493851355845	-0.346495755767704	0.233305366028045	0.364921211305188	0.0936742153910777	0.0347639777046297	0.0085306664748882	0.0971760032456872
OG0001161	0.00000109923467465804	4.8729869845761	-0.296584395002659	0.958040284662221	-0.164275770028759	0.877183789828501	-0.300794428741428	0.800913751953546	0.56816753075841	0.00260398905785027	0.5015598893558	0.00000811987812486725	0.398382932838485	0.00000258499559230218	0.0949661049369256	1.66976380140966	0.966331369039371	0.92503235450108	0.0658609184411715	-0.823085828190528	0.0287987114442174	0.166352430556434	0.00168128207817445	0.00821955718083082	0.788790204990064	0.000089845847989491	0.93705504042788	0.437224634852711	0.0000531995023856805	4.04110688549933	-0.432251584609759	0.955099882747741	0.633682038315034	0.838799983135479	-0.149643231255039	-0.0340018825254364	0.392003875697682	0.00297877101482636	0.00357852932961931	0.0000489693836492138	0.679887726986417	0.874671677071249	0.266843133373308	1.11036184385725	0.689940824000096	0.931170308372573	-0.0529951185519623	-0.879779710776415	-0.303789461899875	0.685797281566105	0.129301007083783	0.00694324843199113	0.829401933841101	0.00000704230184264241	0.393468251891408	0.000216381654353691	0.229543350381875	1.20153600043367	0.131378309283004	0.941829713069014	0.392159752129028	-0.69066625403056	0.362890789897772	-0.0925682489323525	0.804066347973644	0.00497725562933251	0.0967870087405442	0.00305520934128832	0.302713817685384	0.667045245332399
OG0001162	0.171337942091161	1.36791736977241	-0.993519262669065	0.742796940170951	0.940101596473733	-0.839072222811019	0.794830458658111	0.306749646371446	0.0000628638391863418	0.0907226907305433	0.0000000022842031170097	0.0000484303733256685	0.00600202609329115	0.144852607366433	0.000000000384266161760324	6.26028839680698	0.487429331608295	0.847930938192769	0.821379109536427	0.734605565393853	-0.546908277394025	0.804258136759562	0.32675952499931	0.0329292008447874	0.0000162239921741678	0.00119070899511853	0.101833648566338	0.00000218169037701339	0.113358241642931	-1.58327744413701	-0.963698635354618	0.787411285719351	-0.173741814695769	-0.806304328345021	-0.225324342774498	0.637022814481079	0.00195276484180471	0.0629870790814131	0.476868749643757	0.000161563475307067	0.531374793804148	0.00081542667241139	0.000000000000000000000000140960206312738	10.4536715909419	0.857036800796624	0.864415068682343	0.900141092372248	0.888224435217237	0.774441684577848	0.864145483382355	0.0291967395084595	0.0263286629563679	0.000000153206131760568	0.0000043290648742682	0.00853798076662766	0.0000000527655209322476	0.0638716273914891	1.85307487548158	-0.856206626964615	0.747213703464702	0.489186292303209	0.599390435695137	-0.743707026978853	0.576088085274144	0.0295282269008025	0.087774730165085	0.0335348647202779	0.0141303884234104	0.0136683721236603	0.00321774765323623
OG0001163	0.436922269428122	0.777400920701858	-0.645072619953125	-0.128966194149916	0.318785526417917	0.235790913784253	0.232251439299665	0.1621070558408	0.166604455246766	0.807623209651519	0.183438971369666	0.379321374421954	0.518479022973394	0.449175149822989	0.0419164970019041	-2.03434823602801	-0.15273617934824	-0.335341288751262	0.157861144331494	-0.355451837536811	-0.466324990294379	-0.368530459752511	0.77267727177551	0.515843264618349	0.518633601615794	0.176664559113456	0.174296544361658	0.0763915847006963	0.0216729939331244	-2.29605050279107	-0.664447185081938	-0.136017773811225	-0.153185335447253	0.236117521264188	-0.70184915040172	-0.318824771667439	0.150002636767234	0.797231560464229	0.531248450067575	0.378642151878555	0.0236738435931985	0.128893045662126	0.713737010346268	-0.366841821118426	0.399373952780461	-0.429458025511019	0.228124371183295	-0.236408824035223	0.13709040080102	-0.264720475431075	0.432789054535006	0.395416334489297	0.347560326768864	0.378036911390429	0.705687456693854	0.211271782193573	0.0442199944665902	-2.01199945474937	-0.781175060429887	-0.179831296138289	0.108082709542992	-0.240948432394361	-0.121798536647562	-0.337867040965733	0.0665873858121327	0.733160864466955	0.659624404168054	0.368673547980686	0.737483166019647	0.10636736866006
OG0001165	0.000908615413839769	-3.31739352133367	0.319521377121889	-0.754231632868868	-0.341224706722239	-0.446106136285337	-0.727270632974574	-0.200091191724435	0.537028527746599	0.0831806738734601	0.152797139832821	0.0832724234711968	0.0171484528316451	0.348531446203909	0.977885525078793	0.0277199336240346	-0.346466827976314	-0.571153709734662	-0.323308028388907	0.49134252467704	0.744695061184536	-0.26204890364651	0.501094569358234	0.236429334649475	0.176954886311617	0.0532575813417669	0.0134764138159015	0.216088478207269	0.216614522153485	-1.23558053922911	0.33271904518451	-0.688569409645355	-0.180781963126633	-0.532415692661124	0.650538213792712	-0.260163369435394	0.519337757942681	0.130380846185652	0.458906300878689	0.0337437103068539	0.0416721609687626	0.219531896434606	0.0176911928159418	-2.37201875213522	-0.423763054406114	-0.537645475238136	-0.294888338905582	0.328158101506897	-0.660953092996876	-0.305230046907167	0.402404070394632	0.271238401952817	0.220346455484199	0.214652120503005	0.0374526399970224	0.146956405689167	0.855027371248501	0.182707703173618	0.171723825303484	-0.690180772716556	-0.360415746668459	0.535297283627553	0.654521648344768	-0.229861502378984	0.744946250184205	0.12911247358618	0.129559448492348	0.0326146387456197	0.0400224348472859	0.279909364790489
OG0001168	0.817703666797511	0.230499480916541	-0.478444377845244	-0.300899403842369	0.719443650167636	-0.720312912821751	-0.680874697179389	0.718042144621017	0.337093550704586	0.562272678136215	0.000516360743543095	0.00164818430920496	0.0302042527496396	0.0000778662896662374	0.00201694002826224	3.08772650108186	0.692701565502487	-0.512040461860551	0.672745044812105	0.627224442472313	0.575260611957272	-0.207147744755229	0.127139038510629	0.299064082717505	0.00159834514658094	0.00930332945546956	0.0818780074602304	0.331435042516387	0.0307471636509224	-2.16032959274012	-0.575253833159333	-0.379606650211047	0.0694375649234608	-0.707940256601328	0.420981413526844	-0.296582188612397	0.232299878723607	0.457940913281424	0.777587737927568	0.00215128623761576	0.225687153403691	0.159343363063061	0.0128114594427806	2.48896772797352	0.724026230799541	-0.509434039945645	0.708942634392679	0.736940329582056	-0.721829366653383	0.166053081084209	0.103732990881295	0.301953875713433	0.000678083449959854	0.00112697847613982	0.0184243829624378	0.438061665964131	0.0868347519156195	1.71233607638404	-0.18754436811904	-0.361691108681615	0.507786766175402	0.436556280804016	0.799344419896688	-0.371397836141768	0.72198168653766	0.481121635241671	0.0264516032582331	0.0909071990748645	0.0055232014194542	0.0739568385712261
OG0001169	0.000572238177616163	3.44444257462953	0.966768215834251	0.286157426213462	0.0618393571211814	0.537377099079144	0.656632537806618	-0.201838139185949	0.00163817743326441	0.582480014565505	0.801433660003725	0.0318177145442364	0.0391663051287531	0.344251289740896	0.40684531612951	-0.829457959812545	-0.463901334311343	0.533852878595438	0.373303991186797	-0.593602789807858	-0.830882983775672	0.418158808511317	0.354064813815851	0.275294422615803	0.115427330588512	0.0153434965576143	0.00290239047213873	0.042007142572055	0.00041623799606586	3.52956846141911	0.916326373071384	0.347580247990093	0.696635966034164	0.569643473897944	-0.857193979983359	0.479048966252373	0.0102090026936118	0.499625565478864	0.000919941534157392	0.0212526819395216	0.0015259142507182	0.0178645003470259	0.389443029565474	0.8606278727756	-0.822062319728672	0.587043825103876	0.273398011174167	-0.395672036216308	0.658566476321085	0.262769949183751	0.0446758118610971	0.220587916693677	0.257400958122187	0.129264503658455	0.038392851716656	0.21478129470462	0.216884149013019	1.23485587214838	0.832059291942381	0.381505324208719	0.550909073544896	-0.700251217541726	-0.644103204844222	0.517570604607648	0.039937815432204	0.455505360236618	0.0145016387328226	0.00252215777359323	0.0444326508155139	0.00958863745528754
OG0001170	0.0117333761620898	2.52006321006797	0.435531414949064	0.923619925933053	-0.731422743870929	0.678972739001732	0.864117003754913	-0.198493400774306	0.388010334909252	0.00852807611452268	0.000372842975002738	0.00382489693002805	0.00126184331845685	0.352473550887313	0.00109814548709754	-3.26409445548653	0.195226577736657	0.813184304391864	-0.62055838216979	-0.622462950577707	-0.663550415008954	-0.5167751174114	0.710880509344695	0.0490902125738222	0.00458273311821273	0.0100197781615605	0.036447222737139	0.00971959190352795	0.0389132935583754	2.06510259917149	0.512942869498599	0.915614492514608	0.26412258178894	0.66532473040835	-0.393055098597473	-0.426993364895949	0.29806599429819	0.0103809198448602	0.274537015671138	0.00491274733265186	0.261165549563654	0.0374340969796903	0.0552636189952001	-1.91679784381665	-0.333598519319408	0.727543697630999	-0.688574517167015	-0.720842046447906	0.835075397704572	-0.465944975580847	0.518164972374881	0.101236107441241	0.001114682787502	0.00162902253071707	0.00263921413104051	0.0217437609169534	0.0942231273477553	-1.67352938200866	0.550275560942527	0.905191844229057	-0.313601089637595	-0.508593584915128	-0.818225724181341	-0.33683574994791	0.257899257019755	0.0130567839512126	0.191066509318171	0.0442470449981452	0.00381145148265194	0.107507324340035
