	F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
OG0000394	356.830027316656	377.712941105812	411.612239885629	333.503081974997	376.520092042543	410.84394822456	391.25501004523	397.334792877516	376.461619158258	378.03186014938	370.728269480983	393.540500985386	398.712961754302	399.029165294554	401.251683899561	401.539253449301	436.653546976109	389.89633088457	364.619398999038	421.718602552916	435.766941016113	404.612752896143	390.20719515571	440.658789257141
OG0000399	185.848972560759	164.48789370737	270.151231428515	243.367113873647	257.249752327203	246.089268479686	193.113012670139	317.867834302013	301.651938428092	208.84277588672	276.074243230519	233.972826326163	358.10330824229	337.879241262401	306.981709971351	254.433283961333	330.634784541581	393.766269652655	320.454232359718	241.489389251354	295.798972809653	260.166820827743	234.683086346632	196.772163756333
OG0000432	1834.94885574989	645.76728640671	1594.38344948538	1015.15634074146	1907.1561183894	322.210101526368	1952.25186246219	605.255191342189	1520.32576967758	717.731818395501	782.022550212164	1732.83323099032	1352.11687261586	575.223861658383	662.306996316143	928.418797227637	1862.51605531168	613.385294741482	1595.08148350847	4416.05964020675	1003.1037721463	1408.3478376669	2225.7641919383	1496.57702011859
OG0000451	1011.01841073053	1170.7070459543	839.924737714111	1060.22432479214	1930.54245951006	1181.43703893002	1108.38822897132	775.074993229566	751.716630562804	1091.79830938248	904.847417608599	961.888286007561	784.504670118419	1054.05886001185	854.069849264126	599.681987861667	729.552839803705	817.524564757969	690.2091158517	595.733015395804	940.584746347414	802.659781607359	361.33745040672	1014.34664696927
OG0000468	1246.42710930749	424.419380059756	886.09603908553	593.770689867647	970.533156507177	484.879278995991	1058.09838192181	731.531454284085	462.130769671836	539.290206087228	892.452247504372	1084.70160863854	602.684175985091	593.879770685141	707.427667598022	512.61927122593	978.427392298319	600.807993745206	887.411720380757	1134.64499802658	1487.39294214065	1217.94183630401	1106.36312134841	1079.93736822138
OG0000540	123.899315040506	171.595395287318	144.40811279997	155.48454497483	149.672583172191	206.464725249906	174.002870791324	143.693678520088	184.610986317992	203.555617003512	130.712702917307	159.567674659223	212.277734267337	191.741287219461	174.842601217279	183.88246185996	144.652718236941	220.586509780849	199.256798326235	153.594354192957	133.436129690159	156.756664915139	183.462571469391	155.20057986415
OG0000546	615.779595751313	355.375078997403	487.254584685613	351.530275595268	432.647310732115	428.570717564199	376.168055930376	378.828788825687	325.784093502339	330.447430200507	380.869772293532	407.883662752507	407.01948179085	412.502877369435	477.795679824176	396.285468824731	451.02897239096	389.89633088457	471.437476452277	340.926196590147	678.378085907312	462.062839514257	362.268732495397	314.096411629828
OG0000564	1046.94921209227	154.334320021729	270.151231428515	475.467231734625	93.5453644826194	107.403367175456	522.008612373971	81.6441355227773	194.263848347691	165.223715100254	190.434886146766	56.4761994580395	40.6096535120123	158.575226727446	727.570824420289	69.8002814407197	44.9232044214104	286.375468838295	78.0593642927518	69.2506336823736	34.5254321575936	311.05118326093	135.967184946858	187.534034002515
OG0000565	921.810903901363	887.422340124945	993.174163542651	804.463515304555	860.617353240099	935.347770450331	863.979572310676	947.071972064217	827.732919046683	888.242692378963	895.832748441888	976.231447774682	1012.47249778812	985.653860247067	932.225297734523	972.700696206158	959.559646441326	976.192054249457	911.034949048301	929.556582890323	869.667642456141	766.548298590259	792.521057464223	896.098586120391
OG0000582	199.477897215214	329.991144783303	390.982509485633	379.69776562694	394.059847883034	378.518662958161	352.028929346608	511.636582609405	247.354589511035	375.388280707776	294.103581563941	299.413501888654	645.139722838558	495.418028599472	363.382549073699	445.070611767169	540.875381233781	616.287748817546	425.21811601578	491.857064872244	352.71927988028	300.381881460423	416.283093638669	378.763319906557
OG0000602	12.3899315040506	16.2457178970242	13.7531535999971	10.1402964114019	15.2011217284257	15.6412670643868	11.0637663508934	18.5060040518295	10.8594697834113	25.1140046952385	13.5220037500662	21.5147426506817	11.9983067194582	16.5830302460074	16.9202517307044	13.5097318917522	16.1723535917077	16.4472397643615	26.7045193633098	15.9809154651631	5.59871872825842	13.9521638929705	13.9692313301567	6.46669082767293
OG0000625	345.679088963011	523.924402179029	497.078265828468	456.313338513088	466.557505357064	619.394175749718	377.173852871366	364.677138668405	359.569110606285	499.636514463167	606.236501461303	528.007642552147	826.037270301159	478.834998353465	597.848894484888	536.636572366823	681.93424311701	646.279774270205	661.450402691213	529.145867624291	568.269950918229	585.170167981643	327.811295214344	455.43979686325
OG0000635	16.1069109552657	15.2303605284601	11.7884173714261	16.9004940190032	24.5556581766876	18.7695204772642	21.1217357607965	13.0630616836444	7.2396465222742	27.7575841368426	30.424508437649	22.4111902611268	31.3801868047367	15.546590855632	31.4233246427367	8.2559472671819	28.7508508297027	22.2521479164891	12.3251627830661	22.1957159238377	26.1273540652059	21.3386036010136	9.31282088677112	18.4762595076369
OG0000650	618.257582052124	660.99764693517	592.367972914163	704.187250791802	651.309600210238	711.156275860787	644.715839174788	616.14107607856	802.394156218724	658.25128095941	733.568703441094	666.060574560688	1069.69519137323	645.701740203914	733.210908330524	898.397170801521	849.048563564657	821.394503526054	1018.88012340013	720.029024569295	1026.43176684738	813.329083407866	779.483108222743	688.240666659476
OG0000651	26.0188561585062	32.4914357940483	6.87657679999857	36.0543872405403	18.7090728965239	10.4275113762579	35.2028929346608	11.9744732100073	30.1651938428092	21.1486355328325	28.1708411459713	14.3431617671211	32.3031334754643	29.020302930513	26.5889670053926	27.7700044441573	18.8677458569924	10.6423316122339	15.4064534788326	37.2888027520473	22.3948749130337	27.083612262825	18.6256417735422	24.9429503353099
OG0000658	1256.33905451073	929.051992236069	1162.14147919976	1260.77685381764	851.262816791837	1222.10433329742	1134.53894943707	910.059963960558	1026.82319840922	1023.06524390077	961.189099900542	933.201962473319	1065.08045801959	805.313406321736	891.938984089988	999.720159989662	876.900950305931	1145.50187535318	867.896879307569	783.064857792994	641.053294385589	837.129833578227	826.047212656599	806.488727508352
OG0000676	555.068931381466	431.526881639704	852.695523199823	528.422112994168	475.912041805326	460.896002830598	558.217302249622	570.420360185804	417.486282784479	389.927967636598	507.075140627484	554.004623255054	522.387815631794	541.021361775992	595.431715666216	556.150629543799	501.34296134294	478.904922550526	499.169092714176	348.916654322729	657.849450570364	631.95095279925	375.306681736876	428.649220577177
OG0000688	573.653828637542	468.079746908008	394.911981942775	628.698377506921	672.357307218827	558.914609767422	525.026003196941	481.156105347568	326.990701256051	518.141570554395	446.226123752186	438.36288150764	373.793401644658	489.199392257219	456.041070456128	297.964642279201	603.767867423756	367.644182968081	426.245212914368	443.026489839801	641.053294385589	453.855684283098	127.585646148764	488.697063976997
