Geneid	gene_name	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam
Caust.v2_011734	NA	7118	8457	12072	6768	8323	9069	14056	14132	11207	5271	11822	8754
Caust.v2_011735	NA	2733	3284	4075	1771	3830	2980	5880	5535	4400	2161	3766	3017
Caust.v2_011736	NA	361	546	548	234	505	506	646	687	617	276	560	380
Caust.v2_011737	NA	1177	1680	1681	716	1694	1554	2188	2251	2008	970	1764	1172
Caust.v2_011738	NA	478	679	736	480	639	862	1161	1038	730	389	866	587
Caust.v2_011739	NA	32	38	75	45	29	29	82	79	26	13	96	45
Caust.v2_011740	NA	0	1	0	0	1	0	1	0	0	0	0	0
Caust.v2_021764	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022397	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022745	NA	0	1	0	0	0	2	1	0	0	0	0	0
Caust.v2_013489	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_013490	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013491	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013492	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013493	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_013494	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013495	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_013496	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013497	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013498	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013499	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013500	NA	19	29	31	7	26	23	58	54	51	9	27	16
Caust.v2_013501	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013502	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_013503	NA	1	0	0	1	0	0	1	0	0	0	0	0
Caust.v2_013504	NA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_013505	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013506	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013507	NA	0	1	0	0	1	0	0	0	0	1	1	0
Caust.v2_013508	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_013509	NA	3	3	0	0	2	2	1	1	2	0	2	0
Caust.v2_013510	NA	67	73	79	49	66	67	101	86	71	47	69	66
Caust.v2_013511	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021812	NA	64	67	73	33	58	61	119	131	87	58	90	57
Caust.v2_018962	NA	0	0	0	0	0	0	0	0	0	1	1	1
Caust.v2_018963	NA	11	15	4	4	7	11	19	27	21	4	14	1
Caust.v2_018964	NA	27	25	16	7	47	24	28	31	52	12	48	7
Caust.v2_018965	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020090	NA	0	3	0	0	0	1	0	0	0	0	1	0
Caust.v2_020091	NA	104	233	69	63	406	946	820	173	328	588	313	210
Caust.v2_016385	NA	0	0	0	1	0	0	0	0	0	0	0	0
Caust.v2_016386	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016387	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016388	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016389	NA	0	1	1	0	0	1	0	0	0	1	1	0
Caust.v2_016390	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016391	NA	0	0	0	1	2	0	1	1	2	0	0	1
Caust.v2_016187	NA	1	0	1	0	1	3	3	1	0	1	0	0
Caust.v2_016188	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016189	NA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016190	NA	2	0	3	3	0	0	5	1	1	0	3	3
Caust.v2_016191	NA	0	0	4	2	1	1	0	4	0	0	1	4
Caust.v2_016192	NA	2	0	0	1	1	1	0	1	1	1	2	2
Caust.v2_016193	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016194	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016195	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020811	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020812	NA	10	21	15	4	33	7	26	22	30	15	20	11
Caust.v2_016264	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016265	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016266	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016267	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016268	NA	1	1	3	3	3	3	3	0	0	2	3	1
Caust.v2_016269	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016270	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016271	NA	40	53	46	36	74	61	76	60	57	42	56	39
Caust.v2_016272	NA	1	1	2	1	1	3	1	0	1	0	5	0
Caust.v2_016273	NA	1825	1502	1780	1508	794	2107	4691	4547	2052	832	5071	1745
Caust.v2_016274	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016275	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021643	NA	8	13	9	6	15	16	17	6	31	10	12	4
Caust.v2_022702	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021012	NA	15	27	23	10	20	21	45	40	24	15	32	14
Caust.v2_017973	NA	23	33	31	12	32	27	76	52	52	11	32	26
Caust.v2_017974	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_017975	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017976	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_017977	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019909	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019910	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019911	NA	0	0	0	0	3	0	0	0	0	0	0	0
Caust.v2_021196	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022040	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020780	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008457	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008458	NA	2	2	0	0	1	0	0	0	3	0	1	3
Caust.v2_008459	NA	374	729	611	381	746	731	790	676	764	461	878	439
Caust.v2_008460	NA	38	312	99	86	544	168	110	83	289	205	106	43
Caust.v2_008461	NA	425	648	597	246	943	445	872	803	1003	447	505	481
Caust.v2_008462	NA	0	0	0	0	0	0	2	1	1	2	3	0
Caust.v2_008463	NA	697	1067	1145	605	1316	798	1795	1351	1261	744	1099	990
Caust.v2_008464	NA	1021	1625	1626	1065	1837	1841	1909	1865	1593	1147	1911	1132
Caust.v2_008465	NA	250	386	499	204	451	385	617	500	383	285	445	346
Caust.v2_008466	NA	952	598	1004	832	805	545	1765	1339	591	307	711	827
Caust.v2_008467	NA	2773	3221	3977	1500	3432	3240	5027	5410	3872	2078	3594	3242
Caust.v2_008468	NA	630	931	1047	567	1116	892	1196	1128	1068	620	1022	661
Caust.v2_008469	NA	88	153	118	53	167	136	171	165	198	90	155	64
Caust.v2_008470	NA	259	306	361	227	322	354	525	457	298	185	432	259
Caust.v2_008471	NA	810	1070	1250	648	1177	1020	1476	1566	1179	649	1181	899
Caust.v2_008472	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008473	NA	30	58	47	27	59	48	73	63	52	35	65	41
Caust.v2_008474	NA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_008475	NA	1874	2194	2579	1716	2910	2310	2897	3156	2449	1359	2313	2309
Caust.v2_008476	NA	172	325	216	145	311	308	312	346	295	172	291	201
Caust.v2_008477	NA	6	6	12	1	6	9	20	16	8	9	12	0
Caust.v2_008478	NA	37	65	81	30	53	84	54	57	49	41	79	39
Caust.v2_008479	NA	0	1	0	0	1	0	0	0	0	0	0	0
Caust.v2_008480	NA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_008481	NA	49	134	85	53	868	99	106	130	157	194	113	71
Caust.v2_008482	NA	20	22	19	11	34	14	24	33	24	16	11	11
Caust.v2_008483	NA	432	806	756	434	1431	675	1094	904	905	694	872	542
Caust.v2_008484	NA	3	2	0	3	3	5	5	2	8	3	3	3
Caust.v2_008485	NA	984	1700	1732	998	1802	1634	2376	2055	2123	1117	1892	1219
Caust.v2_008486	NA	1127	1858	2057	1207	1938	1635	2592	2431	2072	1240	2529	1439
Caust.v2_008487	NA	381	493	658	367	564	490	788	697	577	329	673	432
Caust.v2_008488	NA	1064	1693	1722	706	1547	1783	2493	2002	1871	958	1936	1057
Caust.v2_008489	NA	11	17	9	2	9	11	26	19	17	4	14	5
Caust.v2_008490	NA	907	1223	1362	508	1322	1123	1836	1650	1479	725	1349	1027
Caust.v2_008491	NA	0	4	1	2	3	3	1	1	2	2	4	2
Caust.v2_008492	NA	94	210	141	75	225	201	163	167	252	121	259	84
Caust.v2_013155	NA	0	5	1	0	3	4	2	3	3	1	2	0
Caust.v2_013156	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013157	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013158	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013159	NA	3081	8008	5374	4144	7763	9747	6504	5858	7204	5376	8681	3556
Caust.v2_013160	NA	227	415	399	207	472	413	540	485	528	258	472	279
Caust.v2_013161	NA	562	952	967	561	954	1183	1497	1324	937	565	1248	738
Caust.v2_013162	NA	3790	5065	6529	3491	4915	4788	8477	7373	6518	3009	5816	4522
Caust.v2_013163	NA	79	122	94	81	113	141	99	110	171	88	228	63
Caust.v2_013164	NA	3	8	7	0	15	6	7	7	7	3	5	2
Caust.v2_013165	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013166	NA	22	44	27	2	28	18	83	48	67	24	41	18
Caust.v2_013167	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022550	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015781	NA	17	12	18	8	30	23	53	25	34	13	21	6
Caust.v2_015782	NA	386	448	595	280	518	521	714	755	465	257	579	430
Caust.v2_015783	NA	383	542	612	311	732	630	860	809	704	417	638	509
Caust.v2_015784	NA	940	1516	1376	546	1683	1533	2252	2064	1967	903	1545	1017
Caust.v2_015785	NA	850	1060	1257	736	1370	1240	1344	1361	1264	650	1338	918
Caust.v2_015786	NA	575	809	974	595	988	1059	1141	965	929	610	1224	635
Caust.v2_015787	NA	43	84	71	32	66	55	126	87	81	42	91	52
Caust.v2_015788	NA	120	179	155	85	159	142	248	190	224	89	213	141
Caust.v2_015789	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015790	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021423	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021100	NA	2	9	1	0	7	12	3	2	4	6	6	4
Caust.v2_013560	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013561	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013562	NA	239	558	380	162	5681	660	299	170	286	1162	747	161
Caust.v2_013563	NA	199	483	310	126	2755	531	36	19	256	536	699	57
Caust.v2_013564	NA	0	0	0	0	1	0	0	0	0	1	1	0
Caust.v2_013565	NA	246	377	406	227	382	380	570	424	502	237	418	273
Caust.v2_013566	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013567	NA	3	1	0	0	1	0	0	0	0	1	1	0
Caust.v2_013568	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013569	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013570	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013571	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013572	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013573	NA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_013574	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013575	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013576	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004522	NA	29	30	16	14	18	52	53	43	34	17	19	25
Caust.v2_004523	NA	370	414	549	260	426	537	706	628	452	291	609	402
Caust.v2_004524	NA	2	0	1	0	2	0	1	2	3	1	0	0
Caust.v2_004525	NA	40	39	65	50	37	46	102	91	91	28	68	42
Caust.v2_004526	NA	83	152	117	76	80	120	193	164	182	43	97	124
Caust.v2_004527	NA	48	105	79	46	102	93	117	100	111	60	87	69
Caust.v2_004528	NA	674	914	946	465	1008	841	1242	1263	1100	581	1022	733
Caust.v2_004529	NA	0	0	1	1	0	0	3	4	2	0	0	1
Caust.v2_004530	NA	13	32	24	6	16	28	35	45	50	10	18	17
Caust.v2_004531	NA	50	80	59	24	63	85	92	72	129	64	104	38
Caust.v2_004532	NA	281	417	375	117	413	405	810	570	712	250	410	330
Caust.v2_004533	NA	1016	1359	1537	858	1490	1328	1900	1947	1524	899	1665	1149
Caust.v2_004534	NA	643	971	1065	731	1189	818	1401	1160	1052	737	1139	838
Caust.v2_004535	NA	2	2	7	1	6	2	19	10	7	3	6	4
Caust.v2_004536	NA	1009	1771	1412	535	1533	1292	2912	2258	2279	1061	1641	1052
Caust.v2_004537	NA	23	39	32	17	75	9	39	42	42	26	23	25
Caust.v2_004538	NA	4265	7076	7377	3642	6301	7888	11471	9472	8286	3860	8762	5283
Caust.v2_004539	NA	104	116	170	97	157	102	215	160	132	98	141	125
Caust.v2_004540	NA	284	368	359	195	328	415	542	562	449	210	411	293
Caust.v2_004541	NA	1	4	2	1	3	3	2	2	3	1	3	0
Caust.v2_004542	NA	397	476	536	317	497	562	784	712	545	316	616	441
Caust.v2_004543	NA	62	112	236	64	113	131	114	274	46	58	85	216
Caust.v2_004544	NA	673	947	1173	560	1106	942	1745	1448	1215	564	1214	852
Caust.v2_004545	NA	725	1190	1149	632	1364	1260	1327	1290	1194	774	1335	733
Caust.v2_004546	NA	369	563	543	271	679	573	747	650	586	333	614	405
Caust.v2_004547	NA	2	6	4	1	7	5	6	10	6	3	5	6
Caust.v2_004548	NA	78	123	124	50	125	114	224	166	215	91	127	86
Caust.v2_004549	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004550	NA	0	1	0	1	0	0	0	0	2	0	0	1
Caust.v2_004551	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_004552	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_004553	NA	0	1	0	0	2	0	1	0	1	0	0	0
Caust.v2_004554	NA	585	803	848	384	746	701	1306	1126	930	487	864	636
Caust.v2_004555	NA	766	1181	1399	753	1118	1320	1983	1642	1343	661	1577	921
Caust.v2_004556	NA	457	549	884	389	657	603	1074	1023	646	380	662	609
Caust.v2_004557	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_004558	NA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_004559	NA	37	45	43	32	35	52	98	87	39	33	69	18
Caust.v2_004560	NA	89	182	148	45	198	156	391	257	323	116	198	113
Caust.v2_004561	NA	20	28	31	9	34	31	66	43	54	17	29	23
Caust.v2_004562	NA	0	2	0	0	0	0	2	0	3	0	1	0
Caust.v2_004563	NA	616	812	1070	555	916	1061	1338	1171	980	581	1059	732
Caust.v2_004564	NA	375	498	681	377	664	577	771	797	627	355	662	427
Caust.v2_004565	NA	437	689	694	347	616	612	1004	874	654	477	873	528
Caust.v2_004566	NA	312	456	520	312	466	530	529	483	462	301	633	382
Caust.v2_004567	NA	310	538	523	236	637	566	780	653	641	324	568	365
Caust.v2_004568	NA	643	952	1003	451	955	924	1433	1390	1213	606	1096	699
Caust.v2_004569	NA	0	0	0	0	1	3	4	0	0	0	0	0
Caust.v2_004570	NA	0	1	0	0	0	0	0	0	0	0	0	0
