	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ccalc.v2_016387	1.08509587143025	2.72079291475588	2.48628922472875	1.09431874928096	0.273815205009308	NA
Ccalc.v2_016388	2406.88672513731	-0.612919876161188	0.617009086237973	-0.993372528593189	0.320528444072495	0.712070525288049
Ccalc.v2_016389	115.680617862692	-0.488289096158231	0.328304940619568	-1.48730352713165	0.136934663384148	0.499117856077962
Ccalc.v2_016390	31.0183689006627	-1.11024347324481	0.487720461500326	-2.27639305890403	0.0228224947478616	0.210277673618761
Ccalc.v2_016391	0.161772618011966	-0.814343607614431	4.05727613477431	-0.20071190142441	0.840923853101616	NA
Ccalc.v2_016392	0.161772618011966	-0.814343607614431	4.05727613477431	-0.20071190142441	0.840923853101616	NA
Ccalc.v2_000362	17.0137856338974	1.12146617339838	1.29310781105191	0.867264248049119	0.385797240918067	0.761047342628928
Ccalc.v2_000363	2.69035427167709	-0.564201771828973	1.20442534648316	-0.468440633100593	0.639469516168582	NA
Ccalc.v2_000364	0.993497096832878	2.69605291852839	2.07561606660455	1.29891696345307	0.193972427430499	NA
Ccalc.v2_000365	1.55533219224903	0.0675725248994897	1.57985648864779	0.0427713057388683	0.965883837752852	NA
Ccalc.v2_000366	30.6397763407035	0.275385527593103	0.555107960461552	0.496093638008957	0.619828347616925	0.884010213475526
Ccalc.v2_000367	7.73800454107732	-1.00560345552847	1.27756969230346	-0.787122191131008	0.431210340051775	0.787851886209232
Ccalc.v2_000368	10.0042257078413	1.3441288669956	0.653781097689423	2.0559310627762	0.0397891614884783	0.283151624475242
Ccalc.v2_000369	14.9504856969094	0.829433126339865	0.630649902882536	1.3152037644797	0.188441430333675	0.574491312327576
Ccalc.v2_000370	159.429514568929	-0.0741210884449711	0.522158802289994	-0.141951238052301	0.887118521941331	0.977980674465005
Ccalc.v2_000371	15.6301819261058	0.837146284939936	0.621575761763402	1.34681294934179	0.178040483105363	0.561380577494588
Ccalc.v2_000372	13.9740591236513	-1.33667014252657	0.788024922497822	-1.69622825924044	0.0898426606793154	0.419319709392769
Ccalc.v2_000373	39.1641469148935	1.84056253521186	0.597622915777862	3.07980582172991	0.00207135592227272	0.0569640151897499
Ccalc.v2_000374	71.0983257190664	0.355713596272763	0.474628791463871	0.749456422935606	0.453582154283547	0.802388048353677
Ccalc.v2_000375	32.0180213516187	0.846842458051383	0.577390477603459	1.46667201988908	0.142465297874103	0.506468697525153
Ccalc.v2_000376	26.4331725260734	-0.457169321123847	0.704920585427561	-0.648540176829361	0.516635633869078	0.840098202270971
Ccalc.v2_000377	133.144504194741	0.280856667748549	0.460265307279736	0.610206034012145	0.541725333164377	0.849264420721356
Ccalc.v2_000378	840.761886466883	0.175829947283642	0.560378419592059	0.313770018859116	0.753695716726233	0.936072756807939
Ccalc.v2_000379	2.44113777808252	1.2115779366037	1.51129015939605	0.801684527005641	0.422735468474968	NA
