geneID	Reproductive.GS.metaZ	Reproductive.GS.metaPval	Reproductive.GS.cor.Ceratina_australensis	Reproductive.GS.pval.Ceratina_australensis	Reproductive.GS.cor.Ceratina_calcarata	Reproductive.GS.pval.Ceratina_calcarata	Reproductive.GS.cor.Megalopta_genalis	Reproductive.GS.pval.Megalopta_genalis
OG0000947	-0.278927211620989	0.780300685102751	-0.0856316881711707	0.871866427166148	-0.00290274817572355	0.995645889965616	-0.0815010074255608	0.764132530980195
OG0000948	-0.312338184669153	0.75478352336149	-0.359175818732272	0.484404417591594	-0.415709999540431	0.412355421676428	0.284789653479826	0.285028500391026
OG0000949	-2.0052161084395	0.0449399487179942	-0.906328888870239	0.0127504674496273	-0.577265237717293	0.230284678814192	0.22504672343328	0.402033713592451
OG0000953	-0.207477397526012	0.835637042785657	-0.432718236624236	0.391434823816319	0.74086926243989	0.0920229575717855	-0.343022647536053	0.193366968792079
OG0000954	-0.908996060824223	0.363352205129886	0.116878084024242	0.825481179709587	-0.675613657971591	0.140772728811424	-0.0446716234697909	0.869516521288289
OG0000960	3.19541796444389	0.00139628471103857	-0.361161395751461	0.48181241086381	0.938048651652529	0.00563807064846124	0.641756657974676	0.00736372311791598
OG0000964	1.08721251620282	0.276942900633521	0.931980101946775	0.00678270574347042	-0.022334548036559	0.966503748539197	-0.361984668642694	0.168280938681857
OG0000970	-0.226851671515337	0.820539082860098	-0.794176276422727	0.0591854108812977	0.297132746614753	0.567417488598702	0.300365445583462	0.258328300199635
OG0000975	0.090876836971143	0.927590455439667	0.231327526414082	0.659198158772203	0.485497390767653	0.328971654506765	-0.351574731965581	0.181768402807316
OG0000979	-0.434202233161613	0.664141591581913	0.700735218313966	0.120938125761793	-0.0770628766956716	0.884634511107137	-0.553966450603843	0.0259794689564277
OG0000980	-3.30521262144368	0.000949043738975673	-0.928755759440711	0.00743280403393838	-0.257266627401879	0.622613798521819	-0.468210094365142	0.0673860148744156
OG0000984	-0.963612743976947	0.335240115145281	0.00924204772832359	0.98613732311433	0.0554732847866531	0.916875426382623	-0.446794786424716	0.082740297382518
OG0000985	-0.826192813435627	0.408694724274073	-0.861614873874589	0.0274005964549776	-0.0206872978076108	0.968973480000949	0.312452478391417	0.238709516253293
OG0000986	0.610695121933789	0.541401436036376	-0.726599923491437	0.101903402722087	0.878270446013469	0.0213252270734153	0.0439157170045533	0.871707337579519
OG0000988	2.42129038193238	0.015465517673613	-0.297479133532095	0.566943834364417	0.893009406803088	0.0165581205824714	0.475315568464716	0.062784769159027
OG0000994	-2.26021324873228	0.0238080189855339	-0.855539226274284	0.0297960029037862	-0.887022344196752	0.0184249054511488	0.370077870990291	0.158268136693808
OG0000997	-0.827353776624164	0.408036571645065	-0.569253948326593	0.238352464906551	0.448028134823429	0.372923964454204	-0.286939727269036	0.281247878140872
OG0000998	4.49399014746004	0.00000699008637889596	0.766103519199886	0.0756633922811406	0.730167599155801	0.0993911024118195	0.779221796916931	0.000373722308914885
OG0001000	0.702481397808541	0.48237899866	0.143007870027924	0.786950539872701	0.603571379754014	0.204582977490193	-0.124627093390014	0.645609130376087
OG0001003	-1.48392227081776	0.137829542809994	-0.808373911409869	0.0515625283087814	-0.522791821578368	0.287254720873562	0.21946886097573	0.414103807871951
OG0001006	0.807893231153027	0.419152048252346	0.868538527061563	0.0247872118998291	-0.703899397610978	0.118532956040175	0.131551385000005	0.627221961260121
OG0001012	-2.05244639236453	0.0401262998307968	-0.957715288025814	0.00264419283384944	-0.216615637269549	0.680158599770011	0.190183242525228	0.480496376963205
OG0001013	-1.24524904450639	0.213040219691132	-0.270438996902302	0.604231087051019	-0.543700169564315	0.264811315067333	-0.102103535945882	0.706715956422307
OG0001014	-1.12672994240594	0.259856678731288	-0.273397496844553	0.600121465530597	-0.78882933009992	0.0621812054255751	0.196817703833178	0.465021926014385
OG0001018	-1.58029663716755	0.114038949634369	0.176801667127163	0.737560805893184	0.0126152625210162	0.981078110045497	-0.682504075695271	0.00357765971817554
