powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	14	1	0.00346693103448871	-0.143598615075803	0.822484741924825	2679.93340641969	2610.61370097122	4073.44787474627
2	14	2	0.441656020206896	-1.13496889808172	0.890972310594965	1109.07806181787	1015.50823756067	2351.23698943469
3	14	3	0.702535794229986	-1.43568313913625	0.930858388924766	555.698340052134	469.718987345096	1550.38135974448
4	14	4	0.778334734033843	-1.57903631655902	0.936336004399729	313.22089350096	241.186819122567	1102.74383585429
5	14	5	0.811687083702845	-1.65424172566058	0.936675517717679	191.498639619899	134.138477543306	824.198635512001
6	14	6	0.81338786058789	-1.71917731825742	0.929332558354855	124.326231205277	78.718985018861	638.117066183083
7	14	7	0.829709424492316	-1.73834765757471	0.935692757770427	84.5521321474633	48.2827664314878	507.325053515211
8	14	8	0.849070240688091	-1.73369273203948	0.945134742509394	59.6755483132181	30.6411297278054	411.800806838139
9	14	9	0.853289996463845	-1.73326909549505	0.946926920424135	43.4174301069567	20.0903773000321	339.905159300649
10	14	10	0.868995931187065	-1.71866812559381	0.957721702885204	32.4007554243822	13.4995935388415	284.464743982337
11	14	12	0.887693854164127	-1.6876216978144	0.965410989016557	19.1909178212256	6.57546022108976	205.953499530638
12	14	14	0.906100097055688	-1.6546383401058	0.975591131719301	12.1288142296732	3.38669524247014	154.357930314481
13	14	16	0.920162794604569	-1.6252775831089	0.981817125963484	8.06122162724988	1.86644187101744	118.811321228688
14	14	18	0.921129570316895	-1.61084770619236	0.980583644622406	5.5775656768481	1.07788143825418	94.1240007832908
15	14	20	0.91632608050028	-1.61653060051017	0.980615461225141	3.98805121672089	0.648451178060897	77.0142387682429
16	14	22	0.919980287225988	-1.60944133144289	0.983709182725735	2.93063287746484	0.400614555832965	63.9176464604184
17	14	24	0.924731191649293	-1.60157797011625	0.986913782694144	2.20400603472605	0.257153478534353	53.6740919220315
18	14	26	0.924039571364575	-1.60410539066816	0.98729246827644	1.69073669567836	0.167759072955841	45.5175509854898
19	14	28	0.906844754307863	-1.62776758357894	0.980391248437251	1.31947753504348	0.111382734734876	38.9248028065722
20	14	30	0.909733493670457	-1.61561884466639	0.983766893540353	1.04534404197585	0.0756176431175251	33.5279489152002
21	14	32	0.911857342679343	-1.60258019044903	0.985822089131872	0.839232663312728	0.0522731671971502	29.0617470991854
22	14	34	0.90976367752068	-1.59898895739717	0.984221557761572	0.681765909662771	0.036540264223654	25.3307662047285
23	14	36	0.916603634258819	-1.58456839780793	0.987223364848601	0.559736663823989	0.0259370311172614	22.1882555644919
24	14	38	0.917143069146631	-1.57382817693782	0.988363210054585	0.463954058842994	0.0186247809996011	19.5221708273088
25	14	40	0.920433874969733	-1.56188839102553	0.987974537798165	0.387901857451842	0.013405525099817	17.245702385328
