Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107064911	LOC107064911	360
gene-LOC107064622	LOC107064622	38
gene-LOC107064642	LOC107064642	114
gene-LOC107064649	LOC107064649	95
gene-LOC107074287	LOC107074287	494
gene-LOC107074301	LOC107074301	161
gene-LOC107074316	LOC107074316	115
gene-LOC107074305	LOC107074305	68
gene-LOC107074323	LOC107074323	311
gene-LOC107074337	LOC107074337	33
gene-LOC107064541	LOC107064541	289
gene-LOC107074513	LOC107074513	59
gene-LOC107074505	LOC107074505	564
gene-LOC107074444	LOC107074444	242
gene-LOC107074465	LOC107074465	380
gene-LOC107065357	LOC107065357	552
gene-LOC107067559	LOC107067559	191
gene-LOC107063891	LOC107063891	231
gene-LOC107063919	LOC107063919	273
gene-LOC107064025	LOC107064025	0
gene-LOC107064032	LOC107064032	0
gene-LOC107064012	LOC107064012	416
gene-LOC107063990	LOC107063990	249
gene-LOC107064005	LOC107064005	273
gene-LOC107063664	LOC107063664	194
gene-LOC107068229	LOC107068229	336
gene-LOC107065367	LOC107065367	105
gene-LOC107065150	LOC107065150	1465
gene-LOC107064766	LOC107064766	1
gene-LOC107068875	LOC107068875	4
gene-LOC107065276	LOC107065276	66
gene-LOC107065267	LOC107065267	214
gene-LOC107069540	LOC107069540	1
gene-LOC107065115	LOC107065115	1070
gene-LOC107065366	LOC107065366	2
gene-LOC107064519	LOC107064519	13
gene-LOC107063925	LOC107063925	213
gene-LOC107063977	LOC107063977	2714
gene-LOC107063969	LOC107063969	52
gene-LOC107063988	LOC107063988	12
gene-LOC107063933	LOC107063933	156
gene-LOC107064113	LOC107064113	151
gene-LOC107064102	LOC107064102	469
gene-LOC107064089	LOC107064089	299
gene-LOC107064975	LOC107064975	35
gene-LOC107064969	LOC107064969	78
gene-LOC107065030	LOC107065030	109
gene-LOC107064278	LOC107064278	49
gene-LOC107065436	LOC107065436	4
gene-LOC107065445	LOC107065445	6
gene-LOC107065185	LOC107065185	208
gene-LOC107064123	LOC107064123	271
gene-LOC107064130	LOC107064130	1
gene-LOC107065489	LOC107065489	4
gene-LOC107064580	LOC107064580	36
gene-LOC107065137	LOC107065137	0
gene-LOC107065142	LOC107065142	211
gene-LOC107064882	LOC107064882	106
gene-LOC107065228	LOC107065228	51
gene-LOC107065235	LOC107065235	152
gene-LOC107065069	LOC107065069	3
gene-Trnap-cgg	Trnap-cgg	0
gene-LOC107065472	LOC107065472	3
gene-LOC107065485	LOC107065485	6
gene-LOC107065314	LOC107065314	38
gene-LOC107065331	LOC107065331	18
gene-LOC107074183	LOC107074183	236
gene-LOC107074188	LOC107074188	68
gene-LOC107074207	LOC107074207	30
gene-LOC107074250	LOC107074250	97
gene-LOC107074239	LOC107074239	30
gene-LOC107074215	LOC107074215	10
gene-LOC107074192	LOC107074192	73
gene-LOC107074195	LOC107074195	417
gene-LOC107074225	LOC107074225	34
gene-LOC107074259	LOC107074259	71
gene-LOC107064235	LOC107064235	148
gene-LOC107064246	LOC107064246	38
gene-LOC107064262	LOC107064262	55
gene-LOC107064250	LOC107064250	136
gene-LOC107064983	LOC107064983	405
gene-LOC107065001	LOC107065001	96
gene-Trnai-uau	Trnai-uau	0
gene-LOC107064954	LOC107064954	23
gene-LOC107064956	LOC107064956	326
gene-LOC107064943	LOC107064943	259
gene-LOC107064961	LOC107064961	9
gene-LOC107073860	LOC107073860	522
gene-LOC107073887	LOC107073887	92
gene-LOC107071567	LOC107071567	12
gene-LOC107072202	LOC107072202	3
gene-LOC107073893	LOC107073893	311
gene-LOC107073899	LOC107073899	129
gene-LOC107073877	LOC107073877	253
gene-LOC107073902	LOC107073902	68
gene-LOC107073923	LOC107073923	269
gene-LOC107073930	LOC107073930	88
gene-LOC107064692	LOC107064692	130
gene-LOC107064681	LOC107064681	454
gene-LOC107074138	LOC107074138	113
gene-LOC107072866	LOC107072866	30
gene-LOC107074146	LOC107074146	20
gene-LOC107074151	LOC107074151	91
gene-LOC107074157	LOC107074157	509
gene-LOC107074171	LOC107074171	0
gene-LOC107074163	LOC107074163	151
gene-LOC107074175	LOC107074175	148
gene-LOC107064304	LOC107064304	12
gene-LOC107064301	LOC107064301	180
gene-LOC107064284	LOC107064284	134
gene-LOC107064300	LOC107064300	35
gene-LOC107064886	LOC107064886	18
gene-LOC107064789	LOC107064789	119
gene-LOC107065156	LOC107065156	410
gene-LOC107064138	LOC107064138	374
gene-LOC107073543	LOC107073543	107
gene-LOC107064145	LOC107064145	114
gene-LOC107064353	LOC107064353	77
gene-LOC107064372	LOC107064372	19
gene-LOC107064320	LOC107064320	553
gene-LOC107064311	LOC107064311	280
gene-LOC107064514	LOC107064514	428
gene-LOC107074418	LOC107074418	123
gene-LOC107074386	LOC107074386	476
gene-LOC107074427	LOC107074427	1
gene-LOC107074433	LOC107074433	3357
gene-LOC107063847	LOC107063847	365
gene-LOC107063872	LOC107063872	40
gene-LOC107063864	LOC107063864	8
gene-LOC107063882	LOC107063882	40
gene-LOC107063876	LOC107063876	139
gene-LOC107073839	LOC107073839	0
gene-LOC107063615	LOC107063615	6239
gene-LOC107064080	LOC107064080	9
gene-LOC107074638	LOC107074638	21742
gene-LOC107064027	LOC107064027	57
gene-LOC107073883	LOC107073883	14329
gene-LOC107064390	LOC107064390	719
gene-LOC107065278	LOC107065278	293
gene-LOC107065121	LOC107065121	595
gene-LOC107065127	LOC107065127	5
gene-LOC107065294	LOC107065294	4
gene-LOC107065478	LOC107065478	0
gene-LOC107064808	LOC107064808	52
gene-LOC107064796	LOC107064796	85
gene-LOC107064813	LOC107064813	12
gene-LOC107073922	LOC107073922	2
gene-LOC107064803	LOC107064803	27
gene-LOC107069923	LOC107069923	152
gene-LOC107073989	LOC107073989	313
gene-LOC107070229	LOC107070229	342
gene-LOC107070340	LOC107070340	871
gene-LOC107070488	LOC107070488	18
gene-LOC107070557	LOC107070557	111
gene-LOC107070762	LOC107070762	149
gene-LOC107070839	LOC107070839	344
gene-LOC107071338	LOC107071338	22
gene-LOC107071238	LOC107071238	215
gene-LOC107071383	LOC107071383	1251
gene-LOC107071501	LOC107071501	79
gene-LOC107064721	LOC107064721	125
gene-LOC107064745	LOC107064745	246
gene-LOC107065095	LOC107065095	488
gene-LOC107064328	LOC107064328	308
gene-LOC107074124	LOC107074124	0
gene-LOC107065406	LOC107065406	2
gene-LOC107065430	LOC107065430	1
gene-LOC107064779	LOC107064779	69
gene-LOC107064759	LOC107064759	106
gene-LOC107064773	LOC107064773	175
gene-LOC107074303	LOC107074303	10
gene-LOC107074376	LOC107074376	24
