Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107074496	LOC107074496	0
gene-LOC107074498	LOC107074498	0
gene-LOC107074497	LOC107074497	3
gene-LOC107074265	LOC107074265	12
gene-LOC107074257	LOC107074257	1013
gene-LOC107074266	LOC107074266	1
gene-LOC107074268	LOC107074268	222
gene-LOC107074270	LOC107074270	1194
gene-LOC107074274	LOC107074274	64
gene-Trnaa-agc-3	Trnaa-agc	0
gene-Trnak-uuu	Trnak-uuu	0
gene-Trnak-cuu	Trnak-cuu	0
gene-LOC107074271	LOC107074271	65
gene-LOC107074272	LOC107074272	23
gene-LOC107074273	LOC107074273	42
gene-LOC107074275	LOC107074275	1171
gene-LOC107074278	LOC107074278	85
gene-LOC107074277	LOC107074277	39
gene-LOC107074279	LOC107074279	111
gene-LOC107074280	LOC107074280	127
gene-LOC107074281	LOC107074281	77
gene-LOC107074282	LOC107074282	1804
gene-LOC107074382	LOC107074382	442
gene-LOC107074384	LOC107074384	254
gene-LOC107074385	LOC107074385	49
gene-LOC107074383	LOC107074383	99
gene-LOC107074387	LOC107074387	59
gene-LOC107074388	LOC107074388	60
gene-LOC107074443	LOC107074443	68
gene-LOC107074442	LOC107074442	123
gene-LOC107074441	LOC107074441	1664
gene-LOC107074502	LOC107074502	288
gene-LOC107074517	LOC107074517	193
gene-LOC107074345	LOC107074345	400
gene-LOC107074347	LOC107074347	197
gene-LOC107074346	LOC107074346	186
gene-LOC107074349	LOC107074349	31
gene-LOC107074351	LOC107074351	323
gene-LOC107074350	LOC107074350	31
gene-LOC107074353	LOC107074353	77
gene-LOC107074352	LOC107074352	138
gene-LOC107074354	LOC107074354	63
gene-LOC107074300	LOC107074300	16369
gene-LOC107074302	LOC107074302	138
gene-LOC107074304	LOC107074304	962
gene-LOC107074306	LOC107074306	2
gene-LOC107074307	LOC107074307	379
gene-LOC107074264	LOC107074264	22
gene-LOC107074402	LOC107074402	268
gene-LOC107074403	LOC107074403	2511
gene-LOC107074540	LOC107074540	14
gene-LOC107074450	LOC107074450	183
gene-LOC107074451	LOC107074451	36
gene-LOC107074412	LOC107074412	361
gene-LOC107074413	LOC107074413	295
gene-LOC107074414	LOC107074414	203
gene-LOC107074415	LOC107074415	49
gene-LOC107074238	LOC107074238	16
gene-LOC107074258	LOC107074258	60
gene-LOC107074478	LOC107074478	182
gene-LOC107074479	LOC107074479	161
gene-LOC107074480	LOC107074480	144
gene-LOC107074527	LOC107074527	417
gene-LOC107074514	LOC107074514	350
gene-LOC107074515	LOC107074515	57
gene-LOC107074475	LOC107074475	121
gene-LOC107074476	LOC107074476	124
gene-LOC107074477	LOC107074477	114
gene-LOC107074455	LOC107074455	135
gene-LOC107074457	LOC107074457	52
gene-LOC107074456	LOC107074456	52
gene-LOC107074284	LOC107074284	0
gene-LOC107074262	LOC107074262	11
gene-Trnal-uaa	Trnal-uaa	0
gene-LOC107074263	LOC107074263	5
gene-LOC107074240	LOC107074240	29
gene-LOC107074458	LOC107074458	395
gene-LOC107074460	LOC107074460	8
gene-LOC107074459	LOC107074459	17
gene-LOC107074241	LOC107074241	1
gene-LOC107074374	LOC107074374	151
gene-LOC107074242	LOC107074242	209
gene-LOC107074375	LOC107074375	281
gene-LOC107074243	LOC107074243	0
gene-LOC107074501	LOC107074501	63
gene-LOC107074490	LOC107074490	77
gene-LOC107074356	LOC107074356	185
gene-LOC107074357	LOC107074357	133
gene-LOC107074355	LOC107074355	290
gene-LOC107074358	LOC107074358	50
gene-LOC107074359	LOC107074359	3
gene-LOC107074360	LOC107074360	32
gene-LOC107074363	LOC107074363	153
gene-LOC107074365	LOC107074365	271
gene-LOC107074361	LOC107074361	830
gene-LOC107074364	LOC107074364	442
gene-LOC107074362	LOC107074362	25
gene-LOC107074467	LOC107074467	306
gene-LOC107074468	LOC107074468	128
gene-LOC107074469	LOC107074469	234
gene-LOC107074532	LOC107074532	139
gene-LOC107074529	LOC107074529	29
gene-LOC107074530	LOC107074530	16
gene-LOC107074244	LOC107074244	1
gene-LOC107074504	LOC107074504	74
gene-LOC107074506	LOC107074506	140
gene-LOC107074245	LOC107074245	0
gene-LOC107074522	LOC107074522	75
gene-LOC107074508	LOC107074508	45
gene-LOC107074507	LOC107074507	42
gene-LOC107074509	LOC107074509	24
gene-LOC107074534	LOC107074534	98
gene-LOC107074520	LOC107074520	87
gene-LOC107074516	LOC107074516	148
gene-LOC107074481	LOC107074481	10
gene-LOC107074484	LOC107074484	794
gene-LOC107074483	LOC107074483	144
gene-LOC107074482	LOC107074482	61
gene-LOC107074485	LOC107074485	76
gene-LOC107074464	LOC107074464	74
gene-LOC107074466	LOC107074466	10678
gene-LOC107074487	LOC107074487	64
gene-LOC107074486	LOC107074486	59
gene-LOC107074535	LOC107074535	41
gene-LOC107074531	LOC107074531	54
gene-LOC107074429	LOC107074429	7
gene-LOC107074428	LOC107074428	207
gene-LOC107074434	LOC107074434	620
gene-LOC107074426	LOC107074426	734
gene-LOC107074432	LOC107074432	40
gene-LOC107074430	LOC107074430	21
gene-LOC107074431	LOC107074431	738
gene-LOC107074492	LOC107074492	85
gene-LOC107074491	LOC107074491	1074
gene-LOC107074510	LOC107074510	99
gene-LOC107074404	LOC107074404	199
gene-LOC107074406	LOC107074406	72
gene-LOC107074405	LOC107074405	406
gene-LOC107074407	LOC107074407	572
gene-LOC107074448	LOC107074448	664
gene-LOC107074449	LOC107074449	128
gene-LOC107074390	LOC107074390	133
gene-LOC107074393	LOC107074393	76
gene-LOC107074392	LOC107074392	74
gene-LOC107074246	LOC107074246	109
gene-LOC107074389	LOC107074389	764
gene-LOC107074396	LOC107074396	56
gene-LOC107074391	LOC107074391	108
gene-LOC107074394	LOC107074394	108
gene-LOC107074395	LOC107074395	33
gene-LOC107074533	LOC107074533	38
gene-LOC107074247	LOC107074247	28
gene-LOC107074377	LOC107074377	243
gene-LOC107074378	LOC107074378	17
gene-LOC107074380	LOC107074380	82
gene-LOC107074379	LOC107074379	735
gene-LOC107074381	LOC107074381	288
gene-LOC107074366	LOC107074366	198
gene-LOC107074367	LOC107074367	386
gene-LOC107074488	LOC107074488	287
gene-LOC107074489	LOC107074489	1386
gene-LOC107074521	LOC107074521	311
gene-LOC107074528	LOC107074528	47
gene-LOC107074503	LOC107074503	100
gene-LOC107074523	LOC107074523	214
gene-LOC107074499	LOC107074499	906
gene-LOC107074372	LOC107074372	108
gene-LOC107074371	LOC107074371	176
gene-LOC107074370	LOC107074370	169
gene-LOC107074369	LOC107074369	172
gene-LOC107074368	LOC107074368	1878
gene-LOC107074373	LOC107074373	66
gene-LOC107074445	LOC107074445	246
gene-LOC107074446	LOC107074446	3570
gene-LOC107074447	LOC107074447	65495
gene-LOC107074512	LOC107074512	585
gene-LOC107074526	LOC107074526	325
gene-LOC107074438	LOC107074438	35
gene-LOC107074248	LOC107074248	56
gene-LOC107074439	LOC107074439	458
gene-LOC107074440	LOC107074440	150
gene-LOC107074249	LOC107074249	37
gene-LOC107074419	LOC107074419	52
gene-LOC107074417	LOC107074417	265
gene-LOC107074420	LOC107074420	433
gene-LOC107074416	LOC107074416	76
gene-LOC107074493	LOC107074493	98
gene-LOC107074260	LOC107074260	39
gene-LOC107074537	LOC107074537	31
gene-LOC107074536	LOC107074536	0
gene-LOC107074267	LOC107074267	0
gene-LOC107074251	LOC107074251	0
gene-LOC107074324	LOC107074324	11
gene-LOC107074325	LOC107074325	170
gene-LOC107074326	LOC107074326	187
gene-LOC107074327	LOC107074327	361
gene-LOC107074333	LOC107074333	118
gene-LOC107074331	LOC107074331	37
gene-LOC107074328	LOC107074328	182
gene-LOC107074334	LOC107074334	172
gene-LOC107074330	LOC107074330	138
gene-LOC107074329	LOC107074329	416
gene-LOC107074332	LOC107074332	92
gene-LOC107074335	LOC107074335	118
gene-LOC107074461	LOC107074461	101
gene-LOC107074462	LOC107074462	416
gene-LOC107074494	LOC107074494	253
gene-LOC107074315	LOC107074315	1757
gene-LOC107074317	LOC107074317	667
gene-LOC107074319	LOC107074319	53
gene-LOC107074318	LOC107074318	108
gene-LOC107074320	LOC107074320	189
gene-LOC107074321	LOC107074321	29
gene-LOC107074322	LOC107074322	400
gene-LOC107074519	LOC107074519	39
gene-LOC107074435	LOC107074435	72
gene-LOC107074436	LOC107074436	72
gene-LOC107074437	LOC107074437	683
gene-LOC107074500	LOC107074500	257
gene-LOC107074399	LOC107074399	463
gene-LOC107074401	LOC107074401	150
gene-LOC107074400	LOC107074400	170
gene-LOC107074398	LOC107074398	328
gene-LOC107074397	LOC107074397	297
gene-LOC107074539	LOC107074539	9
gene-LOC107074524	LOC107074524	44
gene-LOC107074518	LOC107074518	170
gene-LOC107074408	LOC107074408	218
gene-LOC107074410	LOC107074410	354
gene-LOC107074409	LOC107074409	269
gene-LOC107074411	LOC107074411	180
gene-LOC107074252	LOC107074252	18
gene-LOC107074474	LOC107074474	69
gene-LOC107074473	LOC107074473	147
gene-LOC107074454	LOC107074454	104
gene-LOC107074452	LOC107074452	300
gene-LOC107074453	LOC107074453	140
gene-LOC107074470	LOC107074470	629
gene-LOC107074471	LOC107074471	67
gene-LOC107074472	LOC107074472	1467
gene-LOC107074511	LOC107074511	127
gene-LOC107074261	LOC107074261	28
gene-LOC107074308	LOC107074308	352
gene-LOC107074310	LOC107074310	30
gene-LOC107074309	LOC107074309	326
gene-LOC107074253	LOC107074253	8
gene-LOC107074311	LOC107074311	1658
gene-LOC107074313	LOC107074313	104
gene-LOC107074312	LOC107074312	79
gene-LOC107074314	LOC107074314	140
gene-LOC107074254	LOC107074254	13
gene-LOC107074285	LOC107074285	58
gene-LOC107074288	LOC107074288	175
gene-LOC107074286	LOC107074286	110
gene-LOC107074289	LOC107074289	5
gene-LOC107074291	LOC107074291	8
gene-LOC107074255	LOC107074255	3
gene-LOC107074290	LOC107074290	88
gene-LOC107074292	LOC107074292	950
gene-LOC107074293	LOC107074293	404
gene-LOC107074299	LOC107074299	18
gene-LOC107074295	LOC107074295	102
gene-LOC107074296	LOC107074296	153
gene-LOC107074256	LOC107074256	456
gene-LOC107074298	LOC107074298	7
gene-LOC107074294	LOC107074294	146
gene-LOC107074297	LOC107074297	910
gene-LOC107074421	LOC107074421	415
gene-LOC107074425	LOC107074425	554
gene-LOC107074422	LOC107074422	90
gene-LOC107074423	LOC107074423	354
gene-LOC107074424	LOC107074424	134
gene-LOC107074339	LOC107074339	65
gene-LOC107074338	LOC107074338	120
gene-LOC107074336	LOC107074336	706
gene-LOC107074340	LOC107074340	522
gene-LOC107074341	LOC107074341	878
gene-Trnak-uuu-2	Trnak-uuu	17
gene-LOC107074342	LOC107074342	814
gene-LOC107074343	LOC107074343	192
gene-LOC107074344	LOC107074344	316
gene-LOC107074538	LOC107074538	226
gene-LOC107074645	LOC107074645	57
gene-LOC107074646	LOC107074646	26
gene-Trnac-gca-2	Trnac-gca	0
gene-LOC107074647	LOC107074647	199
gene-LOC107074648	LOC107074648	252
gene-LOC107074554	LOC107074554	61
gene-LOC107074557	LOC107074557	431
gene-LOC107074559	LOC107074559	346
gene-LOC107074555	LOC107074555	1452
gene-LOC107074558	LOC107074558	280
gene-LOC107074561	LOC107074561	6
gene-LOC107074564	LOC107074564	165
gene-LOC107074562	LOC107074562	80
gene-LOC107074563	LOC107074563	5
gene-LOC107074661	LOC107074661	861
gene-LOC107074649	LOC107074649	269
gene-LOC107074698	LOC107074698	39
gene-LOC107074680	LOC107074680	25
gene-LOC107074671	LOC107074671	165
gene-LOC107074697	LOC107074697	11
gene-LOC107074642	LOC107074642	86
gene-LOC107074643	LOC107074643	981
gene-LOC107074644	LOC107074644	6
gene-LOC107074621	LOC107074621	354
gene-LOC107074625	LOC107074625	77
gene-LOC107074624	LOC107074624	27
gene-LOC107074623	LOC107074623	686
gene-LOC107074675	LOC107074675	414
gene-LOC107074682	LOC107074682	637
gene-LOC107074684	LOC107074684	225
gene-LOC107074687	LOC107074687	17
gene-LOC107074686	LOC107074686	214
gene-LOC107074541	LOC107074541	0
gene-LOC107074567	LOC107074567	3
gene-LOC107074594	LOC107074594	1
gene-LOC107074593	LOC107074593	2
gene-LOC107074596	LOC107074596	258
gene-LOC107074595	LOC107074595	202
gene-LOC107074597	LOC107074597	397
gene-LOC107074599	LOC107074599	578
gene-LOC107074598	LOC107074598	1133
gene-LOC107074603	LOC107074603	55
gene-LOC107074602	LOC107074602	325
gene-LOC107074542	LOC107074542	73
gene-LOC107074601	LOC107074601	299
gene-LOC107074604	LOC107074604	52
gene-LOC107074605	LOC107074605	4
gene-LOC107074606	LOC107074606	7
gene-LOC107074704	LOC107074704	1088
gene-LOC107074702	LOC107074702	16
gene-LOC107074543	LOC107074543	0
gene-LOC107074656	LOC107074656	53
gene-LOC107074657	LOC107074657	125
gene-LOC107074658	LOC107074658	35
gene-LOC107074655	LOC107074655	325
gene-LOC107074700	LOC107074700	410
gene-LOC107074689	LOC107074689	122
gene-LOC107074570	LOC107074570	371
gene-LOC107074569	LOC107074569	693
gene-LOC107074571	LOC107074571	309
gene-LOC107074572	LOC107074572	323
gene-LOC107074573	LOC107074573	102
gene-LOC107074574	LOC107074574	10
gene-LOC107074575	LOC107074575	221
gene-LOC107074544	LOC107074544	10
gene-LOC107074681	LOC107074681	81
gene-LOC107074553	LOC107074553	46
gene-LOC107074619	LOC107074619	71
gene-LOC107074620	LOC107074620	2
gene-LOC107074618	LOC107074618	339
gene-LOC107074663	LOC107074663	207
gene-LOC107074694	LOC107074694	78
gene-LOC107074691	LOC107074691	380
gene-LOC107074692	LOC107074692	218
gene-LOC107074701	LOC107074701	59
gene-LOC107074588	LOC107074588	3
gene-LOC107074545	LOC107074545	0
gene-LOC107074552	LOC107074552	43
gene-LOC107074614	LOC107074614	575
gene-LOC107074546	LOC107074546	102
gene-LOC107074615	LOC107074615	275
gene-LOC107074617	LOC107074617	185
gene-LOC107074616	LOC107074616	2052
gene-LOC107074637	LOC107074637	338
gene-LOC107074547	LOC107074547	55
gene-LOC107074639	LOC107074639	290
gene-LOC107074659	LOC107074659	360
gene-LOC107074660	LOC107074660	111
gene-LOC107074679	LOC107074679	160
gene-LOC107074634	LOC107074634	69
gene-LOC107074635	LOC107074635	782
gene-LOC107074636	LOC107074636	995
gene-LOC107074669	LOC107074669	245
gene-LOC107074690	LOC107074690	21
gene-LOC107074548	LOC107074548	15
gene-LOC107074549	LOC107074549	0
gene-LOC107074695	LOC107074695	3
gene-LOC107074696	LOC107074696	172
gene-LOC107074668	LOC107074668	351
gene-LOC107074667	LOC107074667	140
gene-LOC107074705	LOC107074705	142
gene-LOC107074566	LOC107074566	2
gene-Trnak-uuu-3	Trnak-uuu	0
gene-LOC107074662	LOC107074662	120
gene-LOC107074576	LOC107074576	2
gene-LOC107074650	LOC107074650	220
gene-LOC107074652	LOC107074652	142
gene-LOC107074653	LOC107074653	19
gene-LOC107074654	LOC107074654	50
gene-LOC107074640	LOC107074640	153
gene-LOC107074641	LOC107074641	624
gene-LOC107074626	LOC107074626	458
gene-LOC107074627	LOC107074627	661
gene-LOC107074628	LOC107074628	41
gene-LOC107074676	LOC107074676	76
gene-LOC107074677	LOC107074677	43
gene-LOC107074577	LOC107074577	889
gene-LOC107074550	LOC107074550	0
gene-LOC107074580	LOC107074580	246
gene-LOC107074581	LOC107074581	45
gene-LOC107074582	LOC107074582	5
gene-LOC107074583	LOC107074583	0
gene-LOC107074585	LOC107074585	1213
gene-LOC107074587	LOC107074587	1655
gene-LOC107074586	LOC107074586	47
gene-LOC107074584	LOC107074584	394
gene-LOC107074565	LOC107074565	182
gene-LOC107074592	LOC107074592	467
gene-LOC107074551	LOC107074551	12606
gene-LOC107074591	LOC107074591	67
gene-LOC107074590	LOC107074590	36
gene-LOC107074688	LOC107074688	287
gene-LOC107074629	LOC107074629	193
gene-LOC107074630	LOC107074630	386
gene-LOC107074632	LOC107074632	80
gene-LOC107074633	LOC107074633	193
gene-LOC107074608	LOC107074608	201
gene-LOC107074607	LOC107074607	522
gene-LOC107074609	LOC107074609	99
gene-LOC107074610	LOC107074610	509
gene-LOC107074678	LOC107074678	138
gene-LOC107074699	LOC107074699	1
gene-LOC107074706	LOC107074706	9
gene-LOC107074707	LOC107074707	7
gene-LOC107074683	LOC107074683	60
gene-LOC107074666	LOC107074666	74
gene-LOC107074665	LOC107074665	147
gene-LOC107074611	LOC107074611	256
gene-LOC107074613	LOC107074613	448
gene-Trnae-uuc	Trnae-uuc	0
gene-Trnag-ucc	Trnag-ucc	0
gene-Trnag-ccc	Trnag-ccc	3
gene-Trnag-ucc-2	Trnag-ucc	0
gene-LOC107074612	LOC107074612	94
gene-LOC107074672	LOC107074672	125
gene-LOC107074673	LOC107074673	0
gene-LOC107074674	LOC107074674	568
gene-LOC107063617	LOC107063617	0
gene-LOC107063618	LOC107063618	2
gene-LOC107063619	LOC107063619	0
gene-LOC107063816	LOC107063816	177
gene-LOC107063620	LOC107063620	0
gene-LOC107063751	LOC107063751	161
gene-LOC107063750	LOC107063750	45
gene-LOC107063716	LOC107063716	1076
gene-LOC107063718	LOC107063718	7
gene-LOC107063719	LOC107063719	86
gene-LOC107063638	LOC107063638	2
gene-LOC107063747	LOC107063747	424
gene-LOC107063748	LOC107063748	273
gene-LOC107063749	LOC107063749	97
gene-LOC107063679	LOC107063679	152
gene-LOC107063675	LOC107063675	135
gene-LOC107063621	LOC107063621	678
gene-LOC107063677	LOC107063677	27
gene-LOC107063622	LOC107063622	116
gene-LOC107063623	LOC107063623	135
gene-LOC107063624	LOC107063624	10
gene-LOC107063676	LOC107063676	2
gene-LOC107063680	LOC107063680	19
gene-LOC107063678	LOC107063678	642
gene-LOC107063681	LOC107063681	5
gene-LOC107063700	LOC107063700	186
gene-LOC107063697	LOC107063697	97
gene-LOC107063698	LOC107063698	41
gene-LOC107063702	LOC107063702	7973
gene-LOC107063701	LOC107063701	7
gene-LOC107063703	LOC107063703	1714
gene-LOC107063768	LOC107063768	1993
gene-LOC107063769	LOC107063769	1867
gene-LOC107063767	LOC107063767	1727
gene-LOC107063775	LOC107063775	151
gene-LOC107063724	LOC107063724	751
gene-LOC107063727	LOC107063727	47
gene-LOC107063726	LOC107063726	224
gene-LOC107063790	LOC107063790	117
gene-LOC107063791	LOC107063791	76
gene-Trnat-ugu-2	Trnat-ugu	0
gene-LOC107063758	LOC107063758	86
gene-LOC107063761	LOC107063761	174
gene-LOC107063759	LOC107063759	263
gene-LOC107063762	LOC107063762	28
gene-LOC107063788	LOC107063788	251
gene-LOC107063789	LOC107063789	20
gene-LOC107063830	LOC107063830	87
gene-LOC107063729	LOC107063729	187
gene-LOC107063625	LOC107063625	160
gene-LOC107063728	LOC107063728	559
gene-LOC107063793	LOC107063793	6
gene-LOC107063795	LOC107063795	23
gene-LOC107063794	LOC107063794	36
gene-LOC107063792	LOC107063792	55
gene-LOC107063641	LOC107063641	393
gene-LOC107063643	LOC107063643	194
gene-LOC107063645	LOC107063645	12
gene-LOC107063644	LOC107063644	50
gene-LOC107063642	LOC107063642	95
gene-LOC107063646	LOC107063646	300
gene-LOC107063626	LOC107063626	7
gene-LOC107063647	LOC107063647	175
gene-LOC107063648	LOC107063648	648
gene-LOC107063649	LOC107063649	40
gene-LOC107063650	LOC107063650	65
gene-LOC107063651	LOC107063651	908
gene-LOC107063627	LOC107063627	514
gene-LOC107063652	LOC107063652	38
gene-LOC107063653	LOC107063653	152
gene-LOC107063654	LOC107063654	59
gene-LOC107063655	LOC107063655	218
gene-LOC107063656	LOC107063656	89
gene-LOC107063657	LOC107063657	211
gene-LOC107063658	LOC107063658	397
gene-LOC107063659	LOC107063659	488
gene-LOC107063694	LOC107063694	197
gene-LOC107063695	LOC107063695	156
gene-LOC107063628	LOC107063628	0
gene-LOC107063810	LOC107063810	62
gene-LOC107063809	LOC107063809	118
gene-LOC107063661	LOC107063661	5
gene-LOC107063662	LOC107063662	189
gene-Trnas-aga-3	Trnas-aga	0
gene-LOC107063663	LOC107063663	774
gene-LOC107063665	LOC107063665	6
gene-Trnal-cag	Trnal-cag	0
gene-Trnav-cac	Trnav-cac	0
gene-LOC107063817	LOC107063817	92
gene-LOC107063683	LOC107063683	245
gene-LOC107063684	LOC107063684	446
gene-LOC107063685	LOC107063685	22
gene-LOC107063686	LOC107063686	391
gene-LOC107063819	LOC107063819	97
gene-LOC107063827	LOC107063827	178
gene-LOC107063798	LOC107063798	242
gene-LOC107063796	LOC107063796	78
gene-LOC107063630	LOC107063630	0
gene-LOC107063660	LOC107063660	1
gene-LOC107063815	LOC107063815	409
gene-LOC107063672	LOC107063672	1622
gene-LOC107063671	LOC107063671	161
gene-LOC107063670	LOC107063670	402
gene-LOC107063674	LOC107063674	420
gene-LOC107063774	LOC107063774	153
gene-LOC107063773	LOC107063773	100
gene-LOC107063705	LOC107063705	19
gene-LOC107063704	LOC107063704	351
gene-LOC107063709	LOC107063709	774
gene-LOC107063710	LOC107063710	200
gene-LOC107063712	LOC107063712	6
gene-LOC107063706	LOC107063706	62
gene-LOC107063711	LOC107063711	24
gene-LOC107063631	LOC107063631	1
gene-LOC107063707	LOC107063707	110
gene-LOC107063632	LOC107063632	3
gene-LOC107063636	LOC107063636	53
gene-LOC107063633	LOC107063633	451
gene-LOC107063756	LOC107063756	350
gene-LOC107063634	LOC107063634	140
gene-LOC107063755	LOC107063755	25
gene-LOC107063757	LOC107063757	170
gene-LOC107063781	LOC107063781	39
gene-LOC107063780	LOC107063780	1
gene-LOC107063782	LOC107063782	336
gene-LOC107063637	LOC107063637	222
gene-LOC107063730	LOC107063730	136
gene-LOC107063635	LOC107063635	1
gene-LOC107063731	LOC107063731	319
gene-LOC107063807	LOC107063807	674
gene-LOC107063808	LOC107063808	410
gene-LOC107063826	LOC107063826	38
gene-LOC107063682	LOC107063682	448
gene-LOC107063784	LOC107063784	104
gene-LOC107063785	LOC107063785	467
gene-LOC107063786	LOC107063786	80
gene-LOC107063812	LOC107063812	753
gene-LOC107063740	LOC107063740	197
gene-LOC107063741	LOC107063741	1140
gene-LOC107063745	LOC107063745	820
gene-LOC107063744	LOC107063744	38
gene-LOC107063743	LOC107063743	248
gene-LOC107063746	LOC107063746	113
gene-LOC107063687	LOC107063687	309
gene-LOC107063689	LOC107063689	2079
gene-LOC107063688	LOC107063688	1792
gene-LOC107063690	LOC107063690	135
gene-LOC107063691	LOC107063691	204
gene-LOC107063692	LOC107063692	59
gene-LOC107063693	LOC107063693	455
gene-LOC107063738	LOC107063738	56
gene-LOC107063739	LOC107063739	22
gene-LOC107063776	LOC107063776	492
gene-LOC107063779	LOC107063779	31
gene-LOC107063778	LOC107063778	1
gene-LOC107063783	LOC107063783	113
gene-LOC107063828	LOC107063828	80
gene-LOC107063829	LOC107063829	9
gene-LOC107063732	LOC107063732	0
gene-LOC107063733	LOC107063733	235
gene-LOC107063736	LOC107063736	32
gene-LOC107063737	LOC107063737	111
gene-LOC107063770	LOC107063770	318
gene-LOC107063772	LOC107063772	582
gene-LOC107063763	LOC107063763	152
gene-LOC107063765	LOC107063765	132
gene-LOC107063764	LOC107063764	85
gene-LOC107063766	LOC107063766	55
gene-LOC107063813	LOC107063813	332
gene-LOC107063831	LOC107063831	25
gene-LOC107063814	LOC107063814	613
gene-LOC107063721	LOC107063721	1031
gene-LOC107063722	LOC107063722	15
gene-LOC107063720	LOC107063720	494
gene-LOC107063723	LOC107063723	69
gene-LOC107063668	LOC107063668	15
gene-LOC107063666	LOC107063666	3428
gene-LOC107063616	LOC107063616	1
gene-LOC107063667	LOC107063667	9
gene-LOC107063669	LOC107063669	0
gene-LOC107063752	LOC107063752	119
gene-LOC107063754	LOC107063754	0
gene-LOC107063805	LOC107063805	72
gene-LOC107063804	LOC107063804	94
gene-LOC107063806	LOC107063806	30
gene-LOC107063639	LOC107063639	32
gene-LOC107063820	LOC107063820	41
gene-LOC107063821	LOC107063821	72
gene-LOC107063822	LOC107063822	44
gene-LOC107063823	LOC107063823	1
gene-LOC107063799	LOC107063799	2
gene-LOC107063800	LOC107063800	54
gene-LOC107063803	LOC107063803	29
gene-LOC107063801	LOC107063801	378
gene-LOC107063713	LOC107063713	606
gene-LOC107063715	LOC107063715	819
gene-LOC107063824	LOC107063824	233
gene-LOC107063825	LOC107063825	1
gene-LOC107063921	LOC107063921	24
gene-LOC107063918	LOC107063918	684
gene-LOC107063920	LOC107063920	4
gene-LOC107063880	LOC107063880	7
gene-LOC107063879	LOC107063879	66
gene-LOC107063881	LOC107063881	608
gene-LOC107063883	LOC107063883	46
gene-LOC107063884	LOC107063884	538
gene-LOC107063886	LOC107063886	44
gene-LOC107063885	LOC107063885	202
gene-LOC107064023	LOC107064023	8
gene-LOC107063982	LOC107063982	137
gene-LOC107063981	LOC107063981	179
gene-LOC107063983	LOC107063983	57
gene-LOC107063832	LOC107063832	0
gene-LOC107063833	LOC107063833	1
gene-LOC107063959	LOC107063959	40
gene-LOC107063960	LOC107063960	10
gene-LOC107063962	LOC107063962	0
gene-LOC107063961	LOC107063961	44
gene-LOC107063834	LOC107063834	5
gene-LOC107063835	LOC107063835	1
gene-LOC107064014	LOC107064014	88
gene-LOC107063986	LOC107063986	800
gene-LOC107063956	LOC107063956	39
gene-LOC107063837	LOC107063837	289
gene-LOC107063955	LOC107063955	205
gene-LOC107064002	LOC107064002	716
gene-LOC107064018	LOC107064018	112
gene-LOC107063928	LOC107063928	30
gene-LOC107063927	LOC107063927	473
gene-LOC107063929	LOC107063929	93
gene-LOC107063930	LOC107063930	69
gene-LOC107063853	LOC107063853	64
gene-LOC107064009	LOC107064009	80
gene-LOC107063862	LOC107063862	4
gene-LOC107063857	LOC107063857	134
gene-LOC107063854	LOC107063854	104
gene-LOC107063950	LOC107063950	216
gene-LOC107063949	LOC107063949	408
gene-LOC107063895	LOC107063895	106
gene-LOC107063896	LOC107063896	52
gene-LOC107063897	LOC107063897	6
gene-LOC107063898	LOC107063898	754
gene-LOC107063899	LOC107063899	898
gene-LOC107063861	LOC107063861	12
gene-LOC107063911	LOC107063911	83
gene-LOC107063912	LOC107063912	0
gene-LOC107064019	LOC107064019	63
gene-LOC107064013	LOC107064013	146
gene-LOC107063863	LOC107063863	0
gene-LOC107064021	LOC107064021	33
gene-LOC107063991	LOC107063991	41
gene-LOC107064000	LOC107064000	123
gene-LOC107063965	LOC107063965	217
gene-LOC107063966	LOC107063966	72
gene-LOC107063967	LOC107063967	355
gene-LOC107063987	LOC107063987	19
gene-LOC107063989	LOC107063989	65
gene-LOC107064017	LOC107064017	28
gene-LOC107063900	LOC107063900	182
gene-LOC107063901	LOC107063901	1250
gene-LOC107063902	LOC107063902	110977
gene-LOC107063903	LOC107063903	2108
gene-LOC107063904	LOC107063904	91
gene-LOC107063997	LOC107063997	49
gene-LOC107063998	LOC107063998	175
gene-LOC107063931	LOC107063931	217
gene-LOC107063935	LOC107063935	325
gene-LOC107063934	LOC107063934	391
gene-LOC107063932	LOC107063932	410
gene-Trnaq-cug-2	Trnaq-cug	14
gene-LOC107063859	LOC107063859	294
gene-LOC107064020	LOC107064020	63
gene-LOC107064001	LOC107064001	203
gene-LOC107063838	LOC107063838	8
gene-LOC107064024	LOC107064024	7
gene-LOC107063860	LOC107063860	19
gene-LOC107063855	LOC107063855	154
gene-LOC107063963	LOC107063963	332
gene-LOC107063839	LOC107063839	68
gene-LOC107063840	LOC107063840	33
gene-LOC107063841	LOC107063841	8
gene-LOC107063964	LOC107063964	1
gene-LOC107063842	LOC107063842	3
gene-LOC107063843	LOC107063843	1
gene-LOC107063844	LOC107063844	1
gene-LOC107063845	LOC107063845	10
gene-LOC107063975	LOC107063975	53
gene-LOC107063976	LOC107063976	132
gene-LOC107063889	LOC107063889	281
gene-LOC107063888	LOC107063888	388
