powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	6	1	0.635774737142764	1.66040970086915	0.889202438446565	3590.25697700035	3616.75071731401	5019.04694999634
2	6	2	0.065870208238615	0.16723535645701	0.655858052570302	1971.10217834147	1891.37526207099	3515.60638132579
3	6	3	0.361243563792254	-0.329308032361634	0.734815140409685	1253.48265465022	1119.14818729125	2707.43812333737
4	6	4	0.752648228405363	-0.587311523337747	0.892060605192629	867.89156316196	713.237729778307	2194.97041576977
5	6	5	0.873889445743406	-0.75539815113238	0.933034423469842	635.643105162403	481.418509043091	1839.6289230845
6	6	6	0.921750330990807	-0.873092706089747	0.955930223839422	484.639198702182	338.509261366941	1580.60380147082
7	6	7	0.93211509817419	-0.958604529236587	0.953162822534716	380.892339782371	246.06663269387	1381.71782487253
8	6	8	0.943856398519187	-1.02188689382344	0.958605957335794	306.567799179695	183.537671497701	1224.15927448784
9	6	9	0.9456321610649	-1.07869684535432	0.958511289864617	251.538747833406	139.441906749232	1096.27253491057
10	6	10	0.947793759060506	-1.12074545199866	0.956893922005304	209.69498880045	108.011274813916	990.428478327962
11	6	12	0.952674151847523	-1.17527240053177	0.959769781685871	151.406970498729	69.0548502054759	825.545022296321
12	6	14	0.954549080700862	-1.21655985466178	0.961231240986471	113.769213717427	46.2113420133245	703.995809809411
13	6	16	0.961663851895818	-1.23627608861668	0.970206576385598	88.1553111616135	32.0887148360076	610.661877958795
14	6	18	0.954611509878215	-1.25957050410852	0.963993976569305	69.999464528501	23.1401402344766	536.725231712322
15	6	20	0.943945601607032	-1.28343879035735	0.954152570573213	56.7037928469546	17.0175874882958	476.797504732556
16	6	22	0.936008976753206	-1.30164283098781	0.947137491922949	46.7036831656297	12.6623181021539	427.311438175973
17	6	24	0.936402858125027	-1.31213635113608	0.949583028891681	39.0125009414661	9.66703791212889	385.811981778126
18	6	26	0.922092454208345	-1.32818227014768	0.938271266379787	32.9839788084615	7.48825155703878	350.554546005116
19	6	28	0.925891482341343	-1.32929544782452	0.942512263483603	28.1810339705837	5.87661584012058	320.265616435006
20	6	30	0.929570409537817	-1.33296739056758	0.946531112746446	24.2998679171403	4.69202673247862	293.994019560259
21	6	32	0.93625505705034	-1.33215052275109	0.952689143888087	21.1242719223507	3.79730423119305	271.015173495963
22	6	34	0.941608709188038	-1.33061161488684	0.957802807562102	18.4971620580303	3.09748736523409	250.767539233055
23	6	36	0.942014755400498	-1.33642788378568	0.958048563626415	16.302313011201	2.54982878990506	233.02070382857
24	6	38	0.936659099907635	-1.34308777498747	0.954299438204497	14.4523270884539	2.12173456333156	217.310118326012
25	6	40	0.936720852974303	-1.3473808633983	0.955739775473242	12.8805250493111	1.7759122575763	203.220583581259
