ME	Num.Genes.Sig.Module	Num.Genes.Sig.Module.Trait	R.Genes.Sig.Module.Trait	NR.Genes.Sig.Module.Trait
MEcyan	571	157	157	NA
MEdarkgreen	673	176	176	NA
MEdarkgrey	648	143	143	NA
MEdarkred	487	137	NA	137
MEdarkturquoise	431	109	NA	109
MEmidnightblue	727	183	NA	183
MEorange	564	127	127	NA
MEorangered4	380	149	NA	149
MEroyalblue	716	169	169	NA
MEsteelblue	648	155	155	NA
MEtan	537	157	NA	157
MEviolet	638	165	165	NA
