	SRR2915407	SRR2916026	SRR2916025	SRR2916648	SRR2916653	SRR2916652	SRR2916631	SRR2916637	SRR2916647	SRR2916699	SRR2917198	SRR2917152
Caust.v2_010917	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010918	1.8055594814677	0	1.38179059715028	7.27127465303787	3.43993816589785	1.24360260944621	5.55163835571918	3.83593421774402	1.61955125097509	5.83068159820245	0.970516092451632	0.895283882224556
Caust.v2_010919	63.1945818513695	60.6810613681515	77.3802734404157	78.1662025201571	75.6786396497527	55.9621174250794	71.3782074306751	64.2518981472123	66.4016012899787	56.8491455824739	70.8476747489691	74.3085622246381
Caust.v2_010920	14.4444758517416	14.2778967925062	8.29074358290169	19.3900657414343	10.3198144976935	22.3848469700318	9.51709432409002	8.63085198992404	15.3857368842634	8.74602239730367	8.73464483206468	10.7434065866947
Caust.v2_010921	0	0	0	0	0	0	0	0	0	0	0	0.895283882224556
Caust.v2_010922	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010923	3.6111189629354	2.67710564859492	9.67253418005197	7.8772142074577	3.43993816589785	4.97441043778483	0.793091193674168	3.83593421774402	12.1466343823132	5.83068159820245	10.6756770169679	5.37170329334734
Caust.v2_010924	0	0	0	0	0.68798763317957	0	0.793091193674168	0	0	0	0	0
Caust.v2_010925	55.9723439254987	35.6947419812656	41.4537179145084	41.203889700548	28.8954805935419	34.8208730644938	33.3098301343151	29.7284901875161	33.2008006449894	32.0687487901135	32.0270310509038	34.9160714067577
Caust.v2_010926	281.667279108961	259.679247913707	259.776632264253	245.405519540028	267.627189306853	317.118665408783	254.582273169408	246.458773490053	240.503360769801	237.60027512675	256.216248407231	300.815384427451
Caust.v2_010927	2094.44899850253	1754.3965683792	1597.34993030572	1477.88657322995	1510.82084246234	1657.7222783918	1899.45340884963	2096.33804999711	1623.60012910253	1701.10135627556	1833.30489864113	1774.45265456907
Caust.v2_010928	7.2222379258708	1.78473709906328	1.38179059715028	6.05939554419823	3.43993816589785	0	3.17236477469667	0.958983554436005	4.85865375292527	2.91534079910122	0	2.68585164667367
Caust.v2_010929	258.195005849881	247.186088220264	261.158422861403	202.989750730641	230.475857115156	269.861766249827	215.720804679374	240.704872163437	185.438618236648	199.700844738434	257.186764499682	280.223855136286
Caust.v2_010930	287.083957553364	263.248722111834	244.5769356956	215.108541819037	264.875238774134	240.015303623118	249.823726007363	362.49578357681	277.753039542228	402.317030275969	327.0639231562	395.715475943254
Caust.v2_010931	10.8333568888062	18.7397395401644	16.5814871658034	18.7841261870145	24.7675547944645	21.1412443605855	14.275641486135	15.3437368709761	20.2443906371886	20.4073855937086	23.2923862188392	16.115109880042
Caust.v2_010932	0	0	0	0	0	0	0	0	1.61955125097509	0	0	0
Caust.v2_010933	3.6111189629354	8.03131694578476	2.76358119430056	3.63563732651894	2.75195053271828	3.73080782833863	2.3792735810225	1.91796710887201	8.09775625487545	1.45767039955061	5.82309655470979	2.68585164667367
Caust.v2_010934	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010935	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010936	0	0	0	0	0.68798763317957	1.24360260944621	0	0	3.23910250195018	1.45767039955061	1.94103218490326	0
Caust.v2_010937	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010938	0	0	0	0	0	0	0	1.91796710887201	0	0	0	0
Caust.v2_010939	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010940	0	0.89236854953164	0	0	0.68798763317957	0	0	0	0	0	1.94103218490326	0
Caust.v2_010941	1.8055594814677	0	4.14537179145084	4.24157688093876	3.43993816589785	1.24360260944621	3.17236477469667	6.71288488105203	3.23910250195018	0	1.94103218490326	1.79056776444911
Caust.v2_010942	37.9167491108217	33.9100048822023	34.544764928757	34.5385546019299	28.2074929603624	27.3592574078166	23.792735810225	24.9335724153361	34.8203518959644	37.8994303883159	31.0565149584522	34.9160714067577
Caust.v2_010943	7.2222379258708	5.35421129718984	5.52716238860112	22.4197635135334	11.0078021308731	9.94882087556967	38.0683772963601	20.1386546431561	5.66842937841282	29.1534079910122	3.88206436980653	3.58113552889822
Caust.v2_010944	0	0	1.38179059715028	0	0.68798763317957	0	0	0	0	0	0	1.79056776444911
Caust.v2_010945	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010946	0	0	0	0	0	0	0.793091193674168	0	0	0	0	0
Caust.v2_010947	0	0.89236854953164	0	0	0	0	0	0	0	0	0	0
Caust.v2_010948	110.13912836953	71.3894839625312	75.9984828432655	69.0771092038598	70.8627262174957	98.2446061462505	79.3091193674168	93.0214047802924	60.7331719115659	90.3755647721379	74.7297391187756	83.2614010468837
Caust.v2_010949	1061.66897510301	1058.34909974453	1029.43399487696	758.636322133618	815.26534531779	1130.4347719866	983.433080155968	1287.91491360755	1071.33315252002	1198.2050684306	1312.13775699461	1394.85228850586
Caust.v2_010950	0	0	0	1.21187910883965	0.68798763317957	1.24360260944621	0	0	1.61955125097509	1.45767039955061	2.91154827735489	0.895283882224556
Caust.v2_010063	994.863274288702	1127.06147805846	1032.19757607126	854.98071128637	956.990797752782	1044.62619193482	923.158149436732	974.327291306981	862.411041144235	819.210764547444	993.808478670471	1017.0424902071
Caust.v2_010064	12.6389163702739	16.9550024411012	19.3450683601039	13.9366097516559	19.9516413622075	27.3592574078166	14.275641486135	10.5488190987961	13.7661856332883	18.949715194158	10.6756770169679	13.4292582333683
Caust.v2_010065	86.6668551104496	113.330805790518	82.9074358290169	95.1325100439122	91.5023552128828	89.539387880127	98.3433080155968	74.8007172460084	64.7820500390036	78.714201575733	62.1130299169044	85.9472526935574
Caust.v2_010066	10.8333568888062	15.1702653420379	20.7268589572542	30.902917275411	19.263653729028	16.1668339228007	38.0683772963601	25.8925559697721	12.1466343823132	36.4417599887653	13.5872252943228	14.3245421155929
Caust.v2_010067	27.0833922220155	4.4618427476582	4.14537179145084	23.6316426223731	20.6396289953871	7.46161565667725	28.5512829722701	24.9335724153361	17.0052881352384	20.4073855937086	10.6756770169679	7.16227105779645
Caust.v2_010068	43.3334275552248	41.0489532784554	44.217299108809	56.3523785610435	49.535109588929	33.5772704550476	37.2752861026859	44.1132435040562	59.1136206605908	45.187782386069	52.4078689923881	46.5547618756769
Caust.v2_010069	10.8333568888062	12.493159693443	12.4361153743525	36.3563732651894	26.8315176940032	13.6796287039083	24.5858270038992	16.3027204254121	31.5812493940143	18.949715194158	25.2334184037424	17.9056776444911
Caust.v2_010070	46.9445465181602	37.4794790803289	27.6358119430056	29.0850986121515	42.6552332571333	42.2824887211711	28.5512829722701	35.4823915141322	38.0594543979146	45.187782386069	56.2899333621946	59.9840201090452
Caust.v2_010071	14.4444758517416	28.5557935850125	30.3993931373062	28.4791590577317	35.7753569253376	23.628449579478	29.3443741659442	23.0156053064641	42.9181081508399	23.3227263928098	28.1449666810973	28.6490842311858
Caust.v2_010072	0	0.89236854953164	0	3.02969777209911	2.75195053271828	0	5.55163835571918	1.91796710887201	0	2.91534079910122	1.94103218490326	0
Caust.v2_010073	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010074	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010075	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010076	1.8055594814677	2.67710564859492	0	5.4534559897784	6.19188869861613	4.97441043778483	7.93091193674168	2.87695066330801	4.85865375292527	5.83068159820245	1.94103218490326	0.895283882224556
