Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0001785	1	0	0	1
OG0001788	0	0	1	1
OG0001794	0	1	0	1
OG0001801	1	0	0	1
OG0001804	1	0	0	1
OG0001808	1	0	0	1
OG0001812	1	0	0	1
OG0001817	1	0	0	1
OG0001820	1	0	0	1
OG0001821	1	0	0	1
OG0001825	1	0	0	1
OG0001839	0	1	0	1
OG0001843	1	0	0	1
OG0001873	0	1	0	1
OG0001877	0	1	0	1
OG0001881	0	1	0	1
OG0001885	0	0	1	1
OG0001888	1	0	0	1
OG0001889	0	1	0	1
OG0001899	1	0	0	1
OG0001901	1	0	0	1
OG0001906	0	0	1	1
OG0001909	1	0	0	1
OG0001911	0	1	0	1
OG0001915	0	0	1	1
OG0001916	1	0	0	1
OG0001919	1	0	0	1
OG0001920	0	0	1	1
OG0001924	0	0	1	1
OG0001930	0	1	0	1
OG0001942	1	0	0	1
OG0001944	1	0	0	1
OG0001948	0	1	0	1
OG0001953	0	0	1	1
OG0001963	0	1	0	1
OG0001966	1	0	0	1
OG0001980	0	0	1	1
OG0001981	0	0	1	1
OG0001986	0	1	0	1
OG0001993	1	0	0	1
OG0001996	1	0	0	1
OG0001998	0	1	0	1
OG0002006	1	0	0	1
OG0002009	0	1	0	1
OG0002017	1	0	0	1
OG0002023	0	0	1	1
OG0002024	0	1	0	1
OG0002034	0	1	0	1
OG0002044	0	0	1	1
OG0002058	0	1	0	1
OG0002066	0	1	0	1
OG0002067	1	0	0	1
OG0002077	0	1	0	1
OG0002099	1	0	0	1
OG0002102	1	0	0	1
OG0002108	0	1	0	1
OG0002109	0	1	0	1
OG0002121	1	0	0	1
OG0002123	1	0	0	1
OG0002127	1	0	0	1
OG0002129	0	1	0	1
OG0002151	1	0	0	1
OG0002158	0	0	1	1
OG0002173	1	0	0	1
OG0002176	0	1	0	1
OG0002180	1	0	0	1
OG0002188	1	0	0	1
OG0002200	1	0	0	1
OG0002206	1	0	0	1
OG0002216	0	1	0	1
OG0002217	1	0	0	1
OG0002224	0	0	1	1
OG0002226	1	0	0	1
OG0002228	0	1	0	1
OG0002230	0	1	0	1
OG0002239	0	1	0	1
OG0002245	1	0	0	1
OG0002252	1	0	0	1
OG0002258	1	0	0	1
OG0002260	1	0	0	1
OG0002268	0	1	0	1
OG0002274	0	0	1	1
OG0002278	0	1	0	1
OG0002279	1	0	0	1
OG0002313	1	0	0	1
OG0002322	0	1	0	1
OG0002326	1	0	0	1
OG0002332	0	0	1	1
OG0002338	1	0	0	1
OG0002339	0	1	0	1
OG0002348	0	0	1	1
OG0002352	0	1	0	1
OG0002354	0	1	0	1
OG0002355	0	0	1	1
OG0002357	0	1	0	1
OG0002367	1	0	0	1
OG0002373	0	0	1	1
OG0002375	1	0	0	1
OG0002376	0	0	1	1
OG0002378	1	0	0	1
OG0002379	0	1	0	1
OG0002380	1	0	0	1
OG0002381	1	0	0	1
OG0002382	0	0	1	1
OG0002387	1	0	0	1
OG0002391	1	0	0	1
OG0002399	1	0	0	1
OG0002404	1	0	0	1
OG0002412	0	0	1	1
OG0002420	0	0	1	1
OG0002431	1	0	0	1
OG0002441	1	0	0	1
OG0002446	0	1	0	1
OG0002453	0	0	1	1
OG0002458	1	0	0	1
OG0002473	0	1	0	1
OG0002477	0	0	1	1
OG0002481	0	1	0	1
OG0002482	1	0	0	1
OG0002488	1	0	0	1
OG0002493	0	0	1	1
OG0002502	1	0	0	1
OG0002507	1	0	0	1
OG0002517	1	0	0	1
OG0002521	0	1	0	1
OG0002543	0	1	0	1
OG0002546	1	0	0	1
OG0002547	0	1	0	1
OG0002567	1	0	0	1
OG0002572	1	0	0	1
OG0002576	0	1	0	1
OG0002579	1	0	0	1
OG0002589	0	0	1	1
OG0002593	1	0	0	1
OG0002598	0	0	1	1
OG0002600	1	0	0	1
OG0002602	1	0	0	1
OG0002604	0	0	1	1
OG0002607	1	0	0	1
OG0002610	1	0	0	1
OG0002611	0	0	1	1
OG0002612	0	0	1	1
OG0002614	0	0	1	1
OG0002616	1	0	0	1
OG0002625	1	0	0	1
OG0002636	0	1	0	1
OG0002646	0	0	1	1
OG0002660	1	0	0	1
OG0002670	0	0	1	1
OG0002674	0	1	0	1
OG0002675	1	0	0	1
OG0002679	0	1	0	1
OG0002680	1	0	0	1
OG0002683	1	0	0	1
OG0002697	0	0	1	1
OG0002701	0	1	0	1
OG0002711	0	0	1	1
OG0002732	0	0	1	1
OG0002743	1	0	0	1
OG0002747	1	0	0	1
OG0002754	1	0	0	1
OG0002765	0	1	0	1
OG0002802	0	0	1	1
OG0002803	1	0	0	1
OG0002806	0	1	0	1
OG0002808	0	1	0	1
OG0002810	0	0	1	1
OG0002821	1	0	0	1
OG0002832	1	0	0	1
OG0002838	0	0	1	1
OG0002849	0	0	1	1
OG0002854	0	1	0	1
OG0002861	0	1	0	1
OG0002864	1	0	0	1
OG0002870	1	0	0	1
OG0002873	0	0	1	1
OG0002874	1	0	0	1
OG0002893	1	0	0	1
OG0002894	0	0	1	1
OG0002907	1	0	0	1
OG0002912	1	0	0	1
OG0002918	0	1	0	1
OG0002930	1	0	0	1
OG0002943	1	0	0	1
OG0002944	1	0	0	1
OG0002954	1	0	0	1
OG0002967	1	0	0	1
OG0002968	0	1	0	1
OG0002976	1	0	0	1
OG0002977	1	0	0	1
OG0002979	0	1	0	1
OG0002980	1	0	0	1
OG0002989	0	1	0	1
OG0003001	1	0	0	1
OG0003004	0	0	1	1
OG0003005	0	1	0	1
OG0003015	0	0	1	1
OG0003019	0	1	0	1
OG0003031	1	0	0	1
OG0003038	1	0	0	1
OG0003048	1	0	0	1
OG0003058	0	1	0	1
OG0003063	1	0	0	1
OG0003064	1	0	0	1
OG0003066	1	0	0	1
OG0003067	1	0	0	1
OG0003069	1	0	0	1
OG0003090	1	0	0	1
OG0003092	1	0	0	1
OG0003096	0	0	1	1
OG0003109	1	0	0	1
OG0003114	0	0	1	1
OG0003117	1	0	0	1
OG0003119	1	0	0	1
OG0003122	0	0	1	1
OG0003135	0	1	0	1
OG0003144	1	0	0	1
OG0003147	0	1	0	1
OG0003149	0	1	0	1
OG0003159	1	0	0	1
OG0003165	0	1	0	1
OG0003168	0	0	1	1
OG0003175	1	0	0	1
OG0003177	1	0	0	1
OG0003184	1	0	0	1
OG0003192	0	1	0	1
OG0003193	0	1	0	1
OG0003200	0	0	1	1
OG0003208	0	0	1	1
OG0003209	1	0	0	1
OG0003222	1	0	0	1
OG0003224	0	0	1	1
OG0003231	1	0	0	1
OG0003234	0	0	1	1
OG0003236	0	0	1	1
OG0003255	0	0	1	1
OG0003259	1	0	0	1
OG0003260	1	0	0	1
OG0003261	1	0	0	1
OG0003263	0	0	1	1
OG0003281	1	0	0	1
OG0003285	1	0	0	1
OG0003287	1	0	0	1
OG0003289	1	0	0	1
OG0003297	1	0	0	1
OG0003309	0	0	1	1
OG0003310	1	0	0	1
OG0003314	0	0	1	1
OG0003328	1	0	0	1
OG0003358	1	0	0	1
OG0003384	0	1	0	1
OG0003389	0	0	1	1
OG0003397	0	0	1	1
OG0003400	1	0	0	1
OG0003410	1	0	0	1
OG0003413	1	0	0	1
OG0003416	0	1	0	1
OG0003424	0	0	1	1
OG0003434	0	1	0	1
OG0003436	0	0	1	1
