powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	28	1	0.11334205319265	1.21293181080476	0.927048485534773	2402.60574523017	2416.24814106942	3521.21815825618
2	28	2	0.0974428769341682	-0.614009990658218	0.89679415558684	881.575351641354	861.680524468028	1761.46023155051
3	28	3	0.417339993120249	-1.16587503427069	0.926872975538822	397.339548303404	369.536600833291	1028.6819202286
4	28	4	0.600526693204924	-1.45002461975377	0.94393189760399	203.91719207763	177.632634640213	658.139658041079
5	28	5	0.69191836700233	-1.57925850645903	0.956206617102796	114.671848874595	92.6011234784401	447.495671754165
6	28	6	0.736229019268374	-1.66504717773714	0.963765208552543	69.066333094842	51.2456695342708	317.845527026533
7	28	7	0.768196155450452	-1.70717144882932	0.967763309692342	43.8952071694733	29.6098506700503	233.306312261714
8	28	8	0.792681245853773	-1.71062174635843	0.975978760382339	29.1349002282656	17.8197331021496	175.71506150187
9	28	9	0.807269642840023	-1.7122683812942	0.977801444097254	20.0440384372813	11.028225949667	135.57592145087
10	28	10	0.816990766924667	-1.72460231210063	0.977209873317351	14.2124738817382	7.0019534121979	106.686664874237
11	28	12	0.80736656708814	-1.79409350626936	0.969467268516497	7.69404011720236	3.00761465150414	71.4676964265212
12	28	14	0.801330235391317	-1.84238134025276	0.971350490877154	4.50614769063509	1.39261635095528	50.2970300095287
13	28	16	0.798906934206807	-1.85842724638996	0.967067957291291	2.80711786530922	0.689100626677616	36.6789439356234
14	28	18	0.832016141852359	-1.77123758054975	0.975920492637423	1.83802949317125	0.357917367685063	27.4900598583529
15	28	20	0.862400829144067	-1.73480612871803	0.981474018243756	1.25401082068027	0.192816044933856	22.0414086965779
16	28	22	0.854167618680092	-1.83774607182934	0.98868411194079	0.885626116016776	0.108403019829939	19.3250909627487
17	28	24	0.873082252392968	-1.84766114482425	0.993085851584659	0.64414259624541	0.061527973989205	17.1168716475998
18	28	26	0.894621032140078	-1.81455887495695	0.996118715653628	0.480546296921048	0.0359835251106637	15.281907496335
19	28	28	0.90965083286958	-1.78477817236999	0.995679057972723	0.366509589220925	0.021381537847601	13.7311366693639
20	28	30	0.915600621911954	-1.77275067643443	0.987871109570059	0.285010496770403	0.0129086266599447	12.4029752172341
21	28	32	0.927629267594255	-1.72395676774927	0.980983408013057	0.225468089638775	0.00791999671741328	11.2531882171159
22	28	34	0.938731033261785	-1.69238417011121	0.981543099179609	0.18110647301477	0.0049480682287073	10.2489843030744
23	28	36	0.959373092018653	-1.6494529196714	0.987184357588923	0.147470460650106	0.00311436420912359	9.36540958871535
24	28	38	0.970296960888738	-1.60070374692935	0.983417577151538	0.121560947979355	0.00196596393264015	8.58305380804139
25	28	40	0.974208011231282	-1.56847585995549	0.982196513422863	0.101315854582257	0.0012570840081001	7.88653768399194
