	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
OG0000394	862.131168129513	842.477168174176	921.996590100884	726.442402610869	987.08148858637	958.658537416448	785.44826960246	976.993775939799	869.703482303141	918.746819319285	810.126729061215	749.999580572801	931.441412517992	941.63864156777	810.435848982515	938.411580395289	826.50787441464	861.511539339495	819.97426250657
OG0000399	208.937541358193	214.515405171662	276.34428183963	321.264956930219	193.124639071246	198.55710807331	261.816089867487	217.456548638358	192.044228863	197.785773603457	178.10575073582	178.778969787702	173.709330951908	186.957360228112	137.301562973935	205.277533211469	179.026976407503	206.221338899195	172.345619638434
OG0000432	5475.64091973567	2936.29419984971	4683.84455578875	5020.36432695433	4635.88543326117	2772.04337599222	4185.62753277235	6776.52871426615	5965.6032112411	3233.6910619791	6718.14891775512	5295.78192212597	2637.58650790197	2833.72543382401	4546.10824418245	3926.14845033029	4401.07983668445	6600.67528754567	3625.47666878582
OG0000451	3126.67643961781	2932.62726984678	2613.17265592129	2580.90840399538	3108.77023171631	3231.98230211516	2748.49729275737	2774.91203453828	2140.62038541561	2878.52736099225	3156.03390303873	3160.24532569847	3487.16490238515	3422.00487621718	3409.35829098915	3817.47210921833	3383.60985410181	3344.12981998695	3046.25324608345
OG0000468	2954.67230203505	2323.00015685894	4324.72433699254	3497.95203105366	2861.99985956972	2238.4211480452	1900.16742951862	3215.02744159103	3235.39481109959	2670.10794364667	1971.37622385876	3165.69590404566	1340.75650269203	1834.33556579834	3239.06869015784	2688.44567655525	1938.46431676791	2536.76133487582	2080.58474841862
OG0000540	692.237510762497	629.795228003982	779.367283344946	670.101160164152	680.406714505641	671.681467154242	756.865727040507	683.583504571297	841.569614380536	768.812442555374	733.795693031578	811.046058061284	771.708694401294	626.453981916188	761.399576491824	690.871025640281	737.988980524263	756.41031642562	1028.74344093457
OG0000546	223.710902868368	77.9222625623558	164.278397959964	145.048730554316	170.772250289852	197.781494369898	53.7351800164711	195.606847579001	129.660434773745	71.2454130722131	147.573336323965	176.598738448828	110.814573193459	228.068402791362	107.879799479521	181.989745830336	162.118873080128	115.452100928121	142.140717227574
OG0000564	7200.95849610256	5837.75256467155	8347.6348730819	6153.18292508514	9533.74086304027	7927.54766256756	6600.28072840612	7673.40691965497	7849.34915040683	7748.73619488383	6543.09640846049	10852.1014892474	6450.20682344989	6635.51803657788	6673.39090168771	6109.16288965058	8087.04636205227	6392.06528448934	7664.04979701427
OG0000565	444.256085413127	513.370200410815	323.462892107216	462.717437966659	614.243643712714	531.295386836785	524.775481437452	451.560488560035	355.954589803395	392.381454084278	585.204609560551	485.101472899559	512.143027461661	409.15275693901	511.760371084669	506.293747878708	455.524195525758	532.672107040778	486.831956504442
OG0000582	875.849289531818	440.031600352127	524.672092709343	978.179868862161	836.8734359754	962.536605933504	863.192785370971	945.779917283576	300.910065606994	462.563502782279	801.98475188472	879.723345235829	937.431389447368	555.977908950617	840.74918106767	880.623367264329	868.280835576391	846.383333010983	830.634816298638
OG0000602	4190.35846835042	4270.1399884171	4724.59578629044	6504.41662799765	3512.00732533266	3314.97296838018	5246.61151267204	3664.50700624065	5278.15826461048	4391.69486549612	4483.17618280735	4390.98591649308	3235.58587135135	3648.11561031505	4156.49277002914	3585.45674605075	3576.56115089656	4150.70208371237	3843.12964204054
OG0000625	2123.14309703376	2296.41491433766	2344.46922980073	2474.21966829841	2061.7843411958	2288.83603876694	2790.79945574906	2343.12032312719	2308.20038130243	2258.58593082657	1865.53052056433	1934.95531325105	2238.25471261022	2345.28709479873	1658.3175787761	1938.92392714027	1906.63729873991	1910.13510432112	2089.46854324534
OG0000635	747.10999637172	722.385210578075	1063.35242090364	1162.78734411311	658.054325724246	561.544321269829	874.625802395753	751.213531659782	1228.10449540415	916.62009057086	720.564980119774	921.147740674443	736.767162313267	642.115331464093	714.146441182612	644.295450878015	759.870055418514	746.855659797085	760.452837167523
OG0000650	1921.59223643065	1883.88528900754	1948.41820836237	1539.19479365075	1826.63721121554	2223.68448768038	1655.5008651883	2024.73896483371	1519.22886782068	1147.37015977489	1607.02274521063	1799.78097024083	2031.60050854674	2152.45672849015	1407.78680477821	1952.7240974402	1903.65351579978	1893.41445522118	1760.76813465658
