	SRR1519108	SRR1519109	SRR1519110	SRR1519111	SRR1519112	SRR1519113	SRR1519114	SRR1519115	SRR1519116	SRR1519117
OG0000108	2690.45658459171	2689.32462639477	2642.74182912953	3069.59068131252	3754.30909635158	2360.32096365338	3027.59323993905	2773.10503507423	4170.62839067374	4083.2586489601
OG0000109	0	0	0	0	0	0	0	0	0	0
OG0000155	978.850597066256	700.893582956155	690.725423805928	564.351504730352	747.928765288792	1060.03310397265	663.411895825791	884.563009593057	841.984197309638	499.290320086829
OG0000161	12978.0657551708	20575.4806381568	19643.4248191004	18705.0305507616	14807.3397098535	11471.0725179897	12398.5968545719	12190.752543875	19716.0623421448	14963.1067801022
OG0000187	984.380826428212	1158.70268627434	1226.40585910323	1285.19194615507	1206.21844990202	1263.88562396739	1080.83960555887	1200.05714968125	1388.07109099332	1067.2330591856
OG0000200	275.128910757323	303.045317948673	416.295794145661	458.137294304313	241.976953475786	211.132967137409	202.502132995513	218.192209032954	384.10517191554	308.935885553725
OG0000224	2415.32767383439	2220.17158069349	2866.78183752449	4347.70168010585	4445.40994074834	1750.21949309769	2598.98443083812	2696.44290757617	2470.62220182	6020.34906267197
OG0000262	282.041697459769	354.90334027144	330.245825523373	395.824957521037	372.131223905943	315.971405991846	356.552835397008	448.178591527149	364.859818834177	413.474796321905
OG0000263	1158.58305132983	1252.69535173435	1424.08821945173	1202.34486202276	1048.56679839507	1282.81478653833	971.51330062878	1219.22268155576	1138.68339064732	893.261588280342
OG0000273	1003.73662919506	671.723445399598	706.229922656791	764.034220331305	725.930860427357	963.931201689411	766.526478884856	837.386315748094	655.945784189794	606.949795355551
OG0000274	707.8693583304	816.763851583589	782.201967026018	918.398872817148	863.417765811326	936.265502547268	703.16691580037	1269.34791876604	909.342933094409	1316.87821922901
OG0000301	606.942672474698	656.328095022527	661.266875989289	804.395620293199	909.246734272649	503.806942272713	696.955193929342	598.554303157968	912.550491941303	773.119855009449
OG0000317	526.754346726333	1040.40157285052	1244.23603278172	749.164230871659	218.145889875898	592.628397413279	767.768823259062	533.686349121144	3339.87064932823	334.680542683202
OG0000320	2029.59417583794	2574.26463936613	3162.14254063343	3362.03380735221	2794.65049677148	2047.2617365186	2129.3782573884	2438.44536311153	2736.04769640046	2498.79202380955
OG0000326	1791.79431327382	2724.97701674168	3031.12952534364	2462.04539767558	2012.80829482131	1908.93324080788	1985.26630998055	1947.51289278738	3462.55977522192	2446.52256842546
OG0000328	117.51737394157	102.905763046742	159.696338163885	102.673736745171	62.3273971073993	117.943243711242	101.872238684859	138.581538169579	151.557155515735	60.8510077605823
OG0000329	577.908968324428	1157.89240467554	960.503703810938	807.227999237894	1491.27463373145	227.149950851281	354.068146648596	187.232503697197	1019.20182360052	440.779735701654
OG0000335	378.820711294003	346.800524283508	358.153923454926	350.506894405928	345.550422198376	227.149950851281	288.2238948157	216.717937350299	368.06737768107	293.333063051012
OG0000355	197.705699689936	164.487164555028	134.889140002505	194.017957711564	207.14693744518	225.693861422747	192.563378001868	284.534434752433	207.689435336377	237.943043166379
OG0000357	19.3558027668469	12.1542239818986	8.52747436797442	6.37285262556232	3.66631747690584	7.28044714266927	4.96937749682241	20.6398035571713	3.20755884689386	4.68084675081402
OG0000359	0	0	0	0	0	0	0	0	0	0
OG0000361	6115.05111698312	8866.10125399566	8504.99284464067	8290.3731711204	7873.4167816553	8135.17163721864	7506.24470895024	7798.89720124545	7939.51003577403	9195.52344197414
OG0000369	1061.8040374956	1277.00379969815	1418.66164485393	1527.36034592644	1200.71897368666	969.755559403547	982.694399996631	1214.7998665078	1174.76842767488	1342.62287635849
OG0000373	323.51841767444	289.270530769188	319.392676327769	439.018736427626	266.7245964449	333.444479134253	288.2238948157	291.905793165709	327.171002383174	227.801208539616
OG0000374	457.626479701879	325.733202714884	481.414689319283	436.186357482932	422.543089213399	374.2149831332	311.828437925606	440.807233113873	353.633362870048	721.630540750495
OG0000380	3925.08028964845	5550.42895173371	6846.78669254092	6294.25410984705	4935.77990328449	3299.49864505771	4012.77232868409	3976.11072812079	5049.49951472266	4331.34352675324
OG0000382	699.574014287465	787.593714027032	812.4357397852	785.985157152686	731.430336642716	815.410079978958	736.710213903922	916.996986611469	618.256967738791	816.027616891911
OG0000388	2751.28910757323	3241.93667677177	3375.32939983279	3437.09184938661	3538.91294458337	2910.72276763917	2462.3265496755	2886.62395463868	4030.29769112213	3140.06802867107
OG0000394	2420.85790319635	2819.77996380049	3071.44122235588	2931.51220775867	2965.1342594476	2683.57281678789	2622.58897394802	2790.79629526609	3073.64326503604	3212.62115330869
OG0000399	114.752259260592	140.178716591231	177.526511842377	181.272252460439	161.317968983857	101.92625999737	104.356927433271	85.5077575939955	157.972273209523	205.957257035817
OG0000401	6437.18697731707	6833.10472262342	7769.30437416724	6356.56644663033	6375.72609233926	5403.54786928913	7579.54302702837	5168.79651938876	8046.16136743325	5264.3923124155
OG0000402	229.504518521184	206.621807692277	189.154885980524	213.844610324424	214.479572398992	225.693861422747	237.28777547327	210.820850619679	217.312111877059	168.510483029305
OG0000409	0	10.5336607843122	3.10089977017252	31.156168391638	2.74973810767938	16.0169837138724	0	0	5.61322798206425	0
OG0000410	1188.99931282059	1053.36607843122	1129.50274128534	1067.80686214978	1090.72944937949	1275.53433939566	1284.58408292859	1435.94061890606	874.059785778577	988.438805546894
OG0000412	71.8929817054312	77.7870334841513	101.55446747315	116.127536732469	105.406627461043	59.699666569888	110.568649304299	29.4854336531019	123.491015605414	150.567237151184
OG0000420	2687.69146991074	3643.02606817442	5146.71839354384	4669.88478506483	4351.91884508724	1805.55089138198	2282.18661541569	1925.39881754755	3318.2196271117	4168.29403159988
OG0000431	229.504518521184	251.997577224699	320.167901270312	97.7170735919556	85.2418813380609	94.6458128547005	98.1452055622425	106.147561151167	139.528809839883	40.5673385070548
OG0000432	3127.34470418626	1691.86797828029	3432.69604558098	244.292683979889	103.57346872259	821.234437693094	868.398717569715	131.210179756303	940.616631851624	92.8367938911447
OG0000439	128.577832665483	142.609561387611	165.89813770423	110.46277884308	194.31482627601	163.082015995792	154.050702401495	228.51211081154	153.160934939182	95.1772172665518
OG0000447	59.4499656410297	93.9926654600162	164.347687819143	94.8846946472612	62.3273971073993	126.679780282445	55.9054968392521	45.7024221623079	144.340148110224	31.2056450054268
OG0000448	1920.37214593931	3117.15331055761	2889.26336085824	3308.21860740302	2818.48156037137	2370.51358965311	2310.76053602242	3150.51858583394	3580.43756284527	3318.72034632714
OG0000451	3889.13379879573	4421.70668461473	5849.84741643046	5233.52819505901	3856.04940633572	3777.09597761682	3868.66038127624	3054.69092646136	3923.64635946291	3302.33738269929
OG0000454	1176.55629675619	1161.94381266951	1224.85540921814	1251.91149355491	1141.14131468694	1205.64204682603	1236.13265233457	1201.5314213639	1165.94764084592	674.041932117219
OG0000456	2.76511468097812	17.0159135746581	8.52747436797442	9.91332630643027	3.66631747690584	2.91217885706771	0	4.42281504796528	5.61322798206425	10.9219757518994
OG0000468	1430.94684740618	1120.61945113106	1008.56765024861	756.245178233395	500.452335597648	1068.76964054385	944.181724396257	899.305726419608	848.399315003426	278.510381673434
OG0000472	15.2081307453797	8.10281598793243	6.97702448288817	5.66475788938873	1.83315873845292	7.28044714266927	17.3928212388784	4.42281504796528	27.2642501985978	1.56028225027134
OG0000476	1871.98263902219	1687.00628868753	2001.63080164636	2048.5180717502	1861.57269889894	1742.93904595502	1764.12901137195	1679.19544654415	1857.17657235154	1788.08345881096
OG0000478	641.506605986925	1384.77125233765	1259.74053163259	1159.15108311617	670.019518904543	1365.81188396475	698.197538303548	1399.08382683968	1361.60873050644	2354.46591565945
OG0000479	738.285619821159	523.441912820435	713.206947139679	773.239451901561	606.775542427917	630.486722555159	641.04969709009	589.708673062038	631.087203126367	444.680441327332
OG0000481	3286.3387983425	2015.98061779759	2186.90956291417	2764.4018500217	2214.45575605113	2417.1084513662	3290.97024727064	2594.71816147297	1534.81690823871	1729.57287442578
OG0000482	953.964564937453	1029.05763046742	1338.81347577198	1497.62036700714	1127.39262414855	748.429966266401	833.613075091959	1135.18919564442	995.14513224882	1438.58023475018
OG0000487	1107.42842973174	1764.79332217168	2481.49504108056	2254.57363997671	1527.02122913128	1461.91378624799	1479.63214967887	1093.90958853008	3056.80358108985	1722.55160429956
OG0000488	214.296387775805	402.709954600242	524.827286101699	84.2632736046573	21.0813254922086	161.625926567258	270.831073576821	104.673289468512	1833.92177071156	26.5247982546128
OG0000496	1695.01529943959	1405.83857390628	1231.83243370103	1765.98827201694	2093.46727931324	1913.30150909348	1664.74146143551	2434.02254806356	1598.96808517659	3235.24524593762
OG0000501	76.0406537268984	124.783366214159	147.292739083195	170.650831417835	145.736119707007	39.3144145704141	42.2397087229904	38.3310637490325	108.255111082668	140.425402524421
OG0000506	1346.61084963635	1735.62318461513	1595.41293175376	2389.81973458587	2303.3639548661	959.56293340381	1217.49748672149	891.934368006332	2525.15070221719	3197.01833080598
OG0000507	0	4.86168959275946	6.97702448288817	1.41618947234718	0	2.91217885706771	0	0	4.00944855861732	1.56028225027134
