powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	24	1	0.649193633898412	2.35344794449288	0.918972719504472	4445.87053413704	4485.45219002441	5787.69079838196
2	24	2	0.339204172042368	0.624991223884321	0.854828149577456	2680.9479148903	2661.82524502585	4140.46499778259
3	24	3	0.00266790418036447	0.0327900730450824	0.748785157524697	1841.00815647415	1782.85959467613	3226.32293630179
4	24	4	0.238062701681177	-0.281155066246839	0.832213348802782	1361.02474046492	1282.86840461987	2636.50969392106
5	24	5	0.521295063123994	-0.482935846680013	0.871063336721932	1055.79520224277	968.593054556218	2222.13184327426
6	24	6	0.670889219727802	-0.618800133783143	0.896913300751511	847.446879814207	756.234460824747	1915.44468033777
7	24	7	0.743104315050301	-0.710625605462674	0.91486271081045	697.833929896104	607.370061145132	1678.39842486091
8	24	8	0.785558803634891	-0.791125135953382	0.93038640190787	586.212306216937	497.268672329848	1489.65580664519
9	24	9	0.818259050346618	-0.855063736813008	0.943927396369917	500.404440918209	415.089582744746	1335.8511764973
10	24	10	0.836046940078658	-0.912121759633196	0.943522920465199	432.829878729764	352.191831678727	1208.16108658308
11	24	12	0.86359992822914	-0.999206537121043	0.953527810347825	334.202347261112	262.310685018339	1008.59080557074
12	24	14	0.876395242801822	-1.06678513725807	0.956468201795305	266.642358938763	202.672145815953	860.064244755888
13	24	16	0.881498633183308	-1.12026373222971	0.961399254210886	218.147900577864	160.720743335693	745.487471897221
14	24	18	0.891062003703997	-1.16199663892689	0.965105515608552	182.059262988682	130.701410343257	654.61836190043
15	24	20	0.895406360949436	-1.20019439766164	0.966683710710978	154.419176701684	108.389682111609	580.944360541358
16	24	22	0.894796440475326	-1.2345005444193	0.965852004068326	132.746630152127	91.0091413341073	520.127415393828
17	24	24	0.900084882618994	-1.26138470106249	0.96916032595832	115.417414307758	77.5133826813888	469.167529730927
18	24	26	0.902366739111636	-1.2875812460426	0.970655095076202	101.329627526113	66.7344461260248	425.92473117945
19	24	28	0.906215608081085	-1.30806592755161	0.972908501002576	89.7129859672138	58.1263979191084	388.832125153267
20	24	30	0.902786145323382	-1.3302306120279	0.973026202812147	80.0150981456033	50.9645632774472	356.866708731359
21	24	32	0.898151412098669	-1.35233376799089	0.969755965247736	71.8310015784672	45.0473442488355	329.114312902341
22	24	34	0.898939960350213	-1.36655328958202	0.970852594879313	64.858051249504	40.0994693795138	304.686609533622
23	24	36	0.901677909099093	-1.37828115833682	0.973768067761423	58.8662061432094	35.9182358534421	283.047582498204
24	24	38	0.901629475494776	-1.39013035908101	0.974030525738864	53.6779642623044	32.3038195850087	263.768906046434
25	24	40	0.904968488625742	-1.39874140588318	0.976318722859554	49.1545112640243	29.2640496497937	246.504281930272
