powerEstimate	fitIndices.Power	fitIndices.SFT.R.sq	fitIndices.slope	fitIndices.truncated.R.sq	fitIndices.mean.k.	fitIndices.median.k.	fitIndices.max.k.
1	1	1	0.931300700917014	5.32705602716136	0.976725635998858	4767.49347572825	4874.09419830866	5928.04058189765
2	1	2	0.890532763705661	2.37945802022197	0.988808907511691	3065.85901004366	3127.66512864948	4392.59208825684
3	1	3	0.785301114817006	1.41848856293968	0.959284387789178	2213.86259930748	2233.26346546003	3528.0406377234
4	1	4	0.644255825450578	0.797976625055281	0.924796233144313	1705.39150937604	1695.40644002492	2959.8132012798
5	1	5	0.429882408376893	0.402573464241598	0.930580705000133	1369.66574761737	1339.07620791259	2553.13693427644
6	1	6	0.122742932875569	0.148995946334181	0.942946719123396	1132.82268703699	1088.75012467418	2245.84062340608
7	1	7	0.00250290944762959	-0.0187295812745104	0.937289868928209	957.699420764188	907.277887828663	2004.62931202082
8	1	8	0.15614269139348	-0.154825345707653	0.934624900989004	823.572131657059	768.85078199233	1809.85701485808
9	1	9	0.332872174725998	-0.253279646503558	0.945183746325152	717.985904276613	659.458759885063	1650.72193016233
10	1	10	0.477693759722869	-0.341789017485356	0.962594996368392	633.015614481753	573.589811298254	1517.00405008795
11	1	12	0.638779177781219	-0.479222585273023	0.97396657162589	505.454815410123	446.336558403854	1304.50947287181
12	1	14	0.719696791619212	-0.583071878583677	0.981411584602923	415.020132552605	356.430184443776	1142.93136740633
13	1	16	0.774074389343648	-0.67007304271464	0.988343714226362	348.134583203141	291.034420222728	1015.74404074045
14	1	18	0.809033928318453	-0.743939718018764	0.992479106124109	297.026399712988	241.603384166181	912.924961703737
15	1	20	0.829021847564453	-0.807666183727624	0.990747070390793	256.947091930756	204.407772634579	828.029946839617
16	1	22	0.839681092188596	-0.863617617344812	0.989786124987158	224.843729974798	174.93850454598	756.720644418546
17	1	24	0.851597379656862	-0.915168630461204	0.990827240455512	198.671364172366	151.0728065502	695.965467519223
18	1	26	0.861166160428852	-0.958267838662274	0.991989436380503	177.013191484007	132.093298978	643.579516861498
19	1	28	0.864790967808129	-1.00107142748039	0.990035805378457	158.859414404864	116.52185326126	597.946584794402
20	1	30	0.87046595716525	-1.03343838801403	0.989911736135338	143.472752291763	103.205504022146	557.844275611717
21	1	32	0.876886453643657	-1.06019847524989	0.992093882495466	130.303581198999	91.912776948505	522.330159475015
22	1	34	0.882611296957359	-1.08667845049067	0.993542132488641	118.934670890959	82.2647827160778	490.665434094118
23	1	36	0.882438957959648	-1.1130439009055	0.992266474476852	109.044197265498	74.3475133195473	462.26239656815
24	1	38	0.884423443111752	-1.13873464663146	0.991535644577226	100.380385564697	67.3963383422274	436.647465305944
25	1	40	0.890018152591725	-1.16136410769478	0.993109093070161	92.7437546477972	61.5783940277077	413.434615709197
