Geneid	gene_name	PO_Q1_1Aligned.sortedByCoord.out.bam	PO_Q3_1Aligned.sortedByCoord.out.bam	PO_W1_1Aligned.sortedByCoord.out.bam	PO_Q4_1Aligned.sortedByCoord.out.bam	PO_W2_1Aligned.sortedByCoord.out.bam	PO_Q5_1Aligned.sortedByCoord.out.bam	PO_W5_1Aligned.sortedByCoord.out.bam	PO_W4_1Aligned.sortedByCoord.out.bam	PO_Q2_1Aligned.sortedByCoord.out.bam	PO_W3_1Aligned.sortedByCoord.out.bam
Polyb2a006051	NA	2158	2640	1424	3296	2579	2422	1202	2681	3391	1864
Polyb2a005998	NA	1333	1441	2127	1589	3031	1177	2062	2223	1655	2291
Polyb2a005995	NA	300	270	304	270	398	221	346	409	413	368
Polyb2a006040	NA	155	173	122	191	161	146	157	183	247	225
Polyb2a006004	NA	267	127	136	140	348	116	56	191	352	160
Polyb2a006046	NA	4	8	4	6	4	8	5	5	8	3
Polyb2a006087	NA	467	536	380	632	486	470	354	566	618	362
Polyb2a006012	NA	683	954	764	1041	823	803	819	977	1043	852
Polyb2a006044	NA	333	491	354	485	460	389	353	473	518	356
Polyb2a006089	NA	491	749	547	842	692	665	869	737	790	947
Polyb2a006067	NA	1314	2529	1767	3062	2356	2412	2399	2273	2612	3681
Polyb2a006070	NA	19	16	14	26	28	28	17	31	36	15
Polyb2a006071	NA	101	145	96	165	127	109	98	155	132	111
Polyb2a006076	NA	499	726	512	864	690	712	440	786	921	717
Polyb2a006068	NA	81	177	347	211	111	201	964	128	151	524
Polyb2a006075	NA	8	9	206	11	22	15	446	26	26	162
Polyb2a006041	NA	2462	2524	1728	2755	2336	2380	1259	2657	3911	2025
Polyb2a006083	NA	226	222	144	327	237	238	161	255	364	188
Polyb2a006077	NA	1	1	1	1	3	1	1	3	3	1
Polyb2a006084	NA	194	225	199	308	212	220	160	268	303	196
Polyb2a006008	NA	784	1017	898	1144	965	917	969	1194	1150	1107
Polyb2a006058	NA	407	575	441	664	597	617	596	663	619	592
Polyb2a006048	NA	726	1006	783	1117	767	891	878	849	948	867
Polyb2a006074	NA	540	737	588	867	557	667	663	699	754	702
Polyb2a006079	NA	111	123	103	126	232	65	71	124	151	210
Polyb2a006016	NA	9	10	6	6	3	4	2	8	9	6
Polyb2a006009	NA	42	37	23	66	38	41	21	24	75	42
Polyb2a006062	NA	855	1192	841	1298	1019	1137	851	1255	1315	921
Polyb2a006063	NA	589	706	411	780	645	671	443	792	935	506
Polyb2a006042	NA	133	179	142	216	172	187	119	201	224	137
Polyb2a006088	NA	35	57	14	57	50	52	8	36	54	27
Polyb2a005993	NA	31	45	16	58	44	36	16	32	51	18
Polyb2a006036	NA	627	849	366	1196	621	837	306	720	1062	457
