Geneid	gene_name	PO_Q1_1Aligned.sortedByCoord.out.bam	PO_Q3_1Aligned.sortedByCoord.out.bam	PO_W1_1Aligned.sortedByCoord.out.bam	PO_Q4_1Aligned.sortedByCoord.out.bam	PO_W2_1Aligned.sortedByCoord.out.bam	PO_Q5_1Aligned.sortedByCoord.out.bam	PO_W5_1Aligned.sortedByCoord.out.bam	PO_W4_1Aligned.sortedByCoord.out.bam	PO_Q2_1Aligned.sortedByCoord.out.bam	PO_W3_1Aligned.sortedByCoord.out.bam
Polyb2a004846	NA	184	193	91	209	271	194	75	253	415	155
Polyb2a004876	NA	36	14	14	18	18	19	15	19	28	21
Polyb2a004820	NA	490	429	745	463	716	351	898	788	535	760
Polyb2a004903	NA	646	779	737	758	887	693	885	982	941	815
Polyb2a004804	NA	7	3	5	1	3	1	2	3	4	3
Polyb2a004889	NA	931	1268	604	1652	723	1184	409	821	1455	572
Polyb2a004833	NA	4	1	4	5	4	0	0	1	0	0
Polyb2a004782	NA	210	387	242	450	303	339	238	349	389	306
Polyb2a004857	NA	1094	1538	891	1795	1166	1333	906	1364	1614	1170
Polyb2a004799	NA	278	311	242	316	314	337	233	370	437	296
Polyb2a004866	NA	45	37	27	21	26	33	15	32	30	30
Polyb2a004825	NA	3	0	1	6	1	1	1	3	1	1
Polyb2a004863	NA	286	353	266	447	289	321	249	369	337	252
Polyb2a004912	NA	318	457	340	587	324	422	375	467	522	393
Polyb2a004858	NA	398	306	259	336	447	341	200	559	694	281
Polyb2a004822	NA	550	668	579	620	679	541	653	741	739	764
Polyb2a004811	NA	731	817	660	886	755	793	548	847	980	674
Polyb2a004845	NA	751	1118	647	1453	801	1057	596	958	1155	737
Polyb2a004911	NA	231	219	126	206	192	190	161	243	313	158
Polyb2a004885	NA	20	18	13	17	19	15	20	21	27	19
Polyb2a004894	NA	47	47	58	46	56	24	51	79	64	49
Polyb2a004788	NA	104	132	126	132	192	113	102	146	166	98
Polyb2a004883	NA	2354	2703	3004	3263	3532	2638	3406	3638	2802	3724
Polyb2a004827	NA	726	794	831	1000	789	786	870	863	984	879
Polyb2a004878	NA	1007	1232	626	1713	1088	1328	428	1057	1749	765
Polyb2a004812	NA	4	2	2	4	3	2	0	0	1	3
Polyb2a004853	NA	2	0	1	4	1	2	0	1	2	0
Polyb2a004784	NA	250	327	218	325	291	322	200	370	418	252
Polyb2a004874	NA	779	1063	645	1218	723	1033	543	854	1067	717
Polyb2a004842	NA	1212	1378	930	1465	1282	1371	784	1682	1868	1025
Polyb2a004805	NA	315	436	421	724	4948	499	479	1321	718	557
Polyb2a004910	NA	204	255	243	290	286	235	235	314	344	231
Polyb2a004801	NA	432	673	471	776	654	726	471	744	778	460
Polyb2a004867	NA	132	193	184	218	208	175	221	273	200	186
Polyb2a004847	NA	289	370	297	450	361	312	292	453	365	351
Polyb2a004880	NA	163	237	237	265	275	234	285	296	247	305
Polyb2a004806	NA	264	271	108	152	91	147	67	139	339	116
Polyb2a004855	NA	340	584	184	958	372	682	250	520	555	252
Polyb2a004905	NA	3	4	2	16	1	5	4	5	3	0
Polyb2a004849	NA	718	580	450	587	679	486	374	763	851	594
Polyb2a004915	NA	950	1204	835	1522	1050	1135	585	1091	1331	842
Polyb2a004861	NA	15	11	13	4	17	7	14	26	7	18
Polyb2a004783	NA	122	118	108	162	116	144	85	126	185	116
Polyb2a004879	NA	527	661	381	742	534	583	431	610	682	562
Polyb2a004891	NA	31	14	13	32	28	23	5	39	66	20
Polyb2a004809	NA	208	206	146	223	213	207	58	223	353	142
Polyb2a004864	NA	784	861	426	949	952	828	340	899	1327	552
Polyb2a004886	NA	99	120	145	172	179	139	109	260	216	143
Polyb2a004884	NA	363	421	245	540	363	483	346	389	514	339
Polyb2a004873	NA	263	331	86	331	167	282	100	232	345	94
Polyb2a004893	NA	16	14	40	21	47	11	53	37	31	38
Polyb2a004836	NA	23	26	34	29	32	13	24	36	32	29
Polyb2a004793	NA	95	56	33	107	77	90	30	63	115	36
Polyb2a004882	NA	85	119	90	118	103	132	106	140	128	99
Polyb2a004821	NA	105	121	76	165	113	119	63	154	159	94
Polyb2a004875	NA	305	366	220	409	361	318	146	339	487	239
Polyb2a004839	NA	3	8	0	2	0	0	4	6	2	2
Polyb2a004779	NA	198	105	78	143	143	111	59	199	274	83
Polyb2a004817	NA	3	0	1	3	2	0	2	1	7	0
Polyb2a004907	NA	690	850	607	1147	770	883	600	876	1022	719
Polyb2a004797	NA	373	504	384	658	457	477	456	589	559	457
Polyb2a004869	NA	85	115	113	113	136	109	112	128	114	131
Polyb2a004803	NA	246	268	208	309	291	291	246	342	388	241
Polyb2a004868	NA	173	173	160	218	195	194	160	210	244	189
Polyb2a004913	NA	423	518	404	507	482	400	363	509	612	455
Polyb2a004844	NA	414	480	339	503	391	381	349	573	549	391
Polyb2a004896	NA	4037	4630	3170	5230	4824	4272	2600	5449	6312	3859
Polyb2a004823	NA	617	669	354	777	676	634	245	743	1000	452
Polyb2a004850	NA	50	96	36	118	46	92	32	56	127	38
Polyb2a004780	NA	0	3	1	0	0	0	0	0	2	0
Polyb2a004860	NA	2593	3225	2216	3727	2991	2949	1892	3246	3924	2527
Polyb2a004895	NA	6	3	2	5	8	4	0	7	8	5
Polyb2a004794	NA	70	77	33	89	81	69	11	72	111	41
Polyb2a004871	NA	2289	2262	1895	2582	3412	2007	1885	3181	3316	2235
Polyb2a004796	NA	416	544	420	695	494	565	342	586	660	559
Polyb2a004814	NA	50	34	42	30	66	32	27	72	88	40
Polyb2a004865	NA	476	311	231	311	551	303	104	466	755	218
Polyb2a004904	NA	286	333	271	358	315	286	274	329	354	281
Polyb2a004877	NA	64	92	67	87	119	97	99	138	120	92
Polyb2a004808	NA	483	589	341	662	703	555	341	577	748	488
Polyb2a004786	NA	2	1	0	2	2	0	0	0	1	1
Polyb2a004854	NA	593	710	343	734	590	638	233	676	1026	412
Polyb2a004899	NA	5582	8139	4579	14261	11615	8314	3765	11582	10533	3300
Polyb2a004832	NA	81	120	93	197	122	110	45	157	167	73
Polyb2a004838	NA	45	19	17	26	32	17	4	18	79	52
Polyb2a004802	NA	0	1	0	0	0	0	0	0	0	0
Polyb2a004856	NA	55	66	56	143	82	96	34	71	101	70
Polyb2a004815	NA	5498	5027	3294	14317	1102	6822	1538	4591	9579	1580
Polyb2a004843	NA	0	0	0	1	0	2	0	0	0	0
Polyb2a004787	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004851	NA	2544	1782	1450	5121	1900	2541	1496	3478	4379	1085
Polyb2a004830	NA	843	1108	737	1349	821	958	646	964	1139	813
Polyb2a004870	NA	310	396	353	440	369	340	368	421	436	375
Polyb2a004778	NA	290	226	208	201	286	232	170	308	361	210
Polyb2a004848	NA	579	725	611	787	697	647	609	801	812	682
Polyb2a004781	NA	555	719	458	834	537	643	407	684	764	562
Polyb2a004828	NA	2180	2625	1846	2848	2650	2432	1994	2848	3071	2471
Polyb2a004897	NA	291	334	294	411	339	330	345	410	426	351
Polyb2a004852	NA	169	237	129	319	147	260	111	228	270	154
Polyb2a004790	NA	530	596	429	684	532	563	406	651	729	434
Polyb2a004837	NA	231	247	125	306	285	221	138	263	361	172
Polyb2a004908	NA	376	538	345	646	479	532	387	520	567	386
Polyb2a004824	NA	440	594	370	647	445	547	345	539	664	386
Polyb2a004800	NA	765	953	593	1080	937	800	508	951	1001	693
Polyb2a004792	NA	196	222	167	241	198	204	201	206	210	188
Polyb2a004898	NA	1932	2122	833	2553	1783	1784	636	1811	3017	1040
Polyb2a004881	NA	3375	4155	2923	4655	3873	3477	2763	3664	4376	3135
Polyb2a004826	NA	547	609	520	664	607	527	442	662	662	545
Polyb2a004791	NA	703	842	795	1042	1009	778	783	956	920	865
Polyb2a004902	NA	1220	1405	1319	1622	1574	1347	1420	1763	1578	1624
Polyb2a004818	NA	44	45	20	47	30	44	32	34	44	36
Polyb2a004813	NA	914	1043	1066	1140	1428	958	1157	1452	1383	1286
Polyb2a004862	NA	1332	1615	752	2000	1308	1485	528	1515	2049	1084
Polyb2a004785	NA	360	400	202	496	356	375	167	444	447	374
Polyb2a004892	NA	572	645	648	830	708	690	742	883	778	1022
Polyb2a004887	NA	663	887	559	987	871	822	625	810	1021	729
Polyb2a004909	NA	679	872	501	903	694	756	383	882	969	535
Polyb2a004819	NA	3883	4825	2471	6085	3790	4489	1866	3466	5388	2537
Polyb2a004831	NA	110	120	126	145	151	107	88	103	111	113
Polyb2a004914	NA	378	502	428	573	436	448	396	558	554	504
Polyb2a004807	NA	110	114	71	169	66	142	61	106	171	82
Polyb2a004890	NA	0	0	3	0	2	0	0	2	4	1
Polyb2a004810	NA	9370	16298	4506	29777	7219	20744	9008	5802	12993	7536
Polyb2a004872	NA	699	635	518	720	732	662	437	789	995	597
Polyb2a004900	NA	465	452	479	629	548	471	441	637	657	576
Polyb2a004859	NA	551	723	526	811	692	678	543	827	816	681
Polyb2a004798	NA	215	278	231	315	335	253	183	306	363	266
Polyb2a004888	NA	0	1	0	0	0	1	1	0	0	1
Polyb2a004816	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004834	NA	417	471	464	596	603	403	391	626	627	492
Polyb2a004906	NA	85	115	98	160	95	125	66	82	125	76
Polyb2a004829	NA	0	0	0	0	0	0	0	0	0	2
Polyb2a004789	NA	0	0	0	0	0	0	0	0	1	0
Polyb2a004840	NA	553	688	522	805	656	663	538	766	760	748
Polyb2a004901	NA	2295	2905	1934	3358	2598	2812	1758	2932	3367	2196
Polyb2a004835	NA	713	722	635	788	781	755	577	877	1003	687
Polyb2a003730	NA	205	244	141	275	209	250	124	275	397	201
Polyb2a003735	NA	188	231	106	282	260	244	42	254	341	81
Polyb2a003724	NA	80	108	69	137	99	89	52	86	113	84
Polyb2a003741	NA	1487	1887	1069	2583	2276	2031	730	2151	2612	1010
Polyb2a003729	NA	1576	2134	1836	2411	2520	2115	2068	2781	2575	2112
Polyb2a003740	NA	78	91	42	140	60	114	67	83	97	73
Polyb2a003721	NA	533	329	270	290	407	342	207	585	829	300
Polyb2a003733	NA	70	96	65	121	58	113	77	91	80	64
Polyb2a003723	NA	1132	1564	911	1786	1198	1368	964	1388	1636	1202
Polyb2a003732	NA	872	1156	819	1500	1003	1134	892	1037	1322	864
Polyb2a003725	NA	753	1301	676	1961	671	1357	722	816	1407	620
Polyb2a003737	NA	62	99	62	116	76	101	58	93	99	82
Polyb2a003731	NA	289	360	278	423	291	358	253	375	462	277
Polyb2a003728	NA	470	743	576	790	624	674	660	729	738	616
Polyb2a003720	NA	27	20	29	27	37	34	38	38	30	45
Polyb2a003722	NA	530	612	390	646	747	444	389	654	696	499
Polyb2a003738	NA	45	46	19	51	79	38	18	49	60	52
Polyb2a003734	NA	40	60	27	40	52	27	16	23	59	33
Polyb2a003727	NA	4523	4596	3606	6370	6695	4635	3373	5018	7152	4116
Polyb2a003726	NA	452	529	408	560	527	518	454	598	641	507
Polyb2a003736	NA	175	245	205	268	217	217	191	234	210	222
Polyb2a003739	NA	371	442	329	533	390	475	298	472	501	412
Polyb2a010296	NA	15	13	8	20	17	14	8	16	23	6
Polyb2a001142	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a012179	NA	159	107	133	112	148	87	108	175	208	142
Polyb2a012184	NA	136	131	62	167	103	122	78	215	258	79
Polyb2a012177	NA	25894	34294	18535	43128	21894	35675	25627	30606	36496	19830
Polyb2a012180	NA	222	323	123	411	171	339	144	168	348	140
Polyb2a012182	NA	939	1359	742	1552	1091	1167	646	1288	1467	1015
Polyb2a012183	NA	301	490	456	623	337	575	559	504	639	504
Polyb2a012181	NA	1157	1658	985	2019	1116	1509	1064	1329	1637	1148
Polyb2a012178	NA	113	105	142	79	166	51	85	113	118	150
Polyb2a004292	NA	776	768	335	932	885	750	234	828	1265	528
Polyb2a004293	NA	93	68	69	53	112	89	66	115	164	72
Polyb2a004299	NA	270	238	307	245	343	216	349	407	369	339
Polyb2a004296	NA	243	299	265	260	337	295	362	413	364	346
Polyb2a004294	NA	587	817	747	820	817	804	852	890	1008	838
Polyb2a004295	NA	779	953	943	1204	967	840	904	1023	1094	883
Polyb2a004297	NA	1733	2390	1414	2905	2164	2314	1247	2361	2736	1978
Polyb2a004302	NA	589	775	670	816	848	753	352	729	853	815
Polyb2a004301	NA	0	0	0	0	1	0	0	0	0	0
Polyb2a004298	NA	0	0	0	0	5	0	1	0	0	0
Polyb2a004303	NA	4	2	1	1	6	2	2	8	7	3
Polyb2a004300	NA	5	1	1	2	6	1	1	1	7	1
Polyb2a011554	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a011553	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a002504	NA	0	1	0	3	0	1	0	2	3	0
Polyb2a002502	NA	2	5	0	8	5	8	3	6	11	5
Polyb2a002503	NA	824	1253	594	1300	625	1169	506	921	1302	710
Polyb2a002501	NA	10	5	1	10	3	4	4	0	11	0
Polyb2a011202	NA	7	13	13	14	17	13	2	17	24	5
Polyb2a011209	NA	1	3	0	4	3	1	0	3	5	1
Polyb2a011204	NA	302	381	189	412	330	345	184	344	558	208
Polyb2a011205	NA	78	106	86	114	128	102	61	103	164	98
Polyb2a011203	NA	1199	1176	1226	1004	1556	806	1321	1716	1699	1433
Polyb2a011207	NA	144	164	97	204	185	143	61	176	251	119
Polyb2a011201	NA	1054	1525	1077	1779	1440	1450	1157	1639	1750	1095
Polyb2a011206	NA	146	177	148	213	203	155	156	243	211	159
Polyb2a011208	NA	173	178	80	224	170	187	60	190	271	132
Polyb2a009755	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006102	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006135	NA	69	46	42	32	66	32	12	62	82	51
Polyb2a006131	NA	469	405	458	395	639	364	413	728	690	469
Polyb2a006139	NA	323	440	339	494	433	421	399	412	434	418
Polyb2a006116	NA	350	490	370	604	424	452	443	469	500	409
Polyb2a006112	NA	536	798	456	773	481	808	468	618	810	591
Polyb2a006122	NA	51	46	21	57	30	33	32	34	85	29
Polyb2a006129	NA	2072	2334	1489	2480	2581	2042	953	2384	3250	1448
Polyb2a006125	NA	15	29	5	37	10	16	6	8	24	11
Polyb2a006117	NA	59	132	56	205	87	129	41	69	154	75
Polyb2a006097	NA	1489	1483	1616	1784	2329	1292	1583	2093	1979	1754
Polyb2a006142	NA	817	858	755	975	1329	743	486	1048	1277	742
Polyb2a006137	NA	228	315	215	432	354	322	229	330	369	235
Polyb2a006119	NA	4011	5258	3525	6187	3542	4838	3809	4108	5275	3781
Polyb2a006132	NA	198	213	78	265	160	214	45	184	245	97
Polyb2a006091	NA	126	166	140	239	108	209	142	148	168	125
Polyb2a006113	NA	328	460	255	561	378	510	199	425	564	269
Polyb2a006141	NA	655	870	542	1074	912	870	492	881	1056	619
Polyb2a006103	NA	622	859	897	994	925	743	951	1073	944	975
Polyb2a006127	NA	524	567	703	624	711	510	770	806	623	787
Polyb2a006099	NA	581	821	552	896	614	673	530	785	894	654
Polyb2a006126	NA	124	155	121	167	146	142	134	172	189	164
Polyb2a006105	NA	516	772	433	932	600	760	402	743	863	484
Polyb2a006136	NA	137	181	109	258	177	213	162	166	195	147
Polyb2a006115	NA	298	357	292	383	442	287	317	484	432	375
Polyb2a006118	NA	362	488	334	470	462	415	269	461	544	333
Polyb2a006121	NA	381	377	194	459	408	395	145	410	688	250
Polyb2a006094	NA	421	427	222	525	452	403	156	463	639	265
Polyb2a006134	NA	84	122	99	117	72	93	86	137	121	113
Polyb2a006098	NA	71	98	81	100	106	119	78	88	159	99
Polyb2a006096	NA	1279	1967	1121	2370	1263	1810	1259	1473	1876	1297
Polyb2a006104	NA	486	613	458	710	553	573	469	632	626	502
Polyb2a006133	NA	526	703	493	819	549	666	537	641	751	535
Polyb2a006093	NA	3474	3991	2603	4333	3196	3538	3073	3705	4471	2794
Polyb2a006107	NA	758	1043	963	1268	940	964	993	1170	1035	1002
Polyb2a006140	NA	109	131	84	183	161	155	66	164	240	81
Polyb2a006138	NA	156	115	60	150	140	125	41	137	257	94
Polyb2a006109	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006092	NA	15	21	5	18	15	15	12	27	30	19
Polyb2a006101	NA	1757	2580	1300	2978	1712	2309	1407	2018	2696	1580
Polyb2a006128	NA	432	491	343	517	596	427	187	648	825	318
Polyb2a006123	NA	212	264	174	307	247	236	154	290	280	207
Polyb2a006106	NA	1500	1613	2155	1734	2276	1375	2185	2412	1844	2273
Polyb2a006095	NA	796	940	799	1073	1041	920	770	1135	1177	870
Polyb2a006110	NA	371	297	312	248	440	295	285	554	617	317
Polyb2a006124	NA	365	459	201	456	401	340	193	464	517	386
Polyb2a006100	NA	2599	817	3553	820	3808	875	2961	3145	2944	4340
Polyb2a006130	NA	0	0	0	1	0	0	0	1	0	0
Polyb2a006120	NA	74	79	31	131	62	105	25	93	155	59
Polyb2a006108	NA	461	644	296	752	494	581	242	543	700	351
Polyb2a006114	NA	350	419	364	448	309	390	420	443	451	408
Polyb2a001964	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004623	NA	558	736	589	853	601	698	737	705	818	654
Polyb2a004549	NA	361	327	302	340	386	369	324	519	543	366
Polyb2a004517	NA	543	753	330	854	606	716	272	575	883	397
Polyb2a004553	NA	51	54	83	56	63	63	79	98	67	79
Polyb2a004578	NA	483	674	261	914	512	723	195	635	793	335
Polyb2a004550	NA	546	638	412	731	493	677	317	670	804	423
Polyb2a004565	NA	1953	2467	1480	2956	2336	2223	1154	2290	2757	1697
Polyb2a004599	NA	900	1201	645	1475	916	1097	629	979	1186	997
Polyb2a004560	NA	1161	1392	1078	1643	1220	1295	1094	1303	1632	1103
Polyb2a004625	NA	4390	5936	2607	7682	3936	5788	1800	4710	7063	3215
Polyb2a004629	NA	1080	1387	926	1492	1371	1227	868	1417	1602	1162
Polyb2a004561	NA	1255	1556	1286	1782	1495	1451	1329	1676	1729	1414
Polyb2a004488	NA	1294	1316	959	1459	1356	1374	916	1649	1767	1226
Polyb2a004564	NA	258	194	239	205	310	195	233	322	357	268
Polyb2a004622	NA	119	88	45	116	88	84	26	104	197	60
Polyb2a004538	NA	42	31	15	43	28	25	6	26	52	18
Polyb2a004607	NA	367	371	372	483	405	357	408	426	485	404
Polyb2a004588	NA	90	142	74	133	104	147	65	143	154	118
Polyb2a004597	NA	73	79	50	84	62	74	53	97	128	62
Polyb2a004515	NA	20	43	33	47	45	42	27	44	36	41
Polyb2a004595	NA	1270	1657	1203	2055	1655	1609	1209	1656	1895	1402
Polyb2a004501	NA	312	398	251	417	332	373	257	327	439	299
Polyb2a004510	NA	12	10	3	8	1	10	5	8	13	0
Polyb2a004567	NA	89	145	64	109	42	120	79	101	128	53
Polyb2a004483	NA	0	0	0	1	4	0	0	2	0	0
Polyb2a004590	NA	165	176	103	183	147	161	111	200	229	128
Polyb2a004551	NA	91	73	34	112	58	105	46	49	135	46
Polyb2a004478	NA	2187	3490	1358	5344	2003	3779	1129	2020	3373	1635
Polyb2a004627	NA	191	256	178	300	224	235	203	288	282	237
Polyb2a004548	NA	1448	1479	1979	1684	2297	1202	2109	2259	1765	2342
Polyb2a004585	NA	629	716	466	940	832	708	486	748	892	632
Polyb2a004503	NA	7123	8729	6447	10198	8383	8185	4775	8592	10421	7204
Polyb2a004546	NA	17	13	2	1	4	2	8	3	19	1
Polyb2a004636	NA	1469	1695	1193	1755	1870	1672	1104	2158	2310	1383
Polyb2a004477	NA	28	17	53	20	74	16	12	42	48	49
Polyb2a004632	NA	4	1	0	1	3	0	0	1	0	1
Polyb2a004505	NA	1	1	2	2	3	4	0	0	3	1
Polyb2a004586	NA	0	0	1	0	0	0	0	0	0	0
Polyb2a004494	NA	52	35	32	41	53	27	21	74	81	29
Polyb2a004574	NA	16	9	11	4	8	7	4	5	12	7
Polyb2a004525	NA	86	74	46	51	65	54	38	74	124	64
Polyb2a004511	NA	619	879	487	1080	558	1051	292	849	940	486
Polyb2a004617	NA	14	17	9	13	25	14	9	16	28	18
Polyb2a004524	NA	32	37	21	43	34	32	16	30	57	42
Polyb2a004583	NA	521	644	548	743	668	552	599	704	688	551
Polyb2a004476	NA	1765	1196	1038	1257	1699	1185	803	1735	2250	1143
Polyb2a004540	NA	504	432	743	520	670	399	839	710	554	835
Polyb2a004602	NA	22440	10218	23265	5101	40219	3635	19304	22834	32431	34779
Polyb2a004543	NA	25	53	34	31	51	42	29	57	43	48
Polyb2a004611	NA	2	1	0	2	0	0	0	0	1	0
Polyb2a004637	NA	28	38	21	31	37	22	21	30	33	38
Polyb2a004539	NA	144	163	142	159	190	164	119	170	184	134
Polyb2a004499	NA	365	326	242	349	259	312	236	386	469	289
Polyb2a004616	NA	339	373	314	388	431	349	292	442	517	408
Polyb2a004556	NA	681	827	505	949	691	717	366	734	1003	519
Polyb2a004613	NA	316	489	437	490	378	414	478	546	481	494
Polyb2a004620	NA	1202	1545	911	1963	1201	1419	770	1361	1751	1112
Polyb2a004571	NA	184	102	86	129	148	109	42	180	348	98
Polyb2a004490	NA	1243	951	929	1117	1489	949	609	1618	1977	1284
Polyb2a004582	NA	129	152	149	167	219	150	119	183	167	187
Polyb2a004521	NA	3021	4598	3025	5894	4491	4505	3516	4486	4816	3589
Polyb2a004608	NA	529	614	509	786	561	704	476	696	693	532
Polyb2a004581	NA	215	239	135	261	201	239	126	245	285	186
Polyb2a004615	NA	84	151	97	149	115	111	105	158	159	104
Polyb2a004530	NA	327	360	205	425	324	326	166	324	534	203
Polyb2a004604	NA	772	882	461	1076	841	901	287	844	1273	574
Polyb2a004484	NA	1423	1793	1730	1815	1796	1663	1735	2165	2257	2036
Polyb2a004534	NA	203	149	173	134	190	144	176	275	284	152
Polyb2a004570	NA	1112	1288	728	1771	1304	1361	497	1318	1661	831
Polyb2a004518	NA	1717	1927	1251	2089	1976	1885	1063	2095	2612	1579
Polyb2a004630	NA	178	228	243	223	255	186	259	292	308	227
Polyb2a004545	NA	68	86	51	69	72	55	27	77	114	33
Polyb2a004614	NA	529	597	400	620	507	524	357	627	753	513
Polyb2a004555	NA	101	137	143	169	172	141	134	192	191	145
Polyb2a004610	NA	364	449	516	479	1199	366	428	677	589	500
Polyb2a004479	NA	886	949	561	1052	1060	830	386	1136	1364	632
Polyb2a004562	NA	1	4	1	2	0	2	0	5	3	1
Polyb2a004557	NA	68	54	66	61	50	59	30	70	72	56
Polyb2a004579	NA	178	233	178	289	219	269	234	268	279	231
Polyb2a004633	NA	685	522	724	515	794	466	755	1050	1022	892
Polyb2a004527	NA	232	292	229	304	257	211	261	339	358	268
Polyb2a004619	NA	675	773	592	788	753	650	475	761	953	628
Polyb2a004536	NA	126	153	66	229	138	195	72	134	196	103
Polyb2a004554	NA	4062	4057	6860	4724	8240	3713	9292	6999	4602	8135
Polyb2a004486	NA	515	669	420	598	667	502	365	741	839	487
Polyb2a004552	NA	4404	4195	6502	4781	8317	3798	6338	7136	5133	6585
Polyb2a004566	NA	931	1045	847	888	1142	1014	671	1293	1555	806
Polyb2a004480	NA	628	400	496	400	634	407	514	932	928	581
Polyb2a004635	NA	0	1	0	2	0	1	0	0	0	0
Polyb2a004520	NA	0	0	0	1	3	0	3	3	2	0
Polyb2a004593	NA	7	8	19	14	12	13	23	17	18	14
Polyb2a004504	NA	280	380	339	381	316	321	358	383	371	347
Polyb2a004481	NA	8	7	6	13	9	7	2	11	10	10
Polyb2a004558	NA	14	7	8	9	2	10	9	4	4	6
Polyb2a004563	NA	10	2	0	3	1	4	5	1	1	0
Polyb2a004485	NA	6	3	36	1	0	5	35	7	6	13
Polyb2a004575	NA	1	2	12	5	1	1	13	1	3	12
Polyb2a004631	NA	288	26	7551	49	198	37	10996	380	204	2895
Polyb2a004544	NA	13	3	0	3	2	1	2	0	4	1
Polyb2a004628	NA	14	1	16	2	19	5	135	7	9	30
Polyb2a004493	NA	70	12	10	46	0	23	29	3	9	12
Polyb2a004587	NA	17	12	13	11	60	25	2	24	36	21
Polyb2a004621	NA	2	1	1	1	0	2	2	0	0	2
Polyb2a004533	NA	1570	1733	839	2191	1263	1629	601	1115	2350	874
Polyb2a004522	NA	76	81	67	110	108	80	88	88	112	99
Polyb2a004594	NA	313	339	135	403	247	360	94	267	478	133
Polyb2a004513	NA	471	379	272	385	423	384	215	532	679	290
Polyb2a004600	NA	714	424	338	451	639	460	244	866	1042	375
Polyb2a004537	NA	54	96	62	135	83	119	85	93	107	78
Polyb2a004569	NA	140	150	100	193	122	160	103	155	152	135
Polyb2a004512	NA	1	1	0	0	0	3	0	1	0	0
Polyb2a004572	NA	201	206	155	157	418	153	119	337	447	212
Polyb2a004626	NA	0	4	2	6	3	1	1	2	6	1
Polyb2a004559	NA	2	2	0	4	1	0	4	2	1	1
Polyb2a004601	NA	319	310	558	613	622	379	615	486	450	430
Polyb2a004507	NA	73	57	69	80	124	54	77	86	105	67
Polyb2a004589	NA	118	50	60	101	118	73	42	123	144	82
Polyb2a004596	NA	47198	63989	43523	64975	40382	64074	32466	67944	79562	45687
Polyb2a004529	NA	93	108	80	108	70	123	61	122	149	98
Polyb2a004487	NA	7	8	3	2	4	4	0	5	16	2
Polyb2a004506	NA	1	0	1	0	0	0	0	0	0	0
Polyb2a004573	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004605	NA	0	0	0	1	0	0	1	0	0	0
Polyb2a004624	NA	616	431	308	523	635	423	187	643	1007	397
Polyb2a004547	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004612	NA	6	2	1	2	7	4	1	10	8	3
Polyb2a004492	NA	963	1098	825	1410	1091	1032	868	1131	1283	988
Polyb2a004606	NA	248	327	168	376	304	295	99	296	430	157
Polyb2a004591	NA	4	3	8	9	8	8	3	5	9	4
Polyb2a004509	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004580	NA	0	0	1	0	0	0	0	0	0	0
Polyb2a004495	NA	1	2	0	0	1	3	0	0	0	1
Polyb2a004489	NA	8	6	3	6	14	5	4	10	9	9
Polyb2a004535	NA	3	4	1	2	4	1	0	1	9	4
Polyb2a004482	NA	17	27	18	16	23	20	8	18	21	21
Polyb2a004531	NA	49	61	74	42	40	36	70	63	70	62
Polyb2a004523	NA	865	993	591	1270	1117	1001	544	1156	1295	686
Polyb2a004577	NA	307	385	295	475	369	370	254	444	435	292
Polyb2a004502	NA	124	178	91	174	130	131	67	151	167	102
Polyb2a004516	NA	376	396	375	378	458	323	478	492	481	379
Polyb2a004532	NA	216	211	63	310	201	220	67	286	381	90
Polyb2a004498	NA	635	814	507	985	703	839	451	765	957	685
Polyb2a004519	NA	1043	1215	846	1516	993	1220	774	1219	1429	1000
Polyb2a004634	NA	5	3	3	1	7	2	1	5	3	3
Polyb2a004496	NA	1758	1919	1755	2151	2194	1912	1591	2326	2604	1764
Polyb2a004528	NA	644	546	526	496	789	514	479	894	978	536
Polyb2a004497	NA	1010	686	471	766	701	753	348	1050	1711	567
Polyb2a004576	NA	994	1003	468	1012	1000	890	261	801	1465	437
Polyb2a004491	NA	188	241	206	253	191	206	144	246	314	182
Polyb2a004584	NA	4796	6674	4621	7292	6291	6730	3713	8262	7284	4717
Polyb2a004592	NA	28	38	36	31	56	34	39	46	68	84
Polyb2a004514	NA	411	246	191	298	347	279	98	454	750	217
Polyb2a004541	NA	237	276	473	277	2546	259	1415	675	401	848
Polyb2a004618	NA	1117	1364	805	1626	1119	1260	794	1131	1517	1049
Polyb2a004598	NA	226	197	236	229	268	208	230	332	306	221
Polyb2a004568	NA	611	770	492	973	747	663	360	830	896	487
Polyb2a004603	NA	2450	2939	2158	3368	3313	2660	1990	3496	3810	3005
Polyb2a004526	NA	1549	1638	1239	1863	1857	1453	831	2302	2124	1483
