	SRR2917198	SRR2917152	SRR2916699	SRR2916026	SRR2916025	SRR2915407	SRR13281988	SRR13281982	SRR13281995	SRR13282007	SRR13281993	SRR13282006	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
OG0000020	0	1.38551706699468	0	4.27033170648693	0	0	322968.256180294	42791.8476031028	48262.5161600476	57110.0860376518	161734.520593045	100248.005533379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000186	125.949554904436	120.539984828537	99.1257262688064	129.53339509677	123.649481464237	122.774550071698	249.325500550664	312.624922425218	292.426741843494	664.61431927588	319.186690311828	445.336053207794	614.577353000235	403.643888555167	464.438896831381	614.746914182993	326.879160034003	643.834960093709	1135.89225197687	446.381019522944	396.548583492932	250.651524833998	558.118258926672	176.14885289064	405.337696051148	226.206246480233	419.479330375653	868.976933913856
OG0000229	5.09622476491938	24.9393072059042	10.7485727279429	50.5322585267621	9.76180116822924	11.4208883787626	11.7606368184275	9.44169228800993	6.77810328776312	631.817129385351	77.045063178717	22.0625200671751	709.758892316694	435.139715588219	22.3581088190162	2270.8789795214	167.218529843984	1371.81856238812	1585.04839739957	180.011964276282	724.912342674861	11.7326245666978	76.981828817472	74.4158255527301	211.698648185129	171.957689632032	164.404013092595	692.879621478333
OG0000255	1531.77955791291	1422.23326927003	1509.57732534664	1600.66266798152	1474.03197640262	1383.35510487762	13287.1674774594	3883.68276113475	3287.38009456511	6975.62300844066	8308.16708761264	12648.3610414742	5206.266094508	5256.48776430569	5610.86903589947	5641.32105160355	6771.87808995298	5586.0999805091	5671.18733088973	5097.50096136419	3768.10871192378	4753.84615397927	5011.03591958732	4513.93210188206	5378.75096170842	5142.35376613886	4761.73805193645	5099.91628367192
OG0000281	466.66858204476	506.406487986554	478.908629322787	449.096551132209	376.37166726395	372.606483357129	355.171231916512	484.673537451176	557.256920301096	404.875654510661	612.127260200136	413.467968666319	214.158463462031	246.993590943408	279.476360237702	219.136912626745	223.902777248724	224.070221673951	208.030214722091	254.206084687453	362.456171337431	225.05307123393	301.913109893523	266.578210524337	318.049627842113	236.441823244044	291.941671734124	256.664710281841
OG0000282	130.317747560081	138.551706699468	142.120017180578	135.22717070542	148.596306671934	89.9394959827552	7261.01717169717	3098.97322430904	2931.04552172271	5388.91758028854	3593.17855088434	4433.74940312934	4210.96258424193	3962.67234329005	3813.07383131585	3398.56141042806	3622.12340916291	3311.15122333908	3914.75040431571	3960.26321407821	3342.85072872096	4296.27379587805	3212.78851205418	3388.2749938376	3565.76775189549	3683.78407729573	3351.84909117267	3288.30079495614
OG0000290	11.6485137483872	20.0899974714228	31.0514323251683	8.54066341297387	6.50786744548616	11.4208883787626	1298.3743047544	1296.65907422003	1395.80512704436	845.564332465002	1008.35901369068	995.264794141455	492.318306809267	547.032785310904	479.683061935256	499.360663729087	494.097689877987	457.925169185192	431.426297577064	504.763278207143	509.591844850645	509.835867534684	473.919383657562	526.562613721217	475.569475069911	515.873068896096	477.269831947595	438.516836849244
OG0000304	796.467127545972	665.740950690942	714.18294347887	824.174019351978	785.28267175533	939.368069153221	1771.15190485519	6326.98290988754	6048.4888838589	7089.093745878	4835.21270124893	4895.4280637943	2646.21089909981	2844.5704836167	2496.99424401467	2846.84059943417	2399.63314013401	2694.71349558978	3980.94183627274	2759.77801988436	2987.571907311	2329.45927760617	2978.23450237595	1964.95458358222	2561.45331192718	1908.93506645083	2822.76708540196	3425.26537129488
OG0000358	0	0	0	0	0	0	18.8170189094841	23.0796922595798	75.0432864002345	25.6345852017923	0	3.26852149143335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000394	60.4266650697584	84.5165410866752	69.2685798022984	53.3791463310867	77.0097647715862	64.2424971305395	477.481854828159	354.587999260817	404.265446091586	344.55898344762	358.132546424146	354.634581820519	786.888760383479	897.631070441984	761.191977520141	783.462944258451	709.497830016	818.981552581208	657.186360144788	830.730889193925	900.757415897971	871.414024635643	888.899554626747	949.508255153822	751.480035500767	882.306717040545	767.218727765446	832.146123469825
OG0000399	98.2843347520166	602.007165609186	232.885742438762	61.2080877929794	54.2322287123847	77.0909965566474	157.592533366929	47.2084614400496	63.9078309989094	112.339799854913	115.144270245116	83.3472980315504	39.3854645447414	57.1897911915946	20.3255534718329	24.2408089188877	42.5131855535553	48.9236291864521	35.4596956912655	13.3792676151291	32.2980746736324	35.1978737000933	22.853980430187	40.5048164400936	18.0596003191105	31.7302879678154	21.9205350790127	47.1894758814147
OG0000408	1148.83466843468	1339.79500378385	1224.14300512683	1219.8914241531	1321.09709143369	1027.87995408863	136.42338709376	636.789690980225	491.412488362826	345.312941835908	488.516499495821	291.715543110427	430.778518458109	357.228985559091	573.180607905687	430.516766399446	466.700303632362	594.911330907257	444.428185997195	485.30252531241	410.903283347879	682.625429335142	475.122224732835	672.568347400624	610.013166334401	809.634122017484	634.699129333232	459.234167724011
OG0000415	6079.06811243955	4934.51903410154	6034.72644381058	6341.4425841331	5216.05575755716	5694.74046786049	85673.887094881	14181.4218165909	14474.1554207833	24512.6951200197	29069.6949916621	37620.6823663979	15960.9595067564	15800.1302823966	18447.4723310355	15660.5321939582	16187.1315838804	17375.7161418603	15750.0148362038	16097.6915351121	13025.0957808832	15081.7555793733	12137.8692905798	13765.9857547797	14938.2993972909	14186.5093946426	14048.0738217728	16054.7804651184
OG0000424	9.46441742056456	6.23482680147604	7.16571515196191	9.96410731513618	14.10037946522	12.8484994261079	16.4648915457986	0	2.42075117420111	1.13093758243201	1.69329809183993	1.63426074571668	45.9497086355316	77.0818924756274	70.1231594778234	79.5098532539517	75.5789965396538	64.5791905261167	66.191431957029	47.4355851809122	73.5678367566072	59.729725066825	66.156259140015	45.2146788168487	75.2483346629606	28.659614938672	73.7327089021337	108.190505679341
OG0000432	585.337815856454	421.197188366381	515.931490941257	716.704004738724	667.056413162332	1107.82617273997	79.9723303653073	43.0121537564897	21.78676056781	196.78313934317	17.7796299643193	80.8959069129754	1540.13576980166	890.171532460472	1048.79855914658	918.241841847467	825.700537195718	904.108667365635	2444.35502298457	1555.64393452274	1126.8439386134	482.104209467944	989.938204949679	473.81215510156	830.741614679085	371.551436526355	834.973108918758	1521.57285646903
OG0000451	1473.53698917097	1434.70292287299	1403.28588392587	1484.65198995529	1573.8192772334	1197.76566872272	54.0989293647667	303.183230137208	347.61986861528	159.08521992877	132.923900209435	133.192250775909	1474.49332889376	1361.78010040275	1737.83482184171	1334.21412289558	1333.96928892489	1482.3859643495	1517.67497558616	1477.8009229438	1392.40588592993	2050.0094924721	1401.30985269305	1781.26995088877	1462.82762584795	1950.90093118246	1615.14488013998	1259.15333205531
OG0000460	1508.48253041614	1357.11396712128	1618.25733848473	1528.06702897124	1367.73680812634	1180.63433615458	4109.16650435859	3127.29830117307	3287.38009456511	1907.89170156281	2521.32085874966	2349.24982196772	1719.83195178704	1723.98211128285	1996.98562860758	1685.22103604107	1634.39580017001	1827.78678640585	1518.85696544254	2075.00277740093	1970.18255509158	2505.44864610664	1906.50310430771	2713.82270148627	2000.60239090591	2747.22880340699	1833.35384297197	1783.99238088275
OG0000461	2429.443148648	3094.55236913261	2750.44033249471	2918.05999943274	3117.26850638787	3519.06123170622	31391.4917957468	4981.01722038568	5715.87767252367	11228.3252975792	10488.2883808566	12859.1806776717	1609.06033275496	1486.93457098146	1632.14194378818	2163.24978792154	1360.42193771377	1631.11379707631	1977.46902971624	1363.46899968725	1198.61743788814	1193.52789910316	1517.98543699453	1060.66100724524	1543.09251615511	1125.91344401926	1253.45605133627	1453.66604971285
OG0000468	1391.26936082299	1424.31154487053	1385.37159604597	1789.26898501803	1669.2679997672	2481.18800028617	388.101015008109	69.2390767787395	18.8818591587687	177.180221247682	127.844005933915	76.8102550486837	3.28212204539512	7.45953798151233	5.08138836795822	1.93926471351102	3.77894982698269	6.84930808610329	5.90994928187759	7.29778233552496	0	4.26640893334464	2.405682150546	3.76788990140406	2.00662225767895	6.14134605828686	9.96387958136942	6.90577695825581
OG0000483	0	0	0	0	0	0	1500.65725803136	977.739690269473	990.571380483096	1124.52893613156	1247.11404464011	1050.82965949582	2647.03142961116	2513.03546221615	2795.77988005061	2974.8320705259	2743.51757438943	2936.39622377085	2580.28385646775	2713.55873175936	2415.17825059496	2884.09243894098	2479.05545613765	2959.67751755289	2459.11557678555	2961.15235777065	2601.56895869556	2758.8578948232
OG0000485	1736.35658061896	1997.91561060632	1756.79449808933	1715.96162405667	1638.89795168827	1507.55726599666	818.540322562557	884.371844310263	857.914216136875	702.31223869028	745.051160409571	1058.18383285155	1491.72446963208	1408.19500339883	1561.00250663677	1257.6131667119	1567.31944074107	1451.07484167017	1326.19261885333	1374.41567319053	1299.10033687277	1582.83771427086	1473.48031720943	1797.28348296973	1563.1587387319	1708.31776188013	1580.27130160519	1483.59108319862
OG0000493	0	0	0	0	0	0	0	0	0	0	0	0	2.46159153404634	0	0	1.93926471351102	1.88947491349135	3.91389033491617	4.72795942550207	0	0	2.13320446667232	0	7.53577980280811	0	0	1.99277591627388	3.45288847912791
OG0000508	235.88240340484	221.682730719148	302.15432224106	264.76056580219	204.997824532814	258.397599569503	0	0	0	0	0	0	1641.88155320891	1838.36169366604	1641.2884428505	1715.2796391005	1489.85096928793	1874.75347042484	2421.89721571343	1937.56121008188	1787.16013194099	1919.88402000509	1860.79514344733	1533.53118987145	1749.77460869604	1698.08218511632	1670.94260579565	2530.96725520076
OG0000512	1066.5670400867	1057.14952211694	1045.00012632778	1059.75398515984	1062.95168276274	935.085236011185	355.171231916512	500.409691264526	518.524901513878	337.396378758884	387.765263031345	272.921544534685	1657.47163292453	1514.286210247	1768.32315204946	1567.89552087366	1462.4535830423	1645.79088583225	1560.22661041568	1581.18617269708	1415.73227319422	1988.1465629386	1497.53713871489	1660.69747404384	1545.09913841279	1982.63121915027	1636.06902726086	1475.53434341399
OG0000515	95.3722063149198	96.9861946896273	124.205729300673	112.452068270823	122.564836889989	115.636494834971	56.4510567284522	30.4232307058098	20.8184600981296	38.8288569968324	5.0798942755198	4.08565186429169	24.6159153404634	14.0902384095233	17.2767204510579	21.3319118486212	21.7289615051505	24.461814593226	54.3715333932738	12.1629705592083	7.17734992747387	5.3330111666808	14.434092903276	2.82591742605304	11.0364224172342	3.07067302914343	9.96387958136942	40.2836989231589
OG0000525	237.338467623388	216.140662451169	206.611453548235	154.443663384611	187.643511344851	208.431212912417	0	4.19630768355997	8.71470422712401	5.27770871801606	6.77319236735974	4.90278223715003	96.8226003391559	72.1088671546192	73.1719924985984	51.390514908042	42.5131855535553	66.5361356935748	66.191431957029	53.5170704605164	41.2697620829748	39.4642826334379	56.533530537831	72.5318806020281	41.1357562824185	83.9317294632537	57.7905015719427	48.3404387077907
OG0000534	917.320457685488	793.901279387949	930.348683896387	853.354619346306	861.207791952669	491.098200286791	336.354213007028	1233.71445896663	1132.91154952612	340.412212312036	441.950801970223	394.673970090577	1467.92908480297	1548.26854994056	1666.6953846903	1468.9930204846	1305.62716522252	1441.29011583288	1381.74614210298	1429.14904070697	1388.81721096619	1543.37343163742	1230.50642000428	1803.87729029719	1580.21502792217	1579.3494946561	1491.592773331	1206.20904204202
OG0000537	489.23757743226	438.516151703815	507.571489930635	519.557024289244	496.767215005444	498.236255523517	816.188195198872	532.931075812116	541.764112786209	470.093055097573	574.028053133738	482.106919986419	365.956608061555	372.976899075617	394.315737353558	379.126251491404	378.839720155015	343.443876888894	395.966601885798	370.970602055852	425.257983202827	372.24417943432	375.286415485176	408.81605430234	400.32114040695	399.187493788646	397.55879529664	391.327360967829
OG0000540	21.1129311689517	17.3189633374334	27.4685747491873	15.6578829237854	18.4389577622108	21.4141657101798	1039.640294749	418.581691435107	377.637183175374	500.628369823238	453.803888613102	407.74805605631	594.064090216516	644.006779070565	521.350446552513	631.230664247836	537.555612888288	636.007179423877	621.726664453522	682.342648371584	721.323667711124	726.356120901925	611.043266238684	695.175686809048	726.39725727978	625.393740268878	621.746085877452	649.143034076046
OG0000546	1075.30342539799	1142.35882173711	1126.21156471668	1113.84485344201	1133.45358008884	1214.89700129087	206.987208004325	151.067076608159	154.928075148871	134.58157230941	165.943213000314	92.3357321329921	309.34000277849	333.192696507551	386.185515964825	309.312721805007	395.844994376437	333.659151051603	322.683230790516	321.102422763098	364.250508819299	226.119673467266	354.838117205535	297.66330221092	373.231739928285	280.454803328433	406.526286919872	341.835959433663
OG0000550	192.928508957662	163.491013905372	137.342873745937	197.14698044948	212.590336552548	184.161825107546	326.945703552286	1479.19845845489	1423.88584066509	895.702565286154	815.323031220928	667.595514625262	846809.642035746	363695.576151508	260103.058946025	570712.030333298	293027.327483892	782566.716905148	1078734.76849212	86901.9920514312	94369.5911839084	22745.2926258936	71572.6525019693	31156.6815947101	74022.2884635188	7991.93833718396	75396.6767922224	283996.624519791
