geneID	Reproductive.GS.metaZ	Reproductive.GS.metaPval	Reproductive.GS.cor.Polistes_canadensis	Reproductive.GS.pval.Polistes_canadensis	Reproductive.GS.cor.Polistes_dominula	Reproductive.GS.pval.Polistes_dominula	Reproductive.GS.cor.Liostenogaster_flavolineata	Reproductive.GS.pval.Liostenogaster_flavolineata
OG0003094	0.167056778814847	0.86732537353954	-0.223851360463319	0.534133548214889	0.414966871601167	0.0437633829004573	-0.269174308891025	0.265118473490842
OG0003096	-0.336343943482455	0.736611516033475	0.312743176630778	0.378952117317944	-0.434563045247126	0.0338373259165691	0.164774146676121	0.50024479698617
OG0003097	1.31632852127932	0.188063801977338	0.288848280840942	0.418275574419707	0.113919949405724	0.596091626683397	0.215427968510644	0.375755089098966
OG0003101	-1.47415780314972	0.140439108220793	-0.532164179518514	0.113324277421968	0.151834558435844	0.478790902195405	-0.368285373429428	0.120792829237582
OG0003106	-1.15773743620308	0.246971201741008	-0.415244710130789	0.232738274842203	-0.465301699275818	0.0219504486960833	0.371556329290965	0.117276098334697
OG0003107	-0.573639812008409	0.566211565164463	-0.220984325169652	0.539519695908688	-0.404260043705802	0.0500784017543122	0.380702297713004	0.107831247462064
OG0003108	2.03596170306053	0.0417542010240364	0.586609559743412	0.0746584333673985	0.451903675153252	0.0266288957580374	-0.158797890273531	0.516123392997953
OG0003109	-0.926563248897707	0.354153343685599	-0.184574804098767	0.609718880935396	-0.110729023113651	0.606490569979639	-0.13385778560343	0.584839100963092
OG0003111	-2.08714139837189	0.0368753548482826	-0.621131638224291	0.0552795848615592	-0.290096863768099	0.169102125430481	-0.0383768532015608	0.876048021508754
OG0003113	0.261704137336294	0.793549550545451	-0.163255181794801	0.652246120861334	-0.268626899923973	0.204359526624448	0.490117646669722	0.0331484693993603
OG0003114	0.311521414412116	0.755404265881579	-0.369146732209014	0.293825119965805	-0.0657637553220125	0.760132371188674	0.439461970058126	0.0597521523492747
OG0003115	2.33784420071932	0.0193953317438805	0.275964644331901	0.440238307360329	0.192001799695292	0.368757765601169	0.512841666723667	0.024745859788447
OG0003117	-3.69447265003825	0.000220343607666733	-0.259174584815633	0.469627795221452	-0.476205877644161	0.0186542288766028	-0.653107812657504	0.00243022045077174
OG0003118	-0.70498909781142	0.480817020818822	0.24326576367581	0.498245068649984	0.0811536299472921	0.706196650857225	-0.507213405925754	0.0266507557722989
OG0003119	-0.491453131477711	0.623105993406504	-0.38498744418609	0.271952481083891	-0.0606817719311662	0.778197806001709	0.14018161244892	0.567055500190562
OG0003121	0.222701029024782	0.823768200428389	-0.235198386864761	0.51303238103717	-0.223149879920131	0.294575372128847	0.474741495576262	0.039986824708701
OG0003122	0.885199009640799	0.376049306389666	0.515923083540641	0.126884828186703	0.147670373026532	0.49107212271547	-0.186696096284988	0.444087784315258
OG0003123	-1.45352337589408	0.146078494210239	-0.121506629041924	0.738093781107808	-0.20513745047819	0.336253286715773	-0.282239435802478	0.241709192866793
OG0003125	1.37709937377744	0.168481526301032	0.196131242445933	0.587089445494217	0.317057114394409	0.131146229292092	0.0685252496916687	0.780441317662741
OG0003127	1.14026485016874	0.254175977076063	-0.305622997640615	0.39047405450612	-0.180987604628368	0.397361095922292	0.71812668573062	0.000534655084366334
OG0003128	-2.93344147409915	0.00335226849150159	-0.00607799651815521	0.9867048737729	-0.509229736034826	0.0110369842460879	-0.529283015945293	0.0197879226394462
OG0003130	-1.95361282975678	0.0507470221957895	-0.428635572300204	0.216470962046227	-0.387562180045092	0.0613178637552354	-0.0411255661171179	0.867242442851822
OG0003131	-0.312428098500579	0.754715198833971	-0.243502134871048	0.497814556880495	-0.627768481970995	0.00102300950069164	0.705641719650232	0.000736975037026854
OG0003132	1.18723692480469	0.23513417987027	-0.381000259012687	0.277371779406724	0.319313859050915	0.128274588359927	0.377868046257039	0.110697532047323
OG0003133	-3.1598612188783	0.00157844304660087	-0.250197230432195	0.485686581908278	-0.685915488491445	0.000215622466732258	-0.193763453176995	0.426710738872415
OG0003136	0.595245295338269	0.55167951695037	-0.308089516130604	0.386463675690393	-0.12385454087986	0.56421156329182	0.544211285944927	0.0160008230982078
OG0003141	-0.0932555815912149	0.925700519001127	-0.314612818360937	0.375954634091432	-0.289047659472133	0.170719215476674	0.479771873129602	0.0376399457662375
OG0003143	-0.147793668191203	0.882505606512965	-0.243918246099582	0.497057061818443	0.0149619729170892	0.944679919886998	0.091405193439142	0.709775313248098
OG0003146	1.55367746650482	0.120261370659522	0.549711077435503	0.099736462820916	0.307637055585246	0.143634008095777	-0.132148234174204	0.589686714156864
OG0003147	2.06918336059195	0.0385288835391184	0.49011509548851	0.150416304796025	0.0857455707291453	0.690352894875547	0.383032667618312	0.105514821713777
OG0003148	4.48291401767292	0.0000073630602425934	0.262146703923161	0.464363507692763	0.819713768156648	0.000000953447536502343	0.366243068361652	0.123026220342948
OG0003149	-1.29294401993833	0.196030421168447	0.353670278084677	0.316070629556736	-0.476454275190408	0.0185841194611298	-0.204090728140627	0.401979869181932
OG0003151	-0.0729017557713463	0.941884296760005	-0.404623832830236	0.246116650952891	0.385546746376131	0.062796017542899	-0.196142795002626	0.420942704312389
OG0003155	0.991357978684275	0.321510811426156	0.428385498473216	0.216768602069681	0.324367931767278	0.12200876189443	-0.273366965993649	0.257457161341939
OG0003157	0.126911372024209	0.899010545851026	-0.277264740494751	0.43799849327414	-0.424214347063337	0.0388279700102004	0.643281834309095	0.00296523856198405
OG0003158	-0.0676640042132612	0.946053104088648	-0.195366608155574	0.588577081646026	-0.237265381779631	0.264275905137881	0.364872817455814	0.124540994634003
OG0003159	-2.8147930499336	0.00488086540634222	-0.0741598614725457	0.838664547584087	-0.709527758349703	0.000103323156885503	-0.12269005517892	0.616804410295762
OG0003160	0.509329064064948	0.610521589006825	0.0995254057123407	0.784431891070584	0.274103140479079	0.194929601434919	-0.172787716041528	0.479329645331584
OG0003161	0.062146164231899	0.950446434279397	-0.0325938396766868	0.928776672554675	-0.288865985529951	0.171000311054881	0.368522728444591	0.120535148122954
OG0003163	0.32586621797703	0.744525575925029	-0.00644881007651681	0.985893814603446	-0.120301707480927	0.575524596555095	0.27182694183443	0.260254879950987
OG0003164	-1.08966517502456	0.275860661893764	-0.276362926876193	0.439551587680392	-0.294064492880601	0.163083640053995	0.0814141630758472	0.740391812221852
OG0003167	-1.0554734031274	0.291208867358036	0.333157313079357	0.346863989556141	-0.454807841531657	0.0255523794636349	-0.122118186214142	0.61845982447651
OG0003168	-0.461866913158187	0.644176762497822	-0.409108072469929	0.240416937057283	-0.36108898400838	0.0829936111646956	0.488611992841667	0.0337748637293796
OG0003170	-1.62368755555433	0.104442508287733	-0.240053204559741	0.504111832461423	-0.15190575362375	0.47858229595863	-0.32745775714569	0.171143304354821
OG0003172	1.95261174098551	0.0508656188675242	0.492444632725801	0.148191293726667	-0.0575401258637753	0.789422397793132	0.474487509706207	0.0401082377911505
OG0003174	-4.67134880060333	0.00000299228320105433	-0.450733686961697	0.191096299424359	-0.796649075390684	0.00000319471145234709	-0.371328608366331	0.117518538278619
OG0003175	-1.69101925706665	0.0908331247956321	-0.270466707313444	0.449767761089349	0.0165232395388758	0.938917330364263	-0.492151985270538	0.0323165011593768
OG0003177	-0.734766463591459	0.462481734716256	-0.109747990869007	0.762797030195384	0.171924774081907	0.421800663891846	-0.405835144792301	0.0847086253748641
OG0003179	0.981346308654925	0.326421993563388	0.376291270102628	0.283846941763788	0.255493558418956	0.228217034866523	-0.155189624519338	0.525823826390167
OG0003180	2.83448885764845	0.00458990585227092	0.202966335832417	0.573853759488099	0.392887179576073	0.0575411600893832	0.520619721643841	0.0222913269245219
OG0003181	-2.07863542773919	0.0376508721277748	-0.3262269378921	0.357598396762341	-0.142330753894554	0.507046981826316	-0.444562278665005	0.0565136110260126
OG0003183	2.74276315043564	0.00609246120512642	-0.348780519377994	0.323276710136943	0.746764742089237	0.0000277047011440371	0.2944846997099	0.221008482831671
OG0003185	1.01234364773053	0.311373772184006	-0.0396972884023978	0.913298897799019	-0.221328776986518	0.298635826855702	0.609756979003901	0.00557321592854021
OG0003186	1.55349182714017	0.120305680284158	0.463034692382023	0.177765928134615	0.460472536666279	0.0235533086704266	-0.25206870935644	0.297837604128441
OG0003187	2.09552787674819	0.0361240930266932	0.237200174850069	0.509346244338719	0.58130553014942	0.00289061038060657	-0.0414090496252511	0.866335128962275
OG0003188	0.715946707912334	0.474024255986392	0.202548094797533	0.574660400670483	0.0634649752340479	0.768289621000239	0.0873449893279104	0.722169059006859
OG0003189	0.4838296081356	0.628506800437144	0.0192875722343687	0.957824127936749	-0.0228197642362666	0.915710080186014	0.21268357691305	0.382013362519576
OG0003190	-0.62532518831404	0.531757651564363	-0.23581957830908	0.511887320689463	-0.252369863352008	0.234151917551533	0.193160436433892	0.42817919717982
OG0003191	3.43292026717443	0.000597117667943101	0.153454986596883	0.672110959083412	0.735177893807522	0.0000426955821004425	0.260626093729886	0.28117589430632
OG0003192	2.76006951953447	0.00577890626766546	0.00814917990223039	0.982174852747892	0.713680559546188	0.0000901192294268583	0.135293863486358	0.580780015645789
OG0003193	-0.903670166554313	0.366170322929999	-0.340030368441766	0.336382284371588	-0.479453794679024	0.0177542981189357	0.428001760788207	0.0675367801904798
OG0003194	2.78193851731874	0.00540352757067733	-0.256841623168975	0.473778319997684	0.707332525307757	0.000110964277631764	0.332571694535711	0.164161713323802
OG0003195	2.03944955728915	0.0414051807126082	0.571121695426797	0.0846188374974111	0.0971642673347268	0.65150952102621	0.291787572866932	0.225465389813993
OG0003196	1.94332385424978	0.0519770410840984	0.0404366297271238	0.911689365468554	0.452627904996381	0.0263570923159388	0.229308169994216	0.344995531904161
OG0003197	1.84056326096284	0.0656855857762659	-0.144224362039865	0.690990130828468	0.752812503972567	0.0000219049784337106	-0.236772784415215	0.329076811137168
OG0003198	1.44717592858953	0.147847656542222	0.465696765665326	0.174955827297181	0.163848841836245	0.444251400318846	0.0735873966294179	0.764642578930506
OG0003199	0.701993628388562	0.48268313700316	-0.326194420771769	0.357649150738561	-0.0711943581028432	0.740961469891568	0.542912720222965	0.0163052915921412
OG0003200	-0.0681720178470267	0.945648701659517	-0.172520793252204	0.633643993362636	0.0597979775444706	0.781351215556276	0.0227949249460494	0.92620010895572
OG0003201	-0.342329290522617	0.732103095043812	0.0557552443744187	0.878413841190055	0.00602514409246818	0.977708832302182	-0.186731859073715	0.443998939287247
OG0003203	2.93072694798451	0.00338169879113097	0.528501132703202	0.116299505801518	0.572561996499421	0.00345613818838939	0.0865823533027753	0.724504515783826
OG0003205	1.825130385874	0.0679813557819486	0.0865928031920344	0.811992208045999	0.337656963817023	0.106598855491857	0.298028717151402	0.215239915960607
OG0003206	1.93891387775867	0.0525118258193594	0.499609126971004	0.141474281049704	0.324187397253595	0.122228675183684	0.0553921407099988	0.82180091658447
OG0003207	2.79572767771519	0.00517830133182569	0.351012345413975	0.319977141813051	0.654180075648061	0.000525027846135075	0.0326972562567069	0.894285900517043
OG0003208	1.18055349561356	0.237780147066791	-0.310457328628124	0.382632742846679	0.382110419779255	0.0653792375270424	0.25266498267531	0.296657615759291
OG0003209	-0.212792244648359	0.831489013092482	-0.0477974921837576	0.895681529572933	0.0634047664920025	0.768503597605607	-0.128094926731003	0.601246917385795
OG0003210	1.27019800571245	0.204014107862403	0.187024994993698	0.60489523872024	0.187011979135504	0.381565215752762	0.186285841269106	0.445107634777951
OG0003213	1.21102348249867	0.22588640501678	0.112914472449489	0.756124749757112	0.0451639114778681	0.834017300512206	0.362297557810001	0.127423523854011
OG0003214	2.59961235823897	0.00933291200794118	0.653266205473051	0.0405375403960852	0.39859174368296	0.0536973757475563	0.0761292009848721	0.756742743812505
OG0003215	1.39766692800625	0.162213109989392	0.166229338546855	0.646255634766267	0.264551276397683	0.21157467933648	0.162305884901718	0.506774152733744
OG0003216	0.0303850146859952	0.975759995886724	-0.469137220418022	0.171363411026138	0.0355272601507467	0.869095423313867	0.310842515339666	0.195210173213072
OG0003219	-0.759638490235004	0.447470705144728	-0.0816030092389175	0.822677359972454	0.0239597990097038	0.911514819344131	-0.282383073876311	0.241459432799259
OG0003221	-1.6164948684849	0.105987361977971	-0.461540209091072	0.17935516242793	-0.269684159662852	0.202515369500697	-0.0219952271552843	0.928782804433106
OG0003222	-0.0337051303453859	0.973112287874575	0.586306109713839	0.0748458811278506	-0.0203703900418999	0.924730881621192	-0.423528068281886	0.0707726605481761
OG0003223	1.4390911184917	0.150124708071269	0.0488025906474568	0.893498229033628	0.01591145151892	0.941175083277905	0.502714451245332	0.0282545202245939
OG0003224	0.64163431147212	0.521110649358988	-0.367171460458797	0.296616427905544	0.093455956787777	0.664033956727599	0.402915807966846	0.087188835822925
OG0003225	-0.794412676523599	0.426955226801382	-0.0536753231616792	0.882922922916127	0.0688931016721722	0.749067752254881	-0.358671418896747	0.131561756355345
OG0003228	2.4996971930721	0.0124299500520656	-0.293379520886546	0.41067604589413	0.327846375630334	0.117827540465195	0.701465434503293	0.000817595779685215
OG0003230	2.84458232404204	0.00444696927094494	0.318376132426655	0.36995671244695	0.384793541410494	0.0633554044923404	0.467763653666161	0.0434268762640917
OG0003231	-0.221456252359804	0.824737196474886	0.0941385738878304	0.795887136126389	-0.186216975308628	0.383628921993079	0.0564792672092303	0.818358573602392
OG0003232	1.5608812986421	0.118551760586733	0.474663112480572	0.165686210467756	0.0941693253491714	0.661617710884936	0.191827441358473	0.431434748791898
OG0003233	0.42702214558563	0.669363197746734	-0.249908148008881	0.486207592981808	-0.317463498776618	0.130625727067552	0.622206457027785	0.00444519793014296
OG0003234	-2.17098218079006	0.0299325193839299	-0.423939708807113	0.222099131606924	-0.0811346629663159	0.706262344904305	-0.469236716968301	0.0426824300179923
OG0003235	0.654297731100111	0.51292000737048	0.425123815383505	0.220672146901042	0.206546889770172	0.33287079257738	-0.268205284592749	0.266909261905533
OG0003236	-2.18640618319944	0.02878590164697	-0.144783159834117	0.689842747066125	-0.504437617470489	0.0119477174916887	-0.184669967007145	0.449136299998107
OG0003237	-1.9320064433345	0.0533587106001424	-0.593407298016006	0.0705389352526873	-0.349896906816449	0.0937201894390197	0.072332703213683	0.768550391645321
OG0003238	0.646470913490413	0.517974428255393	0.136158585718118	0.707613774379843	-0.026530902671201	0.902061890445043	0.204833739932623	0.400231303058929
OG0003240	-0.83806739139762	0.401992855587617	-0.387537753910106	0.268516703601587	-0.166297314061483	0.437378685434505	0.118831871888114	0.62800680145253
OG0003241	-0.239266093209632	0.810899255594727	0.298195694683385	0.402671052696725	-0.023272649276428	0.914043222341115	-0.277527852375579	0.249993340118968
OG0003242	-2.51571183543124	0.011879226520554	-0.217850430045768	0.545431845332542	-0.550092971199491	0.00535321407846743	-0.198638291459577	0.414938045230084
OG0003244	0.243820302311183	0.807369995803842	-0.56424572468279	0.0893012433223857	0.019709714805703	0.927165670510657	0.476447550970338	0.0391785957750454
OG0003247	1.07282566823257	0.283349341801714	0.228095518011534	0.52620034249072	0.388783518845649	0.0604352343435128	-0.173648861501638	0.477108226028093
OG0003249	0.598524877669376	0.549489764432656	0.301631088146066	0.397007065539957	-0.0254055551708004	0.906197832847567	0.0666801111777855	0.786220809393557
OG0003251	1.267680092278	0.204912216904661	0.334293026686296	0.345120673719306	-0.126646414526531	0.555392126585471	0.412726901036031	0.0790595757803821
OG0003252	-0.355050127680859	0.722552037956668	-0.241795105553272	0.500927176699794	0.199412171210333	0.350203545867387	-0.20683303232195	0.395546953329516
OG0003253	0.330659923572363	0.740901377302259	-0.295991595003323	0.406325194047907	-0.227411950541383	0.285207573400633	0.545197272565825	0.0157726859034201
OG0003254	-1.68226457722786	0.0925175467587754	-0.0110500962186342	0.975830865828975	-0.497111446912145	0.013459004856369	-0.0784365627708297	0.749591470336269
OG0003255	-1.07218238779399	0.283638119440189	0.0683918787695219	0.851090583690079	-0.0847535254289918	0.693765386458265	-0.380590188172881	0.107943600034702
OG0003256	2.40343986728903	0.0162416379501332	-0.0350252621256789	0.923476162229111	0.680725084392771	0.000251231413449534	0.0887197868258596	0.717964900685651
OG0003259	2.33080323597666	0.0197637374169611	0.203817004035733	0.572214439527702	0.423329813711284	0.0392801182601527	0.312606560765049	0.192553558245569
