Geneid	gene_name	SRR2954866_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam
Caust.v2_018521	NA	0	0
Caust.v2_018522	NA	0	0
Caust.v2_018523	NA	2	1
Caust.v2_018524	NA	0	0
Caust.v2_016245	NA	0	0
Caust.v2_016246	NA	0	0
Caust.v2_016247	NA	0	0
Caust.v2_016248	NA	0	0
Caust.v2_016249	NA	0	0
Caust.v2_016250	NA	0	0
Caust.v2_016251	NA	0	0
Caust.v2_016252	NA	0	0
Caust.v2_016253	NA	0	0
Caust.v2_016254	NA	0	0
Caust.v2_016255	NA	0	0
Caust.v2_014245	NA	0	0
Caust.v2_014246	NA	10	4
Caust.v2_014247	NA	0	0
Caust.v2_014248	NA	10	13
Caust.v2_014249	NA	10	8
Caust.v2_014250	NA	11	12
Caust.v2_014251	NA	0	1
Caust.v2_014252	NA	11	11
Caust.v2_014253	NA	0	0
Caust.v2_014254	NA	0	0
Caust.v2_014255	NA	0	0
Caust.v2_014256	NA	0	0
Caust.v2_019607	NA	0	0
Caust.v2_016585	NA	0	0
Caust.v2_016586	NA	0	0
Caust.v2_016587	NA	0	0
Caust.v2_016588	NA	0	0
Caust.v2_016589	NA	0	0
Caust.v2_016590	NA	0	0
Caust.v2_016591	NA	0	0
Caust.v2_016592	NA	1	0
Caust.v2_016593	NA	0	0
Caust.v2_016594	NA	0	0
Caust.v2_020122	NA	0	0
Caust.v2_020123	NA	0	0
Caust.v2_016131	NA	0	0
Caust.v2_016132	NA	1	0
Caust.v2_016133	NA	0	0
Caust.v2_016134	NA	1	1
Caust.v2_016135	NA	0	0
Caust.v2_016136	NA	0	0
Caust.v2_009082	NA	0	0
Caust.v2_009083	NA	0	0
Caust.v2_009084	NA	0	0
Caust.v2_009085	NA	1	2
Caust.v2_009086	NA	812	840
Caust.v2_009087	NA	9	5
Caust.v2_009088	NA	3	8
Caust.v2_009089	NA	3	2
Caust.v2_009090	NA	2	5
Caust.v2_009091	NA	0	0
Caust.v2_009092	NA	1	0
Caust.v2_009093	NA	0	0
Caust.v2_009094	NA	758	779
Caust.v2_009095	NA	99	116
Caust.v2_009096	NA	760	757
Caust.v2_009097	NA	244	236
Caust.v2_009098	NA	3	3
Caust.v2_009099	NA	5	7
Caust.v2_009100	NA	269	270
Caust.v2_009101	NA	5	4
Caust.v2_009102	NA	146	169
Caust.v2_009103	NA	117	135
Caust.v2_009104	NA	194	186
Caust.v2_009105	NA	4	1
Caust.v2_009106	NA	67	50
Caust.v2_009107	NA	3	3
Caust.v2_009108	NA	4	7
Caust.v2_009109	NA	1	0
Caust.v2_009110	NA	0	0
Caust.v2_009111	NA	1	6
Caust.v2_009112	NA	3	3
Caust.v2_009113	NA	8	5
Caust.v2_009114	NA	6	9
Caust.v2_018478	NA	0	0
Caust.v2_018479	NA	1	0
Caust.v2_018480	NA	0	0
Caust.v2_021149	NA	0	0
Caust.v2_018177	NA	0	0
Caust.v2_018178	NA	0	0
Caust.v2_018179	NA	0	0
Caust.v2_018180	NA	0	0
Caust.v2_018181	NA	0	0
Caust.v2_022108	NA	0	0
Caust.v2_020548	NA	0	0
Caust.v2_020549	NA	1	0
Caust.v2_019941	NA	0	0
Caust.v2_019942	NA	0	0
Caust.v2_019943	NA	0	0
Caust.v2_021287	NA	0	0
Caust.v2_017802	NA	1	0
Caust.v2_017803	NA	0	0
Caust.v2_017804	NA	0	0
Caust.v2_022595	NA	0	0
Caust.v2_021332	NA	0	0
Caust.v2_020307	NA	0	0
Caust.v2_020308	NA	10	7
Caust.v2_015104	NA	107	97
Caust.v2_015105	NA	164	216
Caust.v2_015106	NA	5	2
Caust.v2_015107	NA	258	315
Caust.v2_015108	NA	675	729
Caust.v2_017222	NA	34	28
Caust.v2_017223	NA	0	1
Caust.v2_017224	NA	0	0
Caust.v2_017225	NA	0	0
Caust.v2_020977	NA	0	0
Caust.v2_022428	NA	0	0
Caust.v2_021470	NA	0	0
Caust.v2_022332	NA	0	0
Caust.v2_021700	NA	0	0
Caust.v2_020213	NA	6	3
Caust.v2_020214	NA	0	0
Caust.v2_012157	NA	0	0
Caust.v2_012158	NA	0	0
Caust.v2_012159	NA	0	0
Caust.v2_012160	NA	0	0
Caust.v2_012161	NA	0	0
Caust.v2_012162	NA	0	0
Caust.v2_012163	NA	0	0
Caust.v2_012164	NA	0	0
Caust.v2_012165	NA	0	0
Caust.v2_012166	NA	0	0
Caust.v2_012167	NA	0	0
Caust.v2_012168	NA	4	8
Caust.v2_012169	NA	0	0
Caust.v2_012170	NA	4	3
Caust.v2_012171	NA	0	4
Caust.v2_019005	NA	0	0
Caust.v2_019006	NA	0	0
Caust.v2_019007	NA	0	0
Caust.v2_019008	NA	0	0
Caust.v2_022291	NA	0	0
Caust.v2_022620	NA	0	0
Caust.v2_021814	NA	0	0
Caust.v2_020350	NA	0	0
Caust.v2_020351	NA	0	0
Caust.v2_011985	NA	0	0
Caust.v2_011986	NA	0	0
Caust.v2_011987	NA	3	2
Caust.v2_011988	NA	1	2
Caust.v2_011989	NA	0	0
Caust.v2_011990	NA	4	1
Caust.v2_011991	NA	129	137
Caust.v2_011992	NA	951	1049
Caust.v2_011993	NA	0	0
Caust.v2_011994	NA	0	0
Caust.v2_011995	NA	376	376
Caust.v2_011996	NA	4	1
Caust.v2_011997	NA	6	7
Caust.v2_011998	NA	129	116
Caust.v2_011999	NA	0	0
Caust.v2_012000	NA	0	0
Caust.v2_012001	NA	0	0
Caust.v2_012002	NA	0	0
Caust.v2_012003	NA	0	0
Caust.v2_012004	NA	0	0
Caust.v2_012005	NA	0	0
Caust.v2_021767	NA	0	0
Caust.v2_022076	NA	0	0
Caust.v2_020076	NA	0	0
Caust.v2_020077	NA	0	0
Caust.v2_018457	NA	0	0
Caust.v2_018458	NA	1	0
Caust.v2_018459	NA	0	0
Caust.v2_018460	NA	0	0
Caust.v2_022195	NA	0	0
Caust.v2_021222	NA	0	0
Caust.v2_014302	NA	0	1
Caust.v2_014303	NA	0	0
Caust.v2_014304	NA	0	0
Caust.v2_014305	NA	1	1
Caust.v2_014306	NA	2	0
Caust.v2_014307	NA	0	0
Caust.v2_014308	NA	9	11
Caust.v2_014309	NA	0	0
Caust.v2_009627	NA	0	0
Caust.v2_009628	NA	0	0
Caust.v2_009629	NA	0	0
Caust.v2_009630	NA	0	0
Caust.v2_009631	NA	0	0
Caust.v2_009632	NA	0	0
Caust.v2_009633	NA	0	0
Caust.v2_009634	NA	10	9
Caust.v2_009635	NA	1	1
Caust.v2_009636	NA	6	2
Caust.v2_009637	NA	3	0
Caust.v2_009638	NA	215	220
Caust.v2_009639	NA	1	3
Caust.v2_009640	NA	0	2
Caust.v2_009641	NA	1	0
Caust.v2_009642	NA	3157	3265
Caust.v2_009643	NA	83	97
Caust.v2_009644	NA	6	3
Caust.v2_009645	NA	789	738
Caust.v2_009646	NA	38	37
Caust.v2_009647	NA	37	35
Caust.v2_009648	NA	0	0
Caust.v2_009649	NA	413	411
Caust.v2_009650	NA	24	27
Caust.v2_009651	NA	54	63
Caust.v2_009652	NA	140	130
Caust.v2_009653	NA	31	32
Caust.v2_009654	NA	0	2
Caust.v2_009655	NA	25	17
Caust.v2_009656	NA	620	615
Caust.v2_009657	NA	42	42
Caust.v2_009658	NA	611	638
Caust.v2_009659	NA	1	0
Caust.v2_009660	NA	9	3
Caust.v2_021674	NA	0	0
Caust.v2_015355	NA	0	0
Caust.v2_015356	NA	1446	1481
Caust.v2_015357	NA	0	0
Caust.v2_015358	NA	0	0
Caust.v2_015359	NA	0	0
Caust.v2_015360	NA	0	0
Caust.v2_015361	NA	0	0
Caust.v2_015362	NA	0	0
Caust.v2_015363	NA	0	0
Caust.v2_020864	NA	0	0
Caust.v2_020865	NA	0	0
Caust.v2_022003	NA	0	0
Caust.v2_019590	NA	2	2
Caust.v2_019610	NA	117	135
Caust.v2_022384	NA	0	0
Caust.v2_020984	NA	0	0
Caust.v2_020985	NA	0	0
Caust.v2_022383	NA	0	0
Caust.v2_017431	NA	0	0
Caust.v2_017432	NA	0	0
Caust.v2_017433	NA	0	0
Caust.v2_017434	NA	0	1
Caust.v2_022725	NA	0	0
Caust.v2_009194	NA	0	0
Caust.v2_009195	NA	16	31
Caust.v2_009196	NA	0	0
Caust.v2_009197	NA	8	6
Caust.v2_009198	NA	1	2
Caust.v2_009199	NA	0	0
Caust.v2_009200	NA	0	0
Caust.v2_009201	NA	0	0
Caust.v2_009202	NA	0	0
Caust.v2_009203	NA	0	0
Caust.v2_009204	NA	0	0
Caust.v2_009205	NA	0	0
Caust.v2_009206	NA	0	0
Caust.v2_009207	NA	0	0
Caust.v2_009208	NA	0	0
Caust.v2_009209	NA	0	3
Caust.v2_009210	NA	0	0
Caust.v2_009211	NA	1	1
Caust.v2_009212	NA	3620	3703
Caust.v2_009213	NA	663	625
Caust.v2_009214	NA	18	19
Caust.v2_009215	NA	0	0
Caust.v2_009216	NA	1	0
Caust.v2_009217	NA	0	1
Caust.v2_009218	NA	0	0
Caust.v2_009219	NA	0	0
Caust.v2_009220	NA	0	0
Caust.v2_009221	NA	1	4
Caust.v2_009222	NA	0	0
Caust.v2_021418	NA	0	0
Caust.v2_022143	NA	0	0
Caust.v2_019435	NA	4	1
Caust.v2_019436	NA	0	0
Caust.v2_020680	NA	0	0
Caust.v2_012800	NA	0	0
Caust.v2_012801	NA	0	0
Caust.v2_012802	NA	0	0
Caust.v2_012803	NA	0	0
Caust.v2_012804	NA	0	0
Caust.v2_012805	NA	0	0
Caust.v2_012806	NA	0	0
Caust.v2_012807	NA	193	177
Caust.v2_012808	NA	3	1
Caust.v2_012809	NA	2	7
Caust.v2_012810	NA	11	9
Caust.v2_012811	NA	6	8
Caust.v2_012812	NA	3	2
Caust.v2_012813	NA	2	2
Caust.v2_012814	NA	1	3
Caust.v2_015708	NA	0	0
Caust.v2_015709	NA	0	0
Caust.v2_015710	NA	0	0
Caust.v2_015711	NA	46	28
Caust.v2_015712	NA	0	0
Caust.v2_021389	NA	0	0
Caust.v2_012533	NA	0	0
Caust.v2_012534	NA	0	0
Caust.v2_012535	NA	5	5
Caust.v2_012536	NA	0	0
Caust.v2_012537	NA	0	0
Caust.v2_012538	NA	0	0
Caust.v2_012539	NA	4	2
Caust.v2_012540	NA	0	0
Caust.v2_012541	NA	7	7
Caust.v2_012542	NA	5	8
Caust.v2_012543	NA	0	0
Caust.v2_012544	NA	4	1
Caust.v2_012545	NA	0	0
Caust.v2_012546	NA	0	0
Caust.v2_012547	NA	0	0
Caust.v2_012548	NA	0	4
Caust.v2_012549	NA	0	0
Caust.v2_012550	NA	1	0
Caust.v2_012551	NA	0	0
Caust.v2_012552	NA	0	1
Caust.v2_012553	NA	0	0
Caust.v2_012554	NA	1	1
Caust.v2_012555	NA	0	0
Caust.v2_012556	NA	0	0
Caust.v2_012557	NA	0	0
Caust.v2_012558	NA	0	0
Caust.v2_018489	NA	0	0
Caust.v2_018490	NA	1	0
Caust.v2_021708	NA	0	0
Caust.v2_022636	NA	0	0
Caust.v2_022480	NA	0	0
Caust.v2_021801	NA	0	0
Caust.v2_013991	NA	2	2
Caust.v2_013992	NA	0	0
Caust.v2_013993	NA	0	0
Caust.v2_013994	NA	10	9
Caust.v2_013995	NA	0	0
Caust.v2_013996	NA	0	1
Caust.v2_013997	NA	4	4
Caust.v2_013998	NA	3	9
Caust.v2_013999	NA	133	116
Caust.v2_014000	NA	0	0
Caust.v2_014001	NA	0	0
Caust.v2_014002	NA	0	0
Caust.v2_017852	NA	6	5
Caust.v2_017853	NA	39	53
Caust.v2_017854	NA	18	23
Caust.v2_022334	NA	0	1
Caust.v2_020001	NA	0	0
Caust.v2_020002	NA	0	0
Caust.v2_020003	NA	0	0
Caust.v2_020004	NA	1	0
Caust.v2_021502	NA	0	0
Caust.v2_014275	NA	1	3
Caust.v2_014276	NA	657	742
Caust.v2_014277	NA	28	26
Caust.v2_014278	NA	1166	1284
Caust.v2_014279	NA	1244	1268
Caust.v2_014280	NA	11	14
Caust.v2_014281	NA	24	15
Caust.v2_014282	NA	0	0
Caust.v2_014283	NA	0	0
Caust.v2_014284	NA	0	0
Caust.v2_014285	NA	0	0
Caust.v2_014286	NA	0	0
Caust.v2_014287	NA	0	0
Caust.v2_006931	NA	0	0
Caust.v2_006932	NA	0	0
Caust.v2_006933	NA	0	0
Caust.v2_006934	NA	0	0
Caust.v2_006935	NA	0	0
Caust.v2_006936	NA	0	0
Caust.v2_006937	NA	0	0
Caust.v2_006938	NA	268	293
Caust.v2_006939	NA	302	265
Caust.v2_006940	NA	0	0
Caust.v2_006941	NA	0	0
Caust.v2_006942	NA	0	0
Caust.v2_006943	NA	0	0
Caust.v2_006944	NA	2635	2590
Caust.v2_006945	NA	48	48
Caust.v2_006946	NA	1	0
Caust.v2_006947	NA	0	0
Caust.v2_006948	NA	0	0
Caust.v2_006949	NA	0	0
Caust.v2_006950	NA	0	0
Caust.v2_006951	NA	0	1
Caust.v2_006952	NA	1	1
Caust.v2_006953	NA	12	24
Caust.v2_006954	NA	0	0
Caust.v2_006955	NA	6	3
Caust.v2_006956	NA	0	2
Caust.v2_006957	NA	240	223
Caust.v2_006958	NA	1	1
Caust.v2_006959	NA	155	143
Caust.v2_006960	NA	0	0
Caust.v2_006961	NA	3	4
Caust.v2_006962	NA	0	0
Caust.v2_006963	NA	376	371
Caust.v2_006964	NA	187	161
Caust.v2_006965	NA	0	1
Caust.v2_006966	NA	41	48
Caust.v2_006967	NA	0	1
Caust.v2_006968	NA	0	0
Caust.v2_006969	NA	17	20
Caust.v2_006970	NA	17	21
Caust.v2_006971	NA	16	23
Caust.v2_006972	NA	144	148
Caust.v2_006973	NA	16	11
Caust.v2_006974	NA	0	0
Caust.v2_006975	NA	80	57
Caust.v2_006976	NA	1	2
Caust.v2_006977	NA	0	0
Caust.v2_006978	NA	0	0
Caust.v2_006979	NA	0	0
Caust.v2_022680	NA	0	0
Caust.v2_008811	NA	0	0
Caust.v2_008812	NA	0	0
Caust.v2_008813	NA	0	0
Caust.v2_008814	NA	0	2
Caust.v2_008815	NA	0	1
Caust.v2_008816	NA	0	0
Caust.v2_008817	NA	0	0
Caust.v2_008818	NA	73	69
Caust.v2_008819	NA	80	82
Caust.v2_008820	NA	1	1
Caust.v2_008821	NA	1	3
Caust.v2_008822	NA	655	660
Caust.v2_008823	NA	165	167
Caust.v2_008824	NA	3	1
Caust.v2_008825	NA	1	1
Caust.v2_008826	NA	0	1
Caust.v2_008827	NA	0	0
Caust.v2_008828	NA	611	606
Caust.v2_008829	NA	237	232
Caust.v2_008830	NA	4	11
Caust.v2_008831	NA	1	1
Caust.v2_008832	NA	9	5
Caust.v2_008833	NA	0	1
Caust.v2_008834	NA	0	0
Caust.v2_008835	NA	0	0
Caust.v2_008836	NA	0	0
Caust.v2_008837	NA	0	0
Caust.v2_008838	NA	0	0
Caust.v2_008839	NA	0	0
Caust.v2_008840	NA	0	0
Caust.v2_011071	NA	0	0
Caust.v2_011072	NA	1255	1241
Caust.v2_011073	NA	407	401
Caust.v2_011074	NA	0	0
Caust.v2_011075	NA	0	1
Caust.v2_011076	NA	8	4
Caust.v2_011077	NA	3	0
Caust.v2_011078	NA	3	2
Caust.v2_011079	NA	32	38
Caust.v2_011080	NA	2904	2909
Caust.v2_011081	NA	0	0
Caust.v2_011082	NA	0	1
Caust.v2_011083	NA	150	164
Caust.v2_011084	NA	4	2
Caust.v2_011085	NA	2460	2546
Caust.v2_011086	NA	130	132
Caust.v2_011087	NA	0	1
Caust.v2_011088	NA	0	0
Caust.v2_011089	NA	0	0
Caust.v2_011090	NA	4	4
Caust.v2_011091	NA	0	2
Caust.v2_011092	NA	0	0
Caust.v2_011093	NA	0	0
Caust.v2_011094	NA	0	0
Caust.v2_011095	NA	0	0
Caust.v2_017933	NA	0	0
Caust.v2_017934	NA	0	0
Caust.v2_017935	NA	0	0
Caust.v2_017936	NA	0	0
Caust.v2_017937	NA	0	0
Caust.v2_016052	NA	0	1
Caust.v2_016053	NA	0	0
Caust.v2_016054	NA	3	1
Caust.v2_016055	NA	5	0
Caust.v2_016056	NA	117	119
Caust.v2_021572	NA	0	0
Caust.v2_017583	NA	4	7
Caust.v2_017584	NA	2	1
Caust.v2_017585	NA	48	42
Caust.v2_022609	NA	0	0
Caust.v2_020927	NA	0	0
Caust.v2_017166	NA	0	0
Caust.v2_017167	NA	3	1
Caust.v2_017168	NA	618	651
