ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEblack	0.31026495442135	-0.31026495442135	0.756359479325067
MEbrown	3.54287991559058	-3.54287991559058	0.000395782880711054
MEcyan	1.28274449630161	-1.28274449630161	0.199581605286227
MEdarkgreen	-1.48250200037931	1.48250200037931	0.138206771727227
MEdarkgrey	4.57987910200241	-4.57987910200241	0.00000465244781215728
MEdarkorange	1.252775712098	-1.252775712098	0.210287343090272
MEdarkred	4.57121788065249	-4.57121788065249	0.00000484897784626729
MEdarkturquoise	0.408223517435395	-0.408223517435395	0.683109584015052
MEgreen	-0.873691121320948	0.873691121320948	0.382286487446378
MEgreenyellow	1.85458276007811	-1.85458276007811	0.0636558318799311
MEgrey60	0.660359677059378	-0.660359677059378	0.509023042042866
MElightcyan	-1.93371331507286	1.93371331507286	0.053148385820759
MElightgreen	2.51160074888553	-2.51160074888553	0.0120184974340222
MElightyellow	-0.775667236053477	0.775667236053477	0.437945489930241
MEmagenta	-1.61198934194365	1.61198934194365	0.106964259016297
MEorange	1.19136390207033	-1.19136390207033	0.233510757578425
MEpink	-1.29592771723844	1.29592771723844	0.195000389008281
MEpurple	2.85565290011877	-2.85565290011877	0.00429484376391748
MEroyalblue	-1.20472428620981	1.20472428620981	0.228309757240302
MEsalmon	-0.248799003856524	0.248799003856524	0.803516261690677
MEtan	-3.70206787484968	3.70206787484968	0.000213849386916658
MEturquoise	-2.06711357442641	2.06711357442641	0.0387234533006307
MEyellow	0.233317624933829	-0.233317624933829	0.81551477351826
