Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_011725	NA	483	507	322	225	413	278	558	336	459	504	490	585
Caust.v2_011726	NA	1268	1168	942	749	1331	872	1087	620	1056	997	1583	1353
Caust.v2_011727	NA	65	58	37	26	53	44	62	29	49	42	78	56
Caust.v2_011728	NA	10	15	4	0	9	6	5	5	2	7	7	11
Caust.v2_011729	NA	1006	790	514	432	719	497	862	452	747	918	878	837
Caust.v2_011730	NA	68	84	37	29	53	43	84	46	65	60	95	86
Caust.v2_011731	NA	555	554	313	273	416	328	541	300	469	474	477	479
Caust.v2_011732	NA	19	3	1	3	10	4	8	11	4	5	18	14
Caust.v2_011733	NA	146	107	73	55	117	89	151	68	120	116	183	159
Caust.v2_011734	NA	37	9	6	4	7	2	6	16	6	14	61	43
Caust.v2_011735	NA	12	7	4	4	4	4	17	9	8	11	49	20
Caust.v2_011736	NA	13	20	7	9	12	7	29	9	14	13	15	19
Caust.v2_011737	NA	1951	1564	1322	978	1726	1107	1749	905	1528	1812	2438	2281
Caust.v2_011738	NA	3	2	7	1	3	3	4	0	3	5	7	5
Caust.v2_011739	NA	50	42	32	18	35	26	56	28	49	19	45	50
Caust.v2_011740	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_021764	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022397	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022745	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013489	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013490	NA	1	0	0	0	0	0	0	1	0	0	0	1
Caust.v2_013491	NA	0	0	0	0	0	0	0	0	1	1	1	0
Caust.v2_013492	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013493	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013494	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_013495	NA	0	1	0	0	0	0	0	1	0	0	0	0
Caust.v2_013496	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013497	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013498	NA	0	0	0	0	0	0	0	0	1	0	1	0
Caust.v2_013499	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013500	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013501	NA	2	3	1	1	1	0	7	0	0	3	6	5
Caust.v2_013502	NA	10	7	5	1	7	2	19	2	10	11	12	16
Caust.v2_013503	NA	4	7	1	1	7	3	12	4	8	4	13	13
Caust.v2_013504	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013505	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013506	NA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013507	NA	0	0	0	0	0	0	0	0	0	0	0	0
