	SRR2917198	SRR2917152	SRR2916699	SRR2916026	SRR2916025	SRR2915407
OG0000020	0	1.49483550141908	0	4.47501155203671	0	0
OG0000186	138.413062209305	130.05068862346	107.074979512326	135.742017078447	131.471077126894	125.401581538864
OG0000229	5.60052852870018	26.9070390255434	11.6105399471197	52.9543033657677	10.3792955626495	11.6652633989641
OG0000255	1683.35886062646	1534.44864220668	1630.63583257326	1677.38349675509	1567.27362996008	1412.95502919952
OG0000281	512.848398128117	546.362375768672	517.314057643889	470.622048222527	400.179506693266	380.579218391203
OG0000282	143.213515233905	149.483550141908	153.517139300805	141.708699147829	157.995943564776	91.8639492668421
OG0000290	12.8012080656004	21.6751147705766	33.5415598472347	8.95002310407341	6.91953037509969	11.6652633989641
OG0000304	875.282601485429	718.268458431866	771.455876486398	863.677229543085	834.956665262029	959.467914564795
OG0000358	0	0	0	0	0	0
OG0000394	66.4062668403022	91.1849655865636	74.8234796592159	55.9376444004588	81.8811094386797	65.6171066191729
OG0000399	108.010193053504	649.506025366588	251.56169885426	64.1418322458595	57.6627531258308	78.7405279430075
OG0000408	1262.51914546984	1445.50592987225	1322.31149397752	1278.36163336515	1404.66466614524	1049.87370590677
OG0000415	6680.63045923522	5323.85663830404	6518.67315031065	6645.39215477451	5546.0035956424	5816.59196230846
OG0000424	10.4009815533003	6.72675975638584	7.74035996474647	10.441693621419	14.992315812716	13.1234213238346
OG0000432	643.260705296421	454.429992431399	557.305917461746	751.056105483494	709.251863447718	1131.53054969952
OG0000451	1619.35282029845	1547.90216171945	1515.82049309618	1555.81234959143	1673.37309571161	1223.39449896636
OG0000460	1657.75644449525	1464.19137363998	1748.03129203858	1601.30830037047	1454.25463383345	1205.89660386791
OG0000461	2669.85195718179	3338.71509241951	2971.00816646852	3057.92456055842	3314.45504967275	3594.35928480581
OG0000468	1528.94428833515	1536.69089545881	1496.46959318432	1875.02984030338	1774.85954121307	2534.27847342495
OG0000483	0	0	0	0	0	0
OG0000485	1908.18007727856	2155.55279304631	1897.67825135701	1798.20880866008	1742.56839946261	1539.81476866326
OG0000493	0	0	0	0	0	0
OG0000508	259.224463328408	239.173680227052	326.385178513476	277.450716226276	217.96520681564	263.926584401562
OG0000512	1172.11061350654	1140.55948758275	1128.80249485886	1110.54870016378	1130.18996126628	955.093440790184
OG0000515	104.809891037103	104.638485099335	134.166239388939	117.8419708703	130.317822064378	118.110791914511
OG0000525	260.824614336609	233.194338221376	223.180378983523	161.846251131994	199.513125815374	212.891057031094
OG0000534	1008.09513516603	856.54074231313	1004.95673542292	894.256475148669	915.684519638193	501.606326155455
OG0000537	537.650738755218	473.115436199137	548.275497502875	544.459738831133	528.19081863261	508.897115779808
OG0000540	23.2021896189008	18.6854437677384	29.6713798648615	16.4083756908013	19.6053360627825	21.8723688730576
OG0000546	1181.71151955574	1232.49187092003	1216.52657445932	1167.23217982291	1205.15154032986	1240.8923940648
OG0000550	212.020008586507	176.390589167451	148.356899324307	206.596366652361	226.037992253257	188.102372308296
OG0000551	664.862743907122	479.842195955523	682.441736891814	487.776259172001	573.167766070758	389.328165940426
OG0000555	82.4077769223027	108.375573852883	118.685519459446	85.7710547473702	98.0266803139123	86.0313175673601
OG0000559	165.615629348705	147.988714640488	143.19665934781	132.758676043756	143.00362775206	126.859739463734
OG0000564	613.65791164472	590.460023060535	590.847477308981	428.109438478178	525.884308507577	523.478695028513
OG0000565	2769.06131969019	3058.43343590343	2719.44646761426	2476.17305879364	2660.55942922583	2610.10268551821
OG0000577	448.042282296015	445.460979422884	477.322197826032	458.688684083763	488.980146507045	417.033166512966
OG0000580	224.021141148007	249.637528736986	236.080978924767	185.712979409523	228.34450237829	116.652633989641
OG0000582	368.034731886012	452.93515692998	380.567698266702	387.088499251175	337.903733317368	344.12527026944
OG0000589	44.8042282296015	88.1952945837255	68.3731796885938	20.883387242838	18.4520810002658	37.9121060466333
OG0000590	40.8038507091013	42.6028117904437	63.2129397120962	51.4626328484221	48.4367126256978	65.6171066191729
OG0000601	1540.94542089665	1440.27400561728	1444.86719341934	1821.32970167894	1846.3613550891	1528.14950526429
OG0000602	38.4036241968013	45.5924827932818	41.2819198119812	17.154210949474	10.3792955626495	43.7447377461153
OG0000623	87288.2374973129	85817.0113009677	88566.4887766233	97078.6631041083	91074.8587970621	125413.246802263
OG0000625	1208.91408669514	1316.2026589995	1342.95245388351	1304.4658674187	1363.14748389464	1211.72923556739
OG0000635	393.637148017213	492.548297717585	408.949018137439	451.230331497035	437.083668693797	523.478695028513
