F03BL,F03BL,queen
F14GR,F14GR,queen
F42OR,F42OR,queen
F45OR,F45OR,queen
F48SL,F48SL,queen
F65ORWH,F65ORWH,queen
F67YLBL,F67YLBL,queen
F38BL,F38BL,queen
F47RD,F47RD,queen
F51RD,F51RD,queen
F69OR,F69OR,queen
F71BL,F71BL,queen
W01RDYL,W01RDYL,worker
W08RDOR,W08RDOR,worker
W09RDOR,W09RDOR,worker
W13YLSL,W13YLSL,worker
W28ORYL,W28ORYL,worker
W40GROR,W40GROR,worker
W46ORYL,W46ORYL,worker
W49RDYL,W49RDYL,worker
W54ORYL,W54ORYL,worker
W56YLBL,W56YLBL,worker
W58BLWH,W58BLWH,worker
W70RDYL,W70RDYL,worker
